ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
497708790;87310652;129357070;689631452;8;24:24:1206001:1067;2025-09-29;2018-12-29;2025-09-29
1612883831;172447137;646496502;689630054;8;24:11:0330104:359;2025-09-29;2025-05-27;2025-09-29
1642550786;174667930;689088876;689630080;8;24:11:0210401:418;2025-09-29;2025-09-17;2025-09-29
1644375659;96929472;689623517;0;13;047010000000000062411040000000010;2025-09-29;2025-09-29;2079-06-06
1644382385;174910132;689624665;0;2;2461;2025-09-29;2025-09-29;2079-06-06
1644382387;174910132;689624665;0;4;2404;2025-09-29;2025-09-29;2079-06-06
1644382389;174910132;689624665;0;7;04605420106;2025-09-29;2025-09-29;2079-06-06
1644382391;174910132;689624665;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644382393;174910132;689624665;0;21;04605420;2025-09-29;2025-09-29;2079-06-06
1644382405;174910134;689624667;0;2;2461;2025-09-29;2025-09-29;2079-06-06
1644382407;174910134;689624667;0;4;2404;2025-09-29;2025-09-29;2079-06-06
1644382409;174910134;689624667;0;7;04605420111;2025-09-29;2025-09-29;2079-06-06
1644382411;174910134;689624667;0;15;19;2025-09-29;2025-09-29;2079-06-06
1644382413;174910134;689624667;0;21;04605420;2025-09-29;2025-09-29;2079-06-06
1644382415;174910135;689624668;0;7;04605420111;2025-09-29;2025-09-29;2079-06-06
1644382417;174910135;689624668;0;1;2461;2025-09-29;2025-09-29;2079-06-06
1644382419;174910135;689624668;0;3;2404;2025-09-29;2025-09-29;2079-06-06
1644382421;174910135;689624668;0;15;20;2025-09-29;2025-09-29;2079-06-06
1644382423;174910135;689624668;0;21;04605420;2025-09-29;2025-09-29;2079-06-06
1644382761;174910186;689624731;0;2;2463;2025-09-29;2025-09-29;2079-06-06
1644382763;174910186;689624731;0;7;04701000001;2025-09-29;2025-09-29;2079-06-06
1644382765;174910186;689624731;0;15;1702;2025-09-29;2025-09-29;2079-06-06
1644382767;174910186;689624731;0;21;04701000;2025-09-29;2025-09-29;2079-06-06
1644382769;174910187;689624732;0;2;2463;2025-09-29;2025-09-29;2079-06-06
1644382771;174910187;689624732;0;7;04701000001;2025-09-29;2025-09-29;2079-06-06
1644382773;174910187;689624732;0;15;1703;2025-09-29;2025-09-29;2079-06-06
1644382775;174910187;689624732;0;21;04701000;2025-09-29;2025-09-29;2079-06-06
1644382777;174910188;689624733;0;2;2463;2025-09-29;2025-09-29;2079-06-06
1644382779;174910188;689624733;0;7;04701000001;2025-09-29;2025-09-29;2079-06-06
1644382781;174910188;689624733;0;15;1704;2025-09-29;2025-09-29;2079-06-06
1644382783;174910188;689624733;0;21;04701000;2025-09-29;2025-09-29;2079-06-06
