ID;OBJECTID;OBJECTGUID;CHANGEID;NAME;TYPENAME;LEVEL;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
464525;381110;d88c0cd2-e07f-4dfa-a658-92c5f357f02c;973926;Безымянный 2-й;пер;8;1;0;52189916;2025-10-01;1900-01-01;2025-10-01;0;0
52189319;174916763;69c4b168-ea6f-4ac6-b4d6-4f9602b1ce5c;689639471;Речной;м-в;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52189609;174950935;c2826a2d-b898-4136-978c-aa0e504df8ac;689711543;Кадетский;пер.;8;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
52189611;174950937;7d8f1ea3-d382-472c-80b0-4a588862ab6f;689711545;Вилючинская;ул.;8;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
52189613;174950939;d69b0493-b403-4ffb-8324-1af2e4c70140;689711547;Катаева;ул.;8;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
52189697;174957840;9e6da747-a214-4331-b2cf-3de36ff4f5b7;689729601;Пархоменко-2;тер. ГСК;7;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
52189915;379294;222daca3-91c5-4afe-a246-3d418d28307b;689789325;Озерная;ул;8;30;462369;0;2025-10-01;2025-10-01;2079-06-06;1;0
52189916;381110;d88c0cd2-e07f-4dfa-a658-92c5f357f02c;689789326;Безымянный 2-й;пер;8;30;464525;0;2025-10-01;2025-10-01;2079-06-06;1;0
52189918;384341;c2a0080a-fa44-495e-9ac0-a094263b4aca;689789328;Краснояровка;ул;8;30;468373;0;2025-10-01;2025-10-01;2079-06-06;1;0
52189927;174977950;7d6c7904-7973-4b5a-9652-8bd99d0266e9;689792452;Верхнепортовая;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
