ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1595356729;38327624;640832405;689778036;8;25:33:180113:6787;2025-10-01;2025-02-18;2025-10-01
1644372660;174908904;689622892;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644372689;174908914;689622902;0;8;25:12:030601:1238;2025-09-29;2025-09-29;2079-06-06
1644372691;174908914;689622902;0;13;056284161010000000640012001100000;2025-09-29;2025-09-29;2079-06-06
1644372696;174908916;689622904;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644372704;174908919;689622907;0;8;25:12:030601:918;2025-09-29;2025-09-29;2079-06-06
1644372706;174908919;689622907;0;13;056284161010000000640013000800000;2025-09-29;2025-09-29;2079-06-06
1644372708;174908920;689622908;0;15;9;2025-09-29;2025-09-29;2079-06-06
1644372713;174908922;689622910;0;8;25:12:030601:669;2025-09-29;2025-09-29;2079-06-06
1644372715;174908922;689622910;0;13;056284161010000000640014000900000;2025-09-29;2025-09-29;2079-06-06
1644372723;174908925;689622913;0;15;14;2025-09-29;2025-09-29;2079-06-06
1644372725;174908926;689622914;0;8;25:12:030601:1241;2025-09-29;2025-09-29;2079-06-06
1644372727;174908926;689622914;0;13;056284161010000000640012001500000;2025-09-29;2025-09-29;2079-06-06
1644372729;174908927;689622915;0;15;16;2025-09-29;2025-09-29;2079-06-06
1644372731;174908928;689622916;0;8;25:12:030601:1258;2025-09-29;2025-09-29;2079-06-06
1644372733;174908928;689622916;0;13;056284161010000000640012001700000;2025-09-29;2025-09-29;2079-06-06
1644372735;174908929;689622917;0;15;18;2025-09-29;2025-09-29;2079-06-06
1644372662;174908905;689622893;0;8;25:12:030601:746;2025-09-29;2025-09-29;2079-06-06
1644372664;174908905;689622893;0;13;056284161010000000240001001300000;2025-09-29;2025-09-29;2079-06-06
1644372666;174908906;689622894;0;15;14;2025-09-29;2025-09-29;2079-06-06
1644372668;174908907;689622895;0;8;25:12:030601:760;2025-09-29;2025-09-29;2079-06-06
1644372670;174908907;689622895;0;13;056284161010000000240001001500000;2025-09-29;2025-09-29;2079-06-06
1644372672;174908908;689622896;0;15;16;2025-09-29;2025-09-29;2079-06-06
1644372674;174908909;689622897;0;8;25:12:030601:1401;2025-09-29;2025-09-29;2079-06-06
1644372676;174908909;689622897;0;13;056284161010000000240001001700000;2025-09-29;2025-09-29;2079-06-06
1644372678;174908910;689622898;0;15;18;2025-09-29;2025-09-29;2079-06-06
1644372680;174908911;689622899;0;8;25:12:030601:755;2025-09-29;2025-09-29;2079-06-06
1644372682;174908911;689622899;0;13;056284161010000000240001001900000;2025-09-29;2025-09-29;2079-06-06
1644372684;174908912;689622900;0;15;20;2025-09-29;2025-09-29;2079-06-06
1644372686;174908913;689622901;0;8;25:12:030601:1403;2025-09-29;2025-09-29;2079-06-06
1644372688;174908913;689622901;0;13;056284161010000000240001002100000;2025-09-29;2025-09-29;2079-06-06
1644372693;174908915;689622903;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644372698;174908917;689622905;0;8;25:12:030601:1234;2025-09-29;2025-09-29;2079-06-06
1644372700;174908917;689622905;0;13;056284161010000000640012001200000;2025-09-29;2025-09-29;2079-06-06
1644372702;174908918;689622906;0;15;13;2025-09-29;2025-09-29;2079-06-06
1644372710;174908921;689622909;0;8;25:12:030601:1025;2025-09-29;2025-09-29;2079-06-06
1644372712;174908921;689622909;0;13;056284161010000000640002000200000;2025-09-29;2025-09-29;2079-06-06
1644372717;174908923;689622911;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644372719;174908924;689622912;0;8;25:12:030601:937;2025-09-29;2025-09-29;2079-06-06
1644372721;174908924;689622912;0;13;056284161010000000640013001100000;2025-09-29;2025-09-29;2079-06-06
1644372858;174908945;689622937;0;15;46;2025-09-29;2025-09-29;2079-06-06
1644372860;174908946;689622938;0;8;25:28:020036:634;2025-09-29;2025-09-29;2079-06-06
1644372862;174908946;689622938;0;13;057010000000000032240005004700000;2025-09-29;2025-09-29;2079-06-06
1644372864;174908947;689622939;0;15;48;2025-09-29;2025-09-29;2079-06-06
1644372866;174908948;689622940;0;8;25:28:020036:762;2025-09-29;2025-09-29;2079-06-06
1644372868;174908948;689622940;0;13;057010000000000032240005004900000;2025-09-29;2025-09-29;2079-06-06
1644372870;174908949;689622941;0;15;50;2025-09-29;2025-09-29;2079-06-06
1644372872;174908950;689622942;0;8;25:28:020036:760;2025-09-29;2025-09-29;2079-06-06
1644372874;174908950;689622942;0;13;057010000000000032240005005100000;2025-09-29;2025-09-29;2079-06-06
1644372876;174908951;689622943;0;15;52;2025-09-29;2025-09-29;2079-06-06
1644372878;174908952;689622944;0;8;25:28:020036:759;2025-09-29;2025-09-29;2079-06-06
1644372880;174908952;689622944;0;13;057010000000000032240005005300000;2025-09-29;2025-09-29;2079-06-06
