ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
476328402;85148465;126447299;689786856;8;25:10:270001:152;2025-10-01;2019-08-26;2025-10-01
535052625;91133872;133822213;689702866;8;25:10:180003:1342;2025-09-30;2019-07-30;2025-09-30
1644373235;174909068;689623068;0;2;2508;2025-09-29;2025-09-29;2079-06-06
1644373237;174909068;689623068;0;7;05510000051;2025-09-29;2025-09-29;2079-06-06
1644373239;174909068;689623068;0;15;265;2025-09-29;2025-09-29;2079-06-06
1644373241;174909068;689623068;0;21;05510000;2025-09-29;2025-09-29;2079-06-06
1644373561;174909132;689623194;0;7;05723000221;2025-09-29;2025-09-29;2079-06-06
1644373563;174909132;689623194;0;1;2511;2025-09-29;2025-09-29;2079-06-06
1644373565;174909132;689623194;0;15;252;2025-09-29;2025-09-29;2079-06-06
1644373552;174909131;689623193;0;1;2511;2025-09-29;2025-09-29;2079-06-06
1644373554;174909131;689623193;0;6;05423000000;2025-09-29;2025-09-29;2079-06-06
1644373556;174909131;689623193;0;8;25:34:016902:15150;2025-09-29;2025-09-29;2079-06-06
1644373558;174909131;689623193;0;13;057230000010000037110006000000000;2025-09-29;2025-09-29;2079-06-06
1644373616;174909139;689623201;0;1;2536;2025-09-29;2025-09-29;2079-06-06
1644373618;174909139;689623201;0;6;05257000014;2025-09-29;2025-09-29;2079-06-06
1644373620;174909139;689623201;0;8;25:24:040206:246;2025-09-29;2025-09-29;2079-06-06
1644373622;174909139;689623201;0;13;056574250000003000110004000000000;2025-09-29;2025-09-29;2079-06-06
1644373632;174909141;689623203;0;1;2536;2025-09-29;2025-09-29;2079-06-06
1644373634;174909141;689623203;0;6;05257000002;2025-09-29;2025-09-29;2079-06-06
1644373636;174909141;689623203;0;8;25:24:230101:2139;2025-09-29;2025-09-29;2079-06-06
1644373638;174909141;689623203;0;13;056574131160000000810092000000000;2025-09-29;2025-09-29;2079-06-06
1644373659;174909144;689623211;0;1;2536;2025-09-29;2025-09-29;2079-06-06
1644373661;174909144;689623211;0;6;05547000000;2025-09-29;2025-09-29;2079-06-06
1644373663;174909144;689623211;0;8;25:35:060101:1673;2025-09-29;2025-09-29;2079-06-06
1644373665;174909144;689623211;0;13;057470000010000011210015000000000;2025-09-29;2025-09-29;2079-06-06
1644373567;174909132;689623194;0;21;05723000;2025-09-29;2025-09-29;2079-06-06
1644373577;174909134;689623196;0;2;2511;2025-09-29;2025-09-29;2079-06-06
1644373579;174909134;689623196;0;7;05723000001;2025-09-29;2025-09-29;2079-06-06
1644373581;174909134;689623196;0;15;74;2025-09-29;2025-09-29;2079-06-06
1644373583;174909134;689623196;0;21;05723000;2025-09-29;2025-09-29;2079-06-06
1644373593;174909136;689623198;0;2;2511;2025-09-29;2025-09-29;2079-06-06
1644373595;174909136;689623198;0;7;05723000001;2025-09-29;2025-09-29;2079-06-06
1644373597;174909136;689623198;0;15;37;2025-09-29;2025-09-29;2079-06-06
1644373599;174909136;689623198;0;21;05723000;2025-09-29;2025-09-29;2079-06-06
1644376646;174909458;689623687;0;2;2511;2025-09-29;2025-09-29;2079-06-06
1644376648;174909458;689623687;0;7;05723000001;2025-09-29;2025-09-29;2079-06-06
1644376650;174909458;689623687;0;15;346;2025-09-29;2025-09-29;2079-06-06
1644376652;174909458;689623687;0;21;05723000;2025-09-29;2025-09-29;2079-06-06
1644381345;174909995;689624517;0;2;2543;2025-09-29;2025-09-29;2079-06-06
1644381347;174909995;689624517;0;7;05701000001;2025-09-29;2025-09-29;2079-06-06
1644381349;174909995;689624517;0;15;76;2025-09-29;2025-09-29;2079-06-06
1644381351;174909995;689624517;0;21;05701000;2025-09-29;2025-09-29;2079-06-06
1644381309;174909991;689624510;0;2;2511;2025-09-29;2025-09-29;2079-06-06
1644381311;174909991;689624510;0;7;05723000001;2025-09-29;2025-09-29;2079-06-06
1644381313;174909991;689624510;0;15;13;2025-09-29;2025-09-29;2079-06-06
1644381315;174909991;689624510;0;21;05723000;2025-09-29;2025-09-29;2079-06-06
1644381481;174910012;689624534;0;2;2543;2025-09-29;2025-09-29;2079-06-06
