ID;OBJECTID;OBJECTGUID;CHANGEID;NAME;TYPENAME;LEVEL;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
1860582;97954238;d5ff98c8-4962-4f97-a993-830d45b3d4ee;155775384;ДНТ Южное-2;тер.;7;10;0;52189404;2025-09-29;2020-08-18;2025-09-29;0;0
52189974;174981394;cba394b7-30b8-42b8-b9f0-fbacbf6d608c;689799416;Михаила Васильева;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189976;174981396;250b662f-f0a3-4f9d-b405-aeaf6e4f82c6;689799418;Никиты Гусева;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189978;174981398;0a4ae8e1-2f7e-44a5-8ce1-635d26d40a4e;689799420;Никиты Бессмертного;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189980;174981400;2dc8fef7-4758-4ac3-bbd9-71edba67606f;689799422;Алексея Безрукова;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189982;174981402;b6750bee-6a8f-4542-800e-a5b7433c03ae;689799424;Александра Второго;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189984;174981404;fa5c771b-c167-44dc-a9e6-fdeee788ddb4;689799426;Елизаветы Первой;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189986;174981406;5914d659-ed07-4f8f-80de-4e91bf2e373c;689799428;Николая Первого;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189988;174981408;7d5dcc5c-731e-44d6-8e82-5491a2099160;689799430;Князя Барятинского;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189990;174981410;86992121-a2a1-4cc4-a921-1291f576f683;689799432;Воронежская;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189992;174981412;6afd8f57-cb21-4378-9649-c498988f336f;689799434;Нижегородская;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189994;174981414;eff11e70-2c9d-43f6-b7ef-338daec7c543;689799436;Рязанская;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189996;174981416;3f402cac-0b98-4ab3-b790-107d66357c1f;689799438;Суздальская;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189998;174981418;3f857218-98b1-47b5-b712-32e3afe85c19;689799440;Маршала Говорова;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52190000;174981420;04e010b8-024d-4141-b7e0-5dcf19adf007;689799442;Маршала Конева;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52190002;174981422;046d89dc-b639-44dd-b9c1-c36fbe14b808;689799444;Маршала Толбухина;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52190004;174981424;c1592b7b-58e2-49ad-b769-be35b27127cb;689799446;Генерала Скобелева;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52190010;174982380;44278a94-7f21-4396-97e3-79db7db71e71;689801259;Южное-2/2;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
