ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
6091783;401374;1016717;689746902;6;07232814000;2025-09-30;1900-01-01;2025-09-30
6141725;404648;1025322;689746633;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6158606;405746;1028129;689746714;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6157851;405721;1028041;689746722;6;07232822000;2025-09-30;2019-07-05;2025-09-30
1644488608;403912;689653387;0;6;07232000000;2025-09-29;2025-09-29;2079-06-06
1644512433;97954238;689664420;0;10;26000001000087300;2025-09-29;2025-09-29;2079-06-06
6140010;404535;1024999;689735689;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6139420;404507;1024952;689735691;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6138888;404465;1024863;689735694;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6156726;405625;1027787;689735696;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6155696;405578;1027654;689735705;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6155269;405558;1027601;689735708;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6154599;405496;1027439;689735712;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6153611;405441;1027254;689735716;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6152897;405398;1027193;689735722;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6152279;405368;1027082;689735727;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6151645;405330;1026978;689735731;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6150785;405234;1026755;689735734;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6149511;405184;1026609;689735737;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6148782;405123;1026494;689735740;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6138289;404422;1024742;689735742;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6148345;405091;1026390;689735747;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6147298;405020;1026211;689735753;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6146687;404979;1026091;689735756;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6145840;404918;1025999;689735758;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6144866;404843;1025790;689735763;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6144106;404797;1025677;689735766;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6143249;404739;1025551;689735769;6;07232822000;2025-09-30;2019-07-05;2025-09-30
1644804708;404648;689746633;0;6;07232000000;2025-09-30;2025-09-30;2079-06-06
6168649;406415;1029920;689746645;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6167549;406341;1029739;689746646;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6167171;406298;1029606;689746647;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6166473;406271;1029548;689746649;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6166032;406232;1029490;689746659;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6165854;406221;1029417;689746662;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6165023;406176;1029308;689746665;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6164794;406170;1029257;689746668;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6164503;406153;1029222;689746671;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6164214;406124;1029172;689746688;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6163172;406028;1028947;689746691;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6162250;405999;1028841;689746693;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6161747;405957;1028717;689746698;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6161130;405924;1028636;689746701;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6160482;405888;1028528;689746703;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6159644;405827;1028361;689746706;6;07232822000;2025-09-30;2019-07-05;2025-09-30
6159222;405803;1028287;689746710;6;07232822000;2025-09-30;2019-07-05;2025-09-30
