CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689636492;34382962;de830c21-d61f-47e0-bf8b-a590480b315c;40;27408585;2025-09-29
689636543;174914979;1568e227-aabe-4f1f-9c00-719024f275fa;10;27408593;2025-09-29
689636544;174914980;3ed6636a-c66f-44ed-b513-5c2226b9f81f;10;27408593;2025-09-29
689636693;174915028;69703e23-ee4d-4ed6-9f82-f18cdfbe6192;10;27408631;2025-09-29
689638300;174915904;fdf6fa06-b5b6-455c-8aaf-ef31d354611b;10;27409113;2025-09-29
689638623;95067719;f0637473-2b35-495c-abff-a2032ef8f4d3;40;27409155;2025-09-29
689670329;59487754;86131fd5-ffc9-4747-9a27-e7db2db27338;20;27406117;2025-09-29
689642978;174918056;5052f9f5-0f1d-40f8-916e-2e1d44a05046;10;27409723;2025-09-29
689642995;174918062;ae0105ba-66ec-43a9-b892-d933af05750b;10;27409738;2025-09-29
689643946;89366394;a7a929b8-9b51-4e8a-90b6-89d3a9df7c7d;20;27409883;2025-09-29
689643973;87156740;ad96ab30-f577-462b-8e5d-9a95d475e245;20;27409897;2025-09-29
689646141;174920019;fd225d33-4d6f-4244-862a-bd6374e20030;10;27404028;2025-09-29
689646571;174920263;6dbaf1b5-ca35-493a-80d7-b55f7feece77;10;27410501;2025-09-29
689646766;174920387;41731371-5aa8-41cc-8dc2-236c732dab83;10;27410560;2025-09-29
689649383;174921999;96b4863b-9aba-49bc-8237-79f59763078e;10;27410844;2025-09-29
689649474;77165116;6dca1965-dfc0-4b7a-85e4-8318f08710eb;20;27403881;2025-09-29
689649542;77165141;94863134-1529-4dde-aefa-798510103fb3;20;27403881;2025-09-29
689649676;77165418;1e289c5f-135f-4b2c-8459-36d85c334a0c;20;27403881;2025-09-29
689652695;167271625;1d969281-8a0e-4435-b3a3-f892bd91723d;20;27403290;2025-09-29
689652701;167271628;522c2bbb-071b-4c5c-b8b4-1520bc271a23;20;27403290;2025-09-29
689652884;167271629;59df813c-328d-49aa-9618-470a0567a0cc;20;27403290;2025-09-29
689652963;167271631;b37a289e-8e68-4b4d-b55f-a32600bc284a;20;27403290;2025-09-29
689653049;167271633;5bdd5754-726f-4f43-9bf8-45b4d841955e;20;27403290;2025-09-29
689653387;403912;9c834ce5-68a5-4f48-86ff-0ff63accc7d8;21;27411418;2025-09-29
689655825;174926139;e7ca35c5-acb2-48de-834f-ae90b1eab5fa;10;27411644;2025-09-29
689655837;174926145;cc1e7c31-2c10-4ad2-8e81-5350f9304e22;10;27411651;2025-09-29
689655832;51818958;b131e05e-7cf6-42fd-8d09-e686cf4f3a68;20;27411644;2025-09-29
689655848;174926153;adeb23c6-0a15-4a0a-b51d-c3fea57e2dd2;10;27411656;2025-09-29
689655845;174926151;0eeb11a2-8f5d-43a9-95f2-d9e63815778c;10;27411654;2025-09-29
689655857;174926157;551cf28e-84d4-4504-a90f-065baeaeee6b;10;27411659;2025-09-29
689655887;167271635;42ff2e0d-c07f-4c61-93cb-dc23d49d4647;20;27403290;2025-09-29
689655892;167271637;6ee2e0fd-b398-4824-83bc-91f7f1b71c97;20;27403290;2025-09-29
689655926;59507247;06e17aed-5ac9-4636-a77f-4b23d8ebd742;20;27403881;2025-09-29
689655953;174926215;f5721110-f873-44ed-83d9-29beee847c1e;10;27411694;2025-09-29
689655975;59494964;14a4fc9b-3378-463e-ac01-a02f12c77eb2;20;27403881;2025-09-29
689664207;59501166;76149a3e-4849-4c05-bcf2-3a076f1ed20e;20;27403881;2025-09-29
689664377;76020546;849f9fdb-76e2-468e-8cc3-a871a5e711d8;20;27412044;2025-09-29
689664420;97954238;3d3d684e-8f9e-4cd2-a6d0-0d464aa60dbc;20;27412061;2025-09-29
689665925;59595594;bf492514-11e8-4386-8d78-c3606a4d0cd1;20;27406117;2025-09-29
689666165;59604160;d964a028-d833-40ed-bc80-57e563544f80;20;27406117;2025-09-29
689667433;59735579;e2bcf6e0-1054-4f15-9a06-fc6821c84579;20;27406117;2025-09-29
689668744;59734326;e96c87c7-e0cd-44db-a290-f6d7aec9a1ed;20;27406117;2025-09-29
689668856;59513338;01d39850-c28a-4b16-a0a5-aab43e0cbcd7;20;27406117;2025-09-29
689668975;59766507;25dae30e-97ba-4a24-b0a8-6074319786f7;20;27406117;2025-09-29
689669200;59663436;1f1a3403-d7a3-42a4-8b55-d26e6f39e9f4;20;27406117;2025-09-29
689669316;174930323;5a6b7d18-ae84-4a21-8a03-180510c11e3e;10;27412806;2025-09-29
689669363;59632407;e76ea10d-97fb-47de-ae80-8dee6cb4381b;20;27406117;2025-09-29
689669863;59439125;4e516239-3f36-4b50-83e7-d4d5c30d63a3;20;27406117;2025-09-29
689669962;174930628;a451526c-9b4d-46e1-9261-8b47abe4e9ef;10;27406161;2025-09-29
689673125;45445920;488d0180-633b-415f-ace4-2e30732e5f1d;42;27413507;2025-09-29
689695823;174943021;847ec9bd-f992-44ff-9dca-b40c65479292;10;27417320;2025-09-29
689695825;174943023;21537ddd-515d-48da-a3ba-27f6d0f1590a;10;27417320;2025-09-29
689695836;174943030;75ec498f-d488-44f0-aea1-50dca090afda;10;27416289;2025-09-29
689674952;174933456;f3ddf7dc-d845-47ff-aed2-a144a54185f8;10;27413980;2025-09-29
689675115;93451046;1a003d1d-df7c-4ce0-8c03-30aa0989e548;20;27414023;2025-09-29
689675516;97536171;23f85fca-303e-4dfa-be83-c7f70f162b35;20;27414153;2025-09-29
689675578;97454477;7a1dae33-1d09-4b7b-8bff-7ed5df0068f1;20;27414177;2025-09-29
689675647;91508047;f2e85299-8ec2-4497-8dc1-8811c0595ff7;20;27414206;2025-09-29
689695881;174943062;7c19104a-ae1e-4bc6-967a-152cf5468a7b;10;27416289;2025-09-29
689695913;174943086;6b6dc7d5-18c5-46eb-bbe2-e6cd783d5bdc;10;27416289;2025-09-29
689695944;174943103;407e4c0d-e277-42d9-bf17-3462f65ed679;10;27416289;2025-09-29
689678989;174935095;1d3c8fef-9b9e-4429-aa15-c3240ec91059;10;27414526;2025-09-29
689695981;174943117;77fced60-ad9c-418e-ae86-c397968d8307;10;27416289;2025-09-29
689696036;174943160;c9fba857-7b69-42cb-894d-c31fc79a6854;10;27416289;2025-09-29
689686274;167271892;55737385-5513-4fae-bbb6-dbc4de483d23;20;27403290;2025-09-29
689686445;167271894;eb6d2bba-4f2d-48fe-a581-43f6b2c57aa1;20;27403290;2025-09-29
689686523;167271895;0a63a033-958b-4dac-b614-fab08d5a58bc;20;27403290;2025-09-29
689686964;167271897;f6afe7d9-f4b7-4838-991d-f4e46b29bcac;20;27403290;2025-09-29
689687079;167271899;3f1df40d-c0ec-4ece-bf4b-3b1bf2360c95;20;27403290;2025-09-29
689687126;167271901;ce9efa5d-ecc6-4aba-aa67-a28f1e290841;20;27403290;2025-09-29
689687407;167271903;88ad6448-d632-490a-8c33-aff043051a45;20;27403290;2025-09-29
689687986;167271904;c09783cb-719b-478b-b401-5b2fa7942c13;20;27403290;2025-09-29
689688048;167271906;6ab1a17f-d741-4dc9-999e-83d629860b78;20;27403290;2025-09-29
689688084;167279806;ccee42ac-3a2d-4c20-a0ca-2a5b9e426a54;20;27403290;2025-09-29
689688220;167279808;0706964d-592e-41f7-95f5-77876d35ba74;20;27403290;2025-09-29
689688271;167279810;136ad87d-3060-4163-917e-410efbc664ed;20;27403290;2025-09-29
689688316;167279812;92f1e61e-4071-4794-a234-71bdea7d850d;20;27403290;2025-09-29
689688364;167279813;5b7ae0c0-23a5-4b26-aec8-fbdecf5749a3;20;27403290;2025-09-29
689688554;167279816;ed2b08b2-19f4-421b-8f18-ab54f49c4375;20;27403290;2025-09-29
689688580;167279965;d7c8e919-124f-4ce0-bf0f-e9d60988bccf;20;27403290;2025-09-29
689696062;174943171;306e7b57-66b0-4d19-873c-452dd5907775;10;27416289;2025-09-29
