ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
12103018;16845946;430947;26671587;27;0;0;2025-10-01;2011-01-12;2079-06-06;0;466527.429457.429628.430947.16845946
12872481;83375559;431074;123849843;27;0;0;2025-10-01;2012-07-03;2079-06-06;0;466527.431791.429674.431074.83375559
16965382;44028847;44027370;66409882;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44028847
16964887;44032000;44027370;66413135;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44032000
16964901;44032033;44027370;66413170;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44032033
16965308;44030645;44027370;66411735;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44030645
16965314;44030656;44027370;66411746;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44030656
16965348;44030763;44027370;66411862;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44030763
16965406;44029144;44027370;66410202;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44029144
16965420;44029175;44027370;66410234;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44029175
16965471;44029979;44027370;66411067;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44029979
16965587;44030504;44027370;66411595;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44030504
16965612;44030555;44027370;66411645;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44030555
16965488;44030266;44027370;66411356;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44030266
16965500;44030324;44027370;66411414;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44030324
16965553;44030377;44027370;66411467;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44030377
16965677;44031081;44027370;66412184;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44031081
16965755;44032132;44027370;66413273;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44032132
16965766;44032157;44027370;66413298;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44032157
16965787;44032347;44027370;66413494;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44032347
16965727;44031285;44027370;66412389;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44031285
16965820;44032763;44027370;66413920;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44032763
16965848;44032799;44027370;66413964;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44032799
16965858;44032816;44027370;66413983;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44032816
16965911;44033339;44027370;66414540;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033339
16965977;44033489;44027370;66414757;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033489
16965875;44033052;44027370;66414221;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033052
16965916;44033353;44027370;66414560;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033353
16965962;44033470;44027370;66414734;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033470
16966010;44033649;44027370;66414964;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033649
16966075;44033952;44027370;66415388;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033952
16966119;44034101;44027370;66415605;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44034101
16966177;44034467;44027370;66416169;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44034467
16966171;44034457;44027370;66416157;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44034457
16966162;44034447;44027370;66416136;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44034447
16966270;44035747;44027370;66418059;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44035747
16966305;44035812;44027370;66418187;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44035812
16966318;44035821;44027370;66418202;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44035821
16966340;44035842;44027370;66418231;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44035842
16966365;44035871;44027370;66418276;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44035871
16966394;44036020;44027370;66418479;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036020
16966460;44043291;44027370;66428501;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44043291
16966482;44043327;44027370;66428541;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44043327
16966550;44036284;44027370;66418912;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036284
16966642;44036520;44027370;66419236;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036520
16966578;44036392;44027370;66419069;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036392
16966632;44036495;44027370;66419201;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036495
16966662;44036550;44027370;66419271;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036550
16966711;44036963;44027370;66419895;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036963
16966729;44037206;44027370;66420265;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44037206
16966741;44037372;44027370;66420493;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44037372
16966765;44037457;44027370;66420603;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44037457
16966813;44037870;44027370;66421165;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44037870
16966847;44037936;44027370;66421247;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44037936
16966895;44038797;44027370;66422331;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44038797
16966882;44038704;44027370;66422219;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44038704
16966929;44038866;44027370;66422410;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44038866
16966969;44044872;44027370;66430453;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44044872
16967037;44045004;44027370;66430659;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44045004
16967002;44044902;44027370;66430505;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44044902
16967031;44044995;44027370;66430646;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44044995
16967064;44045280;44027370;66431076;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44045280
16967084;44045416;44027370;66431254;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44045416
16967062;44045273;44027370;66431066;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44045273
16967257;44046538;44027370;66433027;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44046538
16967373;44058045;44027370;66449981;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44058045
16967342;44058005;44027370;66449917;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44058005
16967485;44048035;44027370;66435271;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44048035
16967430;44047080;44027370;66433819;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44047080
16967391;44058103;44027370;66450071;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44058103
16967411;44058176;44027370;66450178;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44058176
16967541;44039297;44027370;66422957;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44039297
16967537;44039284;44027370;66422943;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44039284
16967558;44039457;44027370;66423145;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44039457
16967554;44039413;44027370;66423096;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44039413
16967566;44039730;44027370;66423475;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44039730
16967587;44040721;44027370;66425047;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44040721
16967597;44040767;44027370;66425107;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44040767
16967653;44041858;44027370;66426693;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44041858
16967680;44042427;44027370;66427412;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44042427
16967693;44042460;44027370;66427469;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44042460
16967713;44042488;44027370;66427513;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44042488
16967685;44042434;44027370;66427422;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44042434
16967762;44043041;44027370;66428231;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44043041
16967800;44058958;44027370;66451330;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44058958
16967825;44059578;44027370;66452215;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44059578
16967830;44059773;44027370;66452482;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44059773
16967841;44059819;44027370;66452551;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44059819
16967896;44061386;44027370;66454692;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44061386
16967933;44062451;44027370;66456288;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44062451
16968487;44063255;44027370;66457581;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44063255
16968498;44063553;44027370;66457914;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44063553
16968521;44064357;44027370;66459217;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44064357
16968591;44073291;44027370;66472201;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44073291
16968578;44065729;44027370;66461218;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44065729
16968648;44070736;44027370;66468481;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44070736
16968678;44070861;44027370;66468683;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44070861
16968725;44070931;44027370;66468792;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44070931
16968691;44070885;44027370;66468714;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44070885
16968758;44070978;44027370;66468863;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44070978
16968798;44081119;44027370;66484217;27;0;0;2025-10-01;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44081119
243982450;172037447;46337341;645473698;27;0;0;2025-09-29;2025-05-05;2079-06-06;0;466527.466598.468920.46337341.172037447
243982715;172037712;46337341;645474021;27;0;0;2025-09-29;2025-05-05;2079-06-06;0;466527.466598.468920.46337341.172037712
243982723;172037720;46337341;645474029;27;0;0;2025-09-29;2025-05-05;2079-06-06;0;466527.466598.468920.46337341.172037720
247032872;174920144;433542;689646364;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.431791.428985.433542.174920144
247032933;174920203;431885;689646488;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.431791.428985.431885.174920203
247021573;174908902;104225137;689622889;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.429457.430215.430332.104225137.174908902
247021782;174909111;420740;689623124;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466561.420740.174909111
247021783;174909112;170908815;689623125;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466561.421261.170908815.174909112
247021788;174909117;430501;689623133;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.431791.432336.430501.174909117
247021787;174909116;430501;689623132;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.431791.432336.430501.174909116
243982451;172037448;46337341;645473699;27;0;0;2025-09-29;2025-05-05;2079-06-06;0;466527.466598.468920.46337341.172037448
243982716;172037713;46337341;645474022;27;0;0;2025-09-29;2025-05-05;2079-06-06;0;466527.466598.468920.46337341.172037713
243982718;172037715;46337341;645474024;27;0;0;2025-09-29;2025-05-05;2079-06-06;0;466527.466598.468920.46337341.172037715
243982721;172037718;46337341;645474027;27;0;0;2025-09-29;2025-05-05;2079-06-06;0;466527.466598.468920.46337341.172037718
247021908;174909235;470286;689623369;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.428431.470286.174909235
247022154;174909481;466454;689623722;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466561.466454.174909481
247022162;174909489;466902;689623731;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466561.466902.174909489
247022270;174909597;423187;689623845;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466561.423187.174909597
247022698;174910023;422980;689624546;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466561.422980.174910023
247023496;174910821;468920;689626330;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466598.468920.174910821
247023498;174910823;174910821;689626332;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466598.468920.174910821.174910823
247023500;174910825;174910821;689626334;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466598.468920.174910821.174910825
247023502;174910827;174910821;689626336;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466598.468920.174910821.174910827
247023504;174910829;174910821;689626338;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466598.468920.174910821.174910829
247023506;174910831;174910821;689626340;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466598.468920.174910821.174910831
247023508;174910833;174910821;689626342;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466598.468920.174910821.174910833
247023510;174910835;174910821;689626344;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.466598.468920.174910821.174910835
16965285;44028738;44027370;66409767;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44028738
16965415;44029166;44027370;66410224;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44029166
16965450;44029677;44027370;66410756;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44029677
16965559;44030388;44027370;66411478;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44030388
16965338;44030697;44027370;66411787;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44030697
16965650;44031016;44027370;66412119;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44031016
16965721;44031275;44027370;66412380;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44031275
16968625;44070695;44027370;66468422;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44070695
16968790;44081002;44027370;66484040;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44081002
16965458;44029705;44027370;66410785;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44029705
16964838;44031335;44027370;66412443;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44031335
16964857;44031364;44027370;66412472;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44031364
16965775;44032192;44027370;66413333;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44032192
16965814;44032754;44027370;66413910;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44032754
16965886;44033290;44027370;66414479;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033290
16965921;44033359;44027370;66414569;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033359
16965950;44033455;44027370;66414717;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033455
16965995;44033565;44027370;66414836;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033565
16966031;44033690;44027370;66415010;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033690
16966061;44033936;44027370;66415368;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44033936
16966125;44034123;44027370;66415649;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44034123
16966190;44034485;44027370;66416194;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44034485
16966283;44035797;44027370;66418149;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44035797
16966352;44035857;44027370;66418256;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44035857
16966534;44036258;44027370;66418865;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036258
16966566;44036367;44027370;66419036;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036367
16966613;44036472;44027370;66419174;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036472
16966656;44036544;44027370;66419263;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44036544
16966789;44037758;44027370;66420995;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44037758
16966820;44037885;44027370;66421182;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44037885
16967527;44039257;44027370;66422910;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44039257
16967628;44041656;44027370;66426393;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44041656
16967648;44041713;44027370;66426467;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44041713
16967703;44042472;44027370;66427484;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44042472
16967767;44043075;44027370;66428265;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44043075
16966450;44043277;44027370;66428485;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44043277
16966989;44044891;44027370;66430488;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44044891
16967026;44044983;44027370;66430632;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44044983
16967263;44046729;44027370;66433270;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44046729
16967349;44058012;44027370;66449930;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44058012
16967274;44058212;44027370;66450223;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44058212
16967295;44058251;44027370;66450268;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44058251
16967833;44059784;44027370;66452500;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44059784
16967927;44062293;44027370;66456052;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44062293
16968533;44064398;44027370;66459268;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44064398
16968612;44070631;44027370;66468320;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44070631
247025670;174912991;104624562;689631868;27;0;0;2025-09-29;2025-09-29;2079-06-06;1;466527.427722.427893.427301.104624562.174912991
16965385;44029106;44027370;66410161;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44029106
16965663;44031046;44027370;66412149;27;0;0;2025-09-29;2019-02-25;2079-06-06;0;466527.466582.420949.44027370.44031046
