ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644373390;174909112;689623125;0;8;27:23:0051004:2519;2025-09-29;2025-09-29;2079-06-06
1644373392;174909112;689623125;0;13;087010000000000015640099001100000;2025-09-29;2025-09-29;2079-06-06
1644373403;174909114;689623127;0;15;12;2025-09-29;2025-09-29;2079-06-06
1534764478;78535656;604622669;689623708;8;27:20:0010133:597;2025-09-29;2024-10-15;2025-09-29
1644386311;174910822;689626331;0;8;27:19:0010117:192;2025-09-29;2025-09-29;2079-06-06
1644386313;174910822;689626331;0;13;086091010000000002640025000100000;2025-09-29;2025-09-29;2079-06-06
1644386315;174910823;689626332;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644386317;174910824;689626333;0;8;27:19:0010117:203;2025-09-29;2025-09-29;2079-06-06
1644386319;174910824;689626333;0;13;086091010000000002640025000300000;2025-09-29;2025-09-29;2079-06-06
1644386321;174910825;689626334;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644386323;174910826;689626335;0;8;27:19:0010117:197;2025-09-29;2025-09-29;2079-06-06
1644386325;174910826;689626335;0;13;086091010000000002640025000500000;2025-09-29;2025-09-29;2079-06-06
1644386327;174910827;689626336;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644386329;174910828;689626337;0;8;27:19:0010117:198;2025-09-29;2025-09-29;2079-06-06
1644386331;174910828;689626337;0;13;086091010000000002640025000700000;2025-09-29;2025-09-29;2079-06-06
1644386333;174910829;689626338;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644386335;174910830;689626339;0;8;27:19:0010117:205;2025-09-29;2025-09-29;2079-06-06
1644386337;174910830;689626339;0;13;086091010000000002640025000900000;2025-09-29;2025-09-29;2079-06-06
1644386339;174910831;689626340;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644386341;174910832;689626341;0;8;27:19:0010117:195;2025-09-29;2025-09-29;2079-06-06
1644386343;174910832;689626341;0;13;086091010000000002640025001100000;2025-09-29;2025-09-29;2079-06-06
1644386345;174910833;689626342;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644386347;174910834;689626343;0;8;27:19:0010117:204;2025-09-29;2025-09-29;2079-06-06
1644386349;174910834;689626343;0;13;086091010000000002640025001300000;2025-09-29;2025-09-29;2079-06-06
1644386351;174910835;689626344;0;15;14;2025-09-29;2025-09-29;2079-06-06
1644404804;174912991;689631868;0;8;27:13:0301002:749;2025-09-29;2025-09-29;2079-06-06
1644404806;174912991;689631868;0;13;086421650510000000840007000100000;2025-09-29;2025-09-29;2079-06-06
1644404808;174912992;689631869;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644414274;174914017;689634746;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644414276;174914018;689634747;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644414278;174914019;689634748;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644414280;174914020;689634749;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644414282;174914021;689634750;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644414284;174914022;689634751;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644414286;174914023;689634752;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644414288;174914024;689634753;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644414290;174914025;689634754;0;15;9;2025-09-29;2025-09-29;2079-06-06
1644414292;174914026;689634755;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644414294;174914027;689634756;0;15;11;2025-09-29;2025-09-29;2079-06-06
1644414296;174914028;689634757;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644414298;174914029;689634758;0;15;13;2025-09-29;2025-09-29;2079-06-06
1644414300;174914030;689634759;0;15;14;2025-09-29;2025-09-29;2079-06-06
1644414302;174914031;689634760;0;15;15;2025-09-29;2025-09-29;2079-06-06
1644414304;174914032;689634761;0;15;16;2025-09-29;2025-09-29;2079-06-06
1644414306;174914033;689634762;0;15;17;2025-09-29;2025-09-29;2079-06-06
1644414308;174914034;689634763;0;15;18;2025-09-29;2025-09-29;2079-06-06
1644414310;174914035;689634764;0;15;19;2025-09-29;2025-09-29;2079-06-06
1644414312;174914036;689634765;0;15;20;2025-09-29;2025-09-29;2079-06-06
1644414314;174914037;689634766;0;15;21;2025-09-29;2025-09-29;2079-06-06
1644414316;174914038;689634767;0;15;22;2025-09-29;2025-09-29;2079-06-06
1644414318;174914039;689634768;0;15;23;2025-09-29;2025-09-29;2079-06-06
1644414320;174914040;689634769;0;15;24;2025-09-29;2025-09-29;2079-06-06
1644414322;174914041;689634770;0;15;25;2025-09-29;2025-09-29;2079-06-06
1644414324;174914042;689634771;0;15;26;2025-09-29;2025-09-29;2079-06-06
1644414326;174914043;689634772;0;15;27;2025-09-29;2025-09-29;2079-06-06
1644414328;174914044;689634773;0;15;28;2025-09-29;2025-09-29;2079-06-06
1644414330;174914045;689634774;0;15;29;2025-09-29;2025-09-29;2079-06-06
1644414332;174914046;689634775;0;15;30;2025-09-29;2025-09-29;2079-06-06
1644414334;174914047;689634776;0;15;31;2025-09-29;2025-09-29;2079-06-06
1644414336;174914048;689634777;0;15;32;2025-09-29;2025-09-29;2079-06-06
1644414338;174914049;689634778;0;15;33;2025-09-29;2025-09-29;2079-06-06
1644414340;174914050;689634779;0;15;34;2025-09-29;2025-09-29;2079-06-06
1644414342;174914051;689634780;0;15;35;2025-09-29;2025-09-29;2079-06-06
1644414344;174914052;689634781;0;15;36;2025-09-29;2025-09-29;2079-06-06
1644414346;174914053;689634782;0;15;37;2025-09-29;2025-09-29;2079-06-06
1644414348;174914054;689634783;0;15;38;2025-09-29;2025-09-29;2079-06-06
1644414350;174914055;689634784;0;15;39;2025-09-29;2025-09-29;2079-06-06
1644414352;174914056;689634785;0;15;40;2025-09-29;2025-09-29;2079-06-06
1644414354;174914057;689634786;0;15;41;2025-09-29;2025-09-29;2079-06-06
1644414356;174914058;689634787;0;15;42;2025-09-29;2025-09-29;2079-06-06
1644414358;174914059;689634788;0;15;43;2025-09-29;2025-09-29;2079-06-06
1644414360;174914060;689634789;0;15;44;2025-09-29;2025-09-29;2079-06-06
1644414362;174914061;689634790;0;15;45;2025-09-29;2025-09-29;2079-06-06
1644414364;174914062;689634791;0;15;46;2025-09-29;2025-09-29;2079-06-06
1644414366;174914063;689634792;0;15;47;2025-09-29;2025-09-29;2079-06-06
1644414368;174914064;689634793;0;15;48;2025-09-29;2025-09-29;2079-06-06
1644414370;174914065;689634794;0;15;49;2025-09-29;2025-09-29;2079-06-06
1644414372;174914066;689634795;0;15;50;2025-09-29;2025-09-29;2079-06-06
1644414374;174914067;689634796;0;15;51;2025-09-29;2025-09-29;2079-06-06
1644414376;174914068;689634797;0;15;52;2025-09-29;2025-09-29;2079-06-06
1644414378;174914069;689634798;0;15;53;2025-09-29;2025-09-29;2079-06-06
1644414380;174914070;689634799;0;15;54;2025-09-29;2025-09-29;2079-06-06
1644414382;174914071;689634800;0;15;55;2025-09-29;2025-09-29;2079-06-06
1644414384;174914072;689634801;0;15;56;2025-09-29;2025-09-29;2079-06-06
1644414386;174914073;689634802;0;15;57;2025-09-29;2025-09-29;2079-06-06
1644414388;174914074;689634803;0;15;58;2025-09-29;2025-09-29;2079-06-06
