ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
11109982;7133756;430759;12315591;28;0;0;2025-09-30;2015-11-30;2079-06-06;0;429809.430067.430759.7133756
15660365;19597620;438915;30737958;28;0;0;2025-10-01;1980-11-14;2079-06-06;0;429809.440228.440417.438915.19597620
15662044;10097511;442272;16648380;28;0;0;2025-10-01;1975-10-09;2079-06-06;0;429809.440228.440417.442272.10097511
15755276;23765859;23764073;36899399;28;0;0;2025-09-30;2017-04-03;2079-06-06;0;429809.440228.441184.437887.23764073.23765859
15759165;38378782;439600;58191226;28;0;0;2025-10-01;1900-01-01;2079-06-06;0;429809.440228.441213.439600.38378782
16555872;44342523;440900;66852250;28;0;0;2025-09-30;1900-01-01;2079-06-06;0;429809.441712.442590.440900.44342523
247021819;174909148;433247;689623245;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.429996.433247.174909148
247021821;174909150;430831;689623249;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430033.430831.174909150
247021835;174909164;433658;689623275;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430094.433658.174909164
247021839;174909168;432654;689623279;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430094.432654.174909168
247021823;174909152;433411;689623252;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430033.433411.174909152
247021825;174909154;433411;689623254;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430033.433411.174909154
247021827;174909156;433411;689623256;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430033.433411.174909156
247021829;174909158;433411;689623258;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430033.433411.174909158
247021831;174909160;433411;689623260;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430033.433411.174909160
247021836;174909165;431554;689623276;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430094.431554.174909165
12667012;13703328;430094;21971404;28;0;247022667;2025-09-29;2019-10-16;2025-09-29;0;429809.430094.13703328
12667018;90638554;430094;133259192;28;0;247022669;2025-09-29;2019-10-16;2025-09-29;0;429809.430094.90638554
247025897;174913215;440019;689632891;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.441712.442190.440019.174913215
247025899;174913217;440019;689632893;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.441712.442190.440019.174913217
247025901;174913219;440019;689632895;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.441712.442190.440019.174913219
247025903;174913221;440019;689632897;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.441712.442190.440019.174913221
247025905;174913223;440019;689632899;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.441712.442190.440019.174913223
247025907;174913225;440019;689632901;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.441712.442190.440019.174913225
247025920;174913238;171502151;689632938;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.441712.171502151.174913238
12079963;45639999;432124;68740433;28;0;0;2025-09-29;2008-09-03;2079-06-06;0;429809.430094.432124.45639999
12085914;45696346;432124;68818170;28;0;0;2025-09-29;2008-09-03;2079-06-06;0;429809.430094.432124.45696346
247042033;174928718;433317;689666015;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430067.433317.174928718
247042407;174929090;431974;689666919;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430067.431974.174929090
247042409;174929092;431974;689666921;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430067.431974.174929092
247042531;174929214;430027;689667099;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430067.430027.174929214
112351415;96393993;432124;145843423;28;0;0;2025-09-29;2020-04-20;2079-06-06;0;429809.430094.432124.96393993
247042636;174929317;431836;689667317;28;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.430067.431836.174929317
11276593;30158598;433914;46204684;28;0;0;2025-09-30;2015-11-30;2079-06-06;0;429809.430067.433914.30158598
11151182;35792585;432164;54358725;28;0;0;2025-09-30;2015-11-30;2079-06-06;0;429809.430067.432164.35792585
11182864;70862959;432726;105572062;28;0;0;2025-09-30;1900-01-01;2079-06-06;0;429809.430067.432726.70862959
11147405;9862703;431876;16318275;28;0;0;2025-09-30;2017-12-18;2079-06-06;0;429809.430067.431876.9862703
11306436;44836926;435417;67577426;28;0;0;2025-09-30;1900-01-01;2079-06-06;0;429809.430067.435417.44836926
11104706;61129765;429843;91290933;28;0;0;2025-09-30;2015-12-01;2079-06-06;0;429809.430067.429843.61129765
11306676;44847489;435417;67592541;28;0;0;2025-09-30;2017-12-19;2079-06-06;0;429809.430067.435417.44847489
247059004;174945297;432197;689701439;28;0;0;2025-09-30;2025-09-30;2079-06-06;1;429809.430067.432197.174945297
11277861;60493166;434005;90307979;28;0;0;2025-09-30;2016-07-07;2079-06-06;0;429809.430067.434005.60493166
247059397;174945689;440288;689701968;28;0;0;2025-09-30;2025-09-30;2079-06-06;1;429809.440228.440650.440288.174945689
15701436;6621450;440354;11571127;28;0;0;2025-09-30;2017-12-18;2079-06-06;0;429809.440228.440650.440354.6621450
15793597;83978815;83976088;124756761;28;0;0;2025-09-30;2017-03-29;2079-06-06;0;429809.440228.441760.439239.83976088.83978815
247059856;174946144;56977255;689703225;28;0;0;2025-09-30;2025-09-30;2079-06-06;1;429809.434072.434290.435226.56977255.174946144
15722849;79857969;439093;118690080;28;0;0;2025-09-30;1991-08-20;2079-06-06;0;429809.440228.440694.439093.79857969
10686129;4945864;431190;9102877;28;0;0;2025-09-30;2017-12-12;2079-06-06;0;429809.429996.432610.431190.4945864
15793594;83976088;439239;124752604;28;0;0;2025-09-30;1900-01-01;2079-06-06;0;429809.440228.441760.439239.83976088
15641548;39406841;440451;59708031;28;0;0;2025-09-30;1973-01-26;2079-06-06;0;429809.440228.440296.440451.39406841
15779168;18525801;439328;29143835;28;0;0;2025-09-30;1969-05-20;2079-06-06;0;429809.440228.441690.439328.18525801
15779825;40951522;440722;61949020;28;0;0;2025-09-30;1984-08-20;2079-06-06;0;429809.440228.441690.440722.40951522
