ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
56008;1566545;1e88433e-41b5-41b0-b492-18439a063466;4222204;3;2;10;0;111806455;2025-09-30;2003-07-22;2025-09-30;0;0
22392050;38383526;bd78c56a-7862-4c88-a0de-62cb48f36850;58198393;1;2;1;0;111811550;2025-10-01;1900-01-01;2025-10-01;0;0
50250021;83978815;78fb287a-29b5-4b57-ad5e-f0c9e4df6b68;124756761;1;2;10;0;111805836;2025-09-30;2017-03-29;2025-09-30;0;0
50250310;83979296;7916ba2b-6a07-4e85-9300-59a7c37ecad0;124757488;2;2;10;0;111805837;2025-09-30;2017-03-29;2025-09-30;0;0
111806455;1566545;1e88433e-41b5-41b0-b492-18439a063466;689707195;3;2;30;56008;0;2025-09-30;2025-09-30;2079-06-06;1;0
56015;1566565;37e1051b-a0fd-4a46-a01c-c7cc4b900753;4222224;1;2;10;0;111806456;2025-09-30;2003-07-22;2025-09-30;0;0
56028;1566599;5211389f-85cd-45e5-bbd7-f6f74f5e01ab;4222265;4;2;10;0;111806457;2025-09-30;2003-07-22;2025-09-30;0;0
56030;1566605;bec6d73f-c4ea-43f5-bb09-52b0fbec2b2e;4222275;2;2;10;0;111806458;2025-09-30;2003-07-22;2025-09-30;0;0
111811550;38383526;bd78c56a-7862-4c88-a0de-62cb48f36850;689777651;1;2;30;22392050;0;2025-10-01;2025-10-01;2079-06-06;1;0
24193038;41280809;7caf25c8-d332-4cb7-a4fb-ba2dba96f5c6;62431014;2;2;10;0;111811551;2025-10-01;2018-02-08;2025-10-01;0;0
24193078;41280938;ce60e891-4188-4757-86b6-a91e43a9a3b1;62431229;1;2;10;0;111811552;2025-10-01;2018-02-08;2025-10-01;0;0
111811554;174970933;67ac91eb-d873-4204-9aa1-82174046ac06;689777668;2;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811572;174970972;76a3c1be-20cf-44e8-be20-001b06ef7bbc;689777738;54;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811574;174970974;ada964ee-bf97-4d9a-b9d6-d97d2ca2661c;689777740;52;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811576;174970976;9ddccf3b-c94a-4cb3-b024-c68e1e5d6e1a;689777742;50;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811578;174970978;ffedbd0f-e006-4064-b3db-eb65adcf3cc9;689777744;48;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811580;174970980;23b32afe-6979-42ca-b3de-857622e25d13;689777746;46;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811582;174970982;b6956338-c590-40e5-9f43-9da5079c12fc;689777748;44;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811584;174970984;314cfb2c-1d8f-41f6-a1f7-0af9d17b2947;689777750;42;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811586;174970986;6e699937-6dd4-478f-92c3-4b6f5ae07964;689777752;40;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811588;174970988;bf34c881-77f8-4a0a-9a64-9487617cf8f6;689777754;38;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811590;174970990;751d7343-ac58-4543-8b38-dc711af3e739;689777756;36;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811592;174970992;2f03b119-e638-469d-a88e-ff6e0c4209e8;689777758;34;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811594;174970994;30246406-b978-4878-a000-54bf3d0fcca1;689777760;32;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811596;174970996;95bd0e4b-e9f3-48ae-92bd-8dc4cfce854f;689777762;30;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811598;174970998;85403bff-d6a7-4fb3-ae6f-c2a9e3e23455;689777764;28;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
