CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689623069;18223408;2a2a3bc6-d55f-49bd-b5bb-5eb37fb31aec;20;27406462;2025-09-29
689623073;170905627;526eef9e-71a0-4401-8cc8-44830afc9881;20;27406463;2025-09-29
689623070;24213420;75e6a9f5-6e20-4a7d-b823-1fd47ece34f2;20;27406463;2025-09-29
689623074;70584908;77b73613-7912-448a-8a0b-dc5828ffe2b8;20;27406463;2025-09-29
689623210;28645639;c9e5fea9-e182-4b23-939f-831e2b5d7819;20;27406496;2025-09-29
689623233;28643785;8df38d07-23a0-4d24-823c-3e2a5ad3d8c6;20;27406496;2025-09-29
689623237;59096857;e30a6646-7d3e-49c8-9ab7-f85a1823431f;20;27406463;2025-09-29
689623241;58100915;116acd89-1a0e-454c-8626-11dae89981f6;20;27406463;2025-09-29
689623232;28671691;b61db877-4f26-47aa-8edc-e74f8c651ef9;20;27406463;2025-09-29
689623236;59098019;226deb9f-8c12-42a0-a669-382c6a8cb456;20;27406463;2025-09-29
689623240;58102845;132f7d03-7530-4e34-8300-8cb1546d4df8;20;27406463;2025-09-29
689623244;174909147;5a6bb806-7c4c-4825-8602-54e4e28157dc;10;27372546;2025-09-29
689623243;174820338;d67c01b1-da8c-4281-ba72-ac8a6b0190cc;20;27406463;2025-09-29
689623249;174909150;d1222ae4-2dc6-4135-b914-949536987314;61;27406504;2025-09-29
689623261;19417791;becc7459-a4db-4f29-8556-7e4de3b15210;20;27400149;2025-09-29
689623277;174909166;ec1589b5-a5f0-4041-ba63-9062626329ad;10;27406513;2025-09-29
689623252;174909152;065860f1-bd7a-41ca-9994-65ad25d6f732;61;27406504;2025-09-29
689623254;174909154;b3682961-15f8-4d6c-a846-d2888a0b5646;61;27406504;2025-09-29
689623256;174909156;8469912e-207e-4ab9-b3ae-d96d711d46a9;61;27406504;2025-09-29
689623258;174909158;04833640-4870-4521-8c5a-15f544cd0f42;61;27406504;2025-09-29
689623260;174909160;aec40303-f131-4dcf-a10f-03ec281d824b;61;27406504;2025-09-29
689623276;174909165;f28a051b-f2af-4171-8152-71f60001dfdf;10;27406513;2025-09-29
689623279;174909168;f88050da-dcc4-4cd7-80ef-9c00b35f36a4;10;27406514;2025-09-29
689623365;100956533;c8383b1e-bcf5-464f-bacc-146fa24738cd;20;27406549;2025-09-29
689624516;90638554;8298910d-71f6-4a1f-af8b-676b97d65c6e;50;27406709;2025-09-29
689628472;36769492;fdb15247-c7cd-45be-8723-dcf9e335f116;20;27407038;2025-09-29
689630160;36767577;cc2849ec-c935-4d04-9f5c-19a23f46c9a5;20;27407038;2025-09-29
689631361;18639441;dc0b213d-2173-49f6-bb18-8390ec79626e;20;27407038;2025-09-29
689631343;7276395;7472647b-2e17-41f0-a012-4fa8ed64a2ac;20;27407038;2025-09-29
689631358;38954463;d18ec84f-30cc-466b-89c0-8f0313be3801;20;27407038;2025-09-29
689631366;44539922;18732574-0bed-4f47-bf56-305cae4ddeb8;20;27407038;2025-09-29
689631371;44560472;566bf4da-8381-4eb4-8a95-9b1d2aecc238;20;27407038;2025-09-29
689631378;57004198;36c6b6cb-3c95-4dcc-ad2e-77fa077baab5;20;27407038;2025-09-29
689631379;42757471;23e68f1c-2b0b-498b-a4d5-7b5a942721fe;20;27407038;2025-09-29
689631383;7056758;a2db5ef5-1f1f-43d7-93b0-64ce4326b791;20;27407038;2025-09-29
689631387;32516924;91cc6e5b-3d33-4568-98c6-7b754c085773;20;27407038;2025-09-29
689631427;19477671;c7eced21-95f6-49e4-be84-7a14366f2734;20;27407038;2025-09-29
689631436;19469591;4c5da0b3-bd93-4bb6-aa61-dc4e7fb0a872;20;27407038;2025-09-29
689632740;76578873;3b12a352-5bea-495a-b0c1-42cb547194a9;20;27407038;2025-09-29
689632744;19464246;c146a0da-5799-42ca-acf6-463750f0fce5;20;27407038;2025-09-29
689632747;19463578;e0d228d3-3881-4af9-baea-94e2516b0612;20;27407038;2025-09-29
689632750;19472875;ef4e1fe3-29d1-47b5-b233-1710cc037170;20;27407038;2025-09-29
689632759;61350733;ecb12520-80bb-467f-92d5-591c9dc06b6e;20;27407038;2025-09-29
689632776;84242171;6dc52c83-6f4f-4d2b-bc5d-e0fefce3ac4b;20;27407038;2025-09-29
