ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
55315391;83976088;378c2adc-6ef7-4eba-a87a-6b7a895fd128;124753220;16;2;20;50854026;129175989;2025-09-30;2014-01-10;2025-09-30;0;0
56956558;77952411;4eb84e54-4e2c-416a-92cb-8b87b258dfe9;115896491;2;3;20;47095291;129176110;2025-09-30;2014-01-10;2025-09-30;0;0
58615007;3987798;661b109d-da22-4c0e-95ea-f434c82ab7c5;7722797;2;2;20;1521116;129183975;2025-10-01;2016-01-03;2025-10-01;0;0
59721685;14233015;75b9411d-7e05-4b21-ad91-c785311789b8;22769141;7;2;20;7899359;129176128;2025-09-30;2014-01-10;2025-09-30;0;0
59949903;79857969;78f5c2b5-73f0-4131-a245-aec4bfefbd67;118690341;1;3;20;48287334;129175514;2025-09-30;2014-01-10;2025-09-30;0;0
61497617;7133756;8ed19b0e-b267-4e74-9097-9dacbc8c6f93;12316210;20;2;20;3448419;129175273;2025-09-30;2019-09-11;2025-09-30;0;0
65414172;18523541;c6140f37-de33-4c39-87e8-b982a9e60ca9;29140906;3;3;20;10679417;129175995;2025-09-30;2014-01-10;2025-09-30;0;0
66574914;18908236;d67a6d8e-e08e-4fe8-913f-b6f3b2875940;29691416;19;5;20;10902037;129164211;2025-09-29;2019-04-09;2025-09-29;0;0
3139699;6621450;3e29cdce-db37-4204-9b96-73e4c82e3dca;11571127;8б;2;10;0;129175420;2025-09-30;2017-12-18;2025-09-30;0;0
6744675;12484606;009cf88e-9c74-4d17-9bd5-fe242a2de62b;20146172;13;2;10;0;129176342;2025-09-30;1900-01-01;2025-09-30;0;0
16989992;28644660;a1497a1f-5fd7-4ef0-b3c3-d31c0744d919;44027385;17А;2;10;0;129164232;2025-09-29;2011-10-01;2025-09-29;0;0
17876020;30158598;31a757a9-39ff-4f52-a5ad-5d2b23642d6c;46204684;25;2;10;0;129175269;2025-09-30;2015-11-30;2025-09-30;0;0
27297717;45696346;ea538dde-59cc-4f4c-b6b6-dc7228512176;68818170;7/1;2;10;0;129168101;2025-09-29;2008-09-03;2025-09-29;0;0
34790181;58101686;dcbf107f-2c14-4639-95bf-7f68107f7860;86849331;43;5;10;0;129164240;2025-09-29;2018-01-10;2025-09-29;0;0
36683109;61129765;5f243712-dfc8-4935-8603-fd843946e9fc;91290933;13;2;10;0;129175282;2025-09-30;2015-12-01;2025-09-30;0;0
42584933;70584908;3fbd6987-f1d8-4cdf-b4f8-1fcc0804723f;105172659;2А;3;10;0;129164209;2025-09-29;1900-01-01;2025-09-29;0;0
42741017;70862959;9ccfa8df-c5e9-47e8-b85c-7ca26841b511;105572062;23;2;10;0;129175270;2025-09-30;1900-01-01;2025-09-30;0;0
56168956;18525801;439ac2e6-8469-4137-96a4-bc198e2d083a;29144572;1;3;20;10680583;129175996;2025-09-30;2014-01-10;2025-09-30;0;0
52718615;19597620;12e1a7f1-ba08-43e4-a057-a912a0d7ad56;30738779;32;2;20;11377780;129183980;2025-10-01;2016-01-03;2025-10-01;0;0
53809516;14234455;224c4010-fd66-419c-872c-3fd1ffdffafa;22770725;2;2;20;7900355;129176129;2025-09-30;2014-01-10;2025-09-30;0;0
129136880;174820338;60ceb90f-6d40-437f-8018-9eaaf621a746;689405676;85;2;10;0;129164244;2025-09-29;2025-09-24;2025-09-29;0;0
129164207;24213420;7ed5522f-5d55-4dd9-8188-754e94078bda;689623070;3/1/1;4;20;14286069;;2025-09-29;2025-09-29;2079-06-06;1;1
129164208;24255599;e127811f-e200-4c53-9556-b306b66ba953;689623071;3/2/1;4;20;14311161;;2025-09-29;2025-09-29;2079-06-06;1;1
10900413;18906231;c7434ca4-4e19-42d1-9e1e-a748b7dad26d;29688029;12;5;10;0;129164210;2025-09-29;2017-07-28;2025-09-29;0;0
129164211;18908236;d67a6d8e-e08e-4fe8-913f-b6f3b2875940;689623076;19;2;20;66574914;;2025-09-29;2025-09-29;2079-06-06;1;1
17005407;28671691;c94789c6-8374-4287-b29e-4000c6bca0f1;44066526;44;5;10;0;129164234;2025-09-29;2018-05-23;2025-09-29;0;0
129164235;70586629;467dd6fb-1910-44fd-b5ae-6569717ff0ae;689623234;116;5;20;56373749;;2025-09-29;2025-09-29;2079-06-06;1;1
129164237;59098019;47980797-d310-46cd-96ff-a9ed51b51762;689623236;9;2;20;35395019;;2025-09-29;2025-09-29;2079-06-06;1;1
129164239;59097610;361d5522-4265-4774-9394-a34ef7d92926;689623238;15;2;20;35394746;;2025-09-29;2025-09-29;2079-06-06;1;1
129164241;58102845;789e8345-d4f6-451f-9ee3-2104dc51c142;689623240;47;2;20;34791146;;2025-09-29;2025-09-29;2079-06-06;1;1
129164243;58101812;39029bd7-9ac5-412e-a6c6-8bf739a5e061;689623242;63;2;20;34790264;;2025-09-29;2025-09-29;2079-06-06;1;1
129164233;28572893;1c462986-075f-4a13-9287-97eddf019c45;689623231;31Г;5;20;16947806;;2025-09-29;2025-09-29;2079-06-06;1;1
129164238;59096857;4d889d69-19d8-4fde-9adf-55a710a3acb8;689623237;6;2;20;35394368;;2025-09-29;2025-09-29;2079-06-06;1;1
34789720;58100915;8eb6874c-bd9a-4306-aa92-0e4879d57cdc;86848176;55;2;10;0;129164242;2025-09-29;2016-12-09;2025-09-29;0;0
129164244;174820338;60ceb90f-6d40-437f-8018-9eaaf621a746;689623243;85;5;20;129136880;;2025-09-29;2025-09-29;2079-06-06;1;1
129164248;174909165;f28a051b-f2af-4171-8152-71f60001dfdf;689623276;66;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129165228;174913238;f19df0ec-41ff-4114-803c-cedf71bdf9a0;689632938;1587;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167918;45639999;b8e95e9a-6c51-49ab-bd07-ab74e8802e2a;689649447;7;2;30;27267781;0;2025-09-29;2025-09-29;2079-06-06;1;0
18990958;31977925;653f98a0-1c00-43ba-b220-ed4587f4c67c;48853079;16;3;10;0;129168049;2025-09-29;1900-01-01;2025-09-29;0;0
129168101;45696346;ea538dde-59cc-4f4c-b6b6-dc7228512176;689649953;7/1;2;30;27297717;0;2025-09-29;2025-09-29;2079-06-06;1;0
129175268;45695313;d8403d5d-067d-4a75-bd8c-dc08990064be;689701216;7/2;2;30;27297260;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175270;70862959;9ccfa8df-c5e9-47e8-b85c-7ca26841b511;689701334;23;2;30;42741017;0;2025-09-30;2025-09-30;2079-06-06;1;0
28660547;47961694;10c2d042-3286-494c-9552-36ce93309136;72095183;8;2;10;0;129175271;2025-09-30;1900-01-01;2025-09-30;0;0
23007791;38511403;9716ea7b-0279-44a1-a562-f11da50a196e;58386470;7;2;10;0;129175272;2025-09-30;1900-01-01;2025-09-30;0;0
129175274;9862703;6f4df537-9868-4f6f-aa96-582d40fc724d;689701338;2А;2;30;5145821;0;2025-09-30;2025-09-30;2079-06-06;1;0
21264079;35792585;db94d093-6f45-4bc9-8996-cf068927bc89;54358725;4;2;10;0;129175275;2025-09-30;2015-11-30;2025-09-30;0;0
129175277;67518209;61df56df-cc05-4c22-8459-2a7e85e148c6;689701341;9;2;30;40671716;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175278;44836926;438dfc3e-c3a3-464b-b03b-67b00e32aff9;689701342;12;2;30;26785618;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175279;56658645;6caf2e6e-718f-4299-90bb-ec8e4ff52e24;689701356;5А;2;30;33909008;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175280;55002527;e8bbd38c-69f9-4692-b3d5-8d84f463193b;689701357;56;2;30;32848154;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175281;44847489;a8f2aabc-425c-45a1-ba2a-68b8baf471e9;689701358;8А;2;30;26791454;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175282;61129765;5f243712-dfc8-4935-8603-fd843946e9fc;689701359;13;2;30;36683109;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175299;174945625;13cf0f67-b7a8-428e-9f2b-af572a41194b;689701855;4;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
36224268;60493166;f09ddc7b-ad2a-4805-983b-75efa38b555d;90307979;4А;2;10;0;129175300;2025-09-30;2016-07-07;2025-09-30;0;0
