ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
249582250;174909167;432654;689623278;10701000126;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.95238972.432654.174909167
11325429;56658645;432915;84730608;10732000001;0;0;2025-09-30;2017-12-19;2079-06-06;0;429809.95238975.430067.432915.56658645
223649664;3987798;439222;492660172;10547000226;73317009;0;2025-10-01;2023-01-13;2079-06-06;0;429809.157714893.440417.439222.3987798
223649748;19597620;438915;492660256;10547000226;73308119;0;2025-10-01;2023-01-13;2079-06-06;0;429809.157714893.440417.438915.19597620
223665502;38383526;38378782;492675890;10647416;73370711;0;2025-10-01;2023-01-13;2079-06-06;0;429809.157714893.441213.439600.38378782.38383526
223714602;23765859;23764073;492725788;10647448;73342672;0;2025-09-30;2023-01-13;2079-06-06;0;429809.157714893.441184.437887.23764073.23765859
12207196;45696346;432124;68818170;10701000001;0;0;2025-09-29;2008-09-03;2079-06-06;0;429809.95238972.430094.432124.45696346
116722625;44342523;440900;260820998;10554000116;73573322;0;2025-09-30;2022-01-17;2079-06-06;0;429809.103462522.442590.440900.44342523
249582231;174909148;433247;689623245;10710000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.95238973.429996.433247.174909148
249582233;174909150;430831;689623249;10712000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.95238703.430033.430831.174909150
236910546;166446490;433411;604931405;10712000001;0;0;2025-09-29;2024-10-18;2079-06-06;0;429809.95238703.430033.433411.166446490
249582236;174909153;433411;689623253;10712000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.95238703.430033.433411.174909153
249582238;174909155;433411;689623255;10712000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.95238703.430033.433411.174909155
249582240;174909157;433411;689623257;10712000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.95238703.430033.433411.174909157
249582242;174909159;433411;689623259;10712000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.95238703.430033.433411.174909159
249582246;174909163;433658;689623274;10701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.95238972.430094.433658.174909163
249582248;174909165;431554;689623276;10701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;429809.95238972.430094.431554.174909165
13059565;13703328;430094;21971404;10701000001;0;249583079;2025-09-29;2019-10-16;2025-09-29;0;429809.95238972.430094.13703328
13059595;90638554;430094;133259192;10701000001;0;249583081;2025-09-29;2019-10-16;2025-09-29;0;429809.95238972.430094.90638554
