ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
54647605;13737819;2e1c40ab-a8f0-44d9-8c06-42b453a974e2;22021933;10;2;20;7568861;129188207;2025-10-01;2014-01-10;2025-10-01;0;0
59446795;70793892;71db85fd-adf4-4901-9629-49e1d258079e;105476010;11а;2;20;42705049;129181412;2025-09-30;2018-02-09;2025-09-30;0;0
65146106;56653273;c24c0b1c-df1b-45f0-9c89-d810f9ee0fc1;84723146;26;2;20;33905715;129190109;2025-10-01;2018-06-22;2025-10-01;0;0
67480304;54479294;e3478eb1-09fd-4cec-a631-347758b8aa74;81527795;87;2;20;32556163;129190215;2025-10-01;2014-01-10;2025-10-01;0;0
68800116;80599933;f5ee89ca-247d-4170-a8b1-4d3c8701eac9;119794315;20;2;20;48768269;129166895;2025-09-29;2014-01-10;2025-09-29;0;0
20589927;34604337;811d19b5-4b33-4f6a-8bcc-9d490ad056ba;52671145;41;2;10;0;129188182;2025-10-01;2015-11-16;2025-10-01;0;0
38550098;64094556;b4939335-978c-4e4a-bca8-694527b49e72;95625201;33;2;10;0;129188551;2025-10-01;2019-08-07;2025-10-01;0;0
53124543;83847003;189fbde1-65a0-4480-a5bf-bbf4246ee23a;124555513;20;2;20;50765576;129166330;2025-09-29;2014-01-10;2025-09-29;0;0
53838835;50171793;22b7fe6a-b4c0-4703-9a1f-22b90efd677f;75315685;2;2;20;30012037;129170260;2025-09-29;2014-01-10;2025-09-29;0;0
33990214;56778247;04b7fc30-bc33-4401-bea9-b2919ff6e421;84909262;19;5;10;0;129166194;2025-09-29;2018-07-12;2025-09-29;0;0
129166197;174916649;6fa9d196-036a-496c-8840-c8687a51139e;689639218;21;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166330;83847003;189fbde1-65a0-4480-a5bf-bbf4246ee23a;689640188;20;2;30;53124543;0;2025-09-29;2025-09-29;2079-06-06;1;0
64841786;66468758;bdff0a4f-9ec3-4e1f-a8bf-525c101ac299;99132076;13;2;20;40028246;129166336;2025-09-29;2014-01-10;2025-09-29;0;0
129166853;82895431;fc78a60b-b447-464e-9440-5c7ed1f7c713;689644018;9Б;2;20;70267545;;2025-09-29;2025-09-29;2079-06-06;1;1
129166895;80599933;f5ee89ca-247d-4170-a8b1-4d3c8701eac9;689644330;20А;2;20;68800116;;2025-09-29;2025-09-29;2079-06-06;1;1
129166898;174918856;1f3b9a38-ba0a-4e93-9bab-3f23f76d49e2;689644356;171А;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166956;101944422;4ed38b1f-e6ea-4786-b3c2-f61548151bb9;689644602;31;2;30;71499607;0;2025-09-29;2025-09-29;2079-06-06;1;0
129167198;174919849;62fc6f6b-2f53-461b-a516-a945497a3d78;689645931;66;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167224;174919964;f0efa203-76ff-47a3-b9c2-3079b3c7a5b1;689646062;32;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167287;174920124;8e2afb9b-c4bf-4555-befc-88735ca21d9e;689646332;8А;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167303;174920176;85797e42-99a8-4b21-adcb-c7656bbfe707;689646416;21В;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167318;30699137;e98bd6ef-110b-402b-8180-3b44c0dd84f6;689646559;16/1;2;20;67923268;;2025-09-29;2025-09-29;2079-06-06;1;1
129167323;174920266;87aca8f7-fc79-466e-bc55-62ca6afa0eb5;689646580;16/2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167354;174920373;20c5d29a-6a24-4e64-999c-3cab3a65e507;689646721;11;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167327;174920287;1f2c84de-1b2a-46e8-affb-c8786b93d47e;689646607;1Г;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167368;174920454;a165392d-acd7-4a58-b3ff-ec6244aa63c2;689646990;1Б;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
