ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
249620976;174939774;456709;689689341;11556000437;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721103.456709.174939774
249620978;174939776;456709;689689343;11556000437;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721103.456709.174939776
249620980;174939778;456709;689689345;11556000437;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721103.456709.174939778
249620982;174939780;456709;689689347;11556000437;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721103.456709.174939780
249620984;174939782;456709;689689349;11556000437;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721103.456709.174939782
249610966;174930577;452732;689669882;11554000268;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157924581.452732.174930577
249610968;174930579;452732;689669884;11554000268;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157924581.452732.174930579
249622275;174940496;453675;689691024;11554000265;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157924581.453675.174940496
249652437;174966994;96489812;689750880;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174966994
249652439;174966996;96489812;689750882;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174966996
249652441;174966998;96489812;689750884;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174966998
249652443;174967000;96489812;689750886;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967000
249652445;174967002;96489812;689750888;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967002
249652447;174967004;96489812;689750890;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967004
249652449;174967006;96489812;689750892;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967006
249652451;174967008;96489812;689750894;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967008
249652453;174967010;96489812;689750896;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967010
249652455;174967012;96489812;689750898;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967012
249652457;174967014;96489812;689750900;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967014
249652459;174967016;96489812;689750902;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967016
249652461;174967018;96489812;689750904;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967018
249652463;174967020;96489812;689750906;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967020
249652465;174967022;96489812;689750908;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967022
249652467;174967024;96489812;689750910;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967024
249652469;174967026;96489812;689750912;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967026
249652471;174967028;96489812;689750914;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967028
249652473;174967030;96489812;689750916;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967030
249652475;174967032;96489812;689750918;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967032
249652477;174967034;96489812;689750920;11715000;0;0;2025-09-30;2025-09-30;2079-06-06;1;442495.95239029.96489812.174967034
247512674;173065680;443314;647992255;11552000238;0;0;2025-09-29;2025-06-24;2079-06-06;0;442495.162033520.443314.173065680
247572183;173093550;47238954;654495849;11701000001;0;0;2025-10-01;2025-06-25;2079-06-06;0;442495.95239183.442636.443111.47238954.173093550
231063442;83847003;451585;585655893;11530000170;73918948;0;2025-09-29;2024-01-16;2079-06-06;0;442495.162031408.452073.451585.83847003
249588100;174914994;4244853;689636655;11635157051;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.95239143.95239144.449197.449282.4244853.174914994
249588137;174915031;36222145;689636702;11635157051;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.95239143.95239144.449197.447859.36222145.174915031
249588139;174915033;447859;689636704;11635157051;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.95239143.95239144.449197.447859.174915033
249589712;174916601;447570;689639156;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447570.174916601
249589749;174916638;449609;689639202;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.449609.174916638
249589751;174916640;449609;689639204;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.449609.174916640
249589753;174916642;449609;689639209;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.449609.174916642
249589755;174916644;450750;689639212;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916644
249589757;174916646;450750;689639214;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916646
249589763;174916652;450750;689639221;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916652
249589765;174916654;450750;689639223;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916654
249589767;174916656;450750;689639225;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916656
249589769;174916658;450750;689639227;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916658
249589771;174916660;450750;689639229;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916660
249589773;174916662;450750;689639231;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916662
249589775;174916664;450750;689639233;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916664
249589777;174916666;450750;689639235;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916666
249589779;174916668;450750;689639237;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916668
249589781;174916670;450750;689639239;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.450750.174916670
249589794;174916683;447183;689639252;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916683
249589796;174916685;447183;689639254;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916685
249589798;174916687;447183;689639256;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916687
249589800;174916689;447183;689639258;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916689
249589802;174916691;447183;689639260;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916691
249589804;174916693;447183;689639262;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916693
249589806;174916695;447183;689639264;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916695
249589808;174916697;447183;689639266;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916697
249589810;174916699;447183;689639268;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916699
249589812;174916701;447183;689639270;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916701
249589814;174916703;447183;689639272;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916703
249589816;174916705;447183;689639274;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916705
249589818;174916707;447183;689639276;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916707
249589820;174916709;447183;689639278;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916709
249589822;174916711;447183;689639280;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916711
249589824;174916713;447183;689639282;11527000612;0;0;2025-09-29;2025-09-29;2079-06-06;1;442495.157721129.449482.447183.174916713
