ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27410041;О присвоении адресов;2025-09-25;1743-р;15;2;2025-09-29;ВИНОГРАДОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;2025-09-29
27410308;О присвоении адреса;2025-09-22;2898;21;2;2025-09-29;АДМИНИСТРАЦИЯ ПРИМОРСКОГО МУНИЦИПАЛЬНОГО ОКРУГА АРХАНГЕЛЬСКОЙ ОБЛАСТИ;2025-09-29
27410408;О присвоении, изменении адресов объектов недвижимости в Котласском муниципальном округе Архангельской области;2025-09-25;1200;21;2;2025-09-29;АДМИНИСТРАЦИЯ КОТЛАССКОГО МУНИЦИПАЛЬНОГО ОКРУГА АРХАНГЕЛЬСКОЙ ОБЛАСТИ;2025-09-29
27410414;О присвоении адреса;2025-09-25;1746-р;15;2;2025-09-29;ВИНОГРАДОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;2025-09-29
27410472;О присвоении адреса;2025-09-25;1748-р;15;2;2025-09-29;ВИНОГРАДОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;2025-09-29
27410491;О присвоении адреса;2025-09-25;1749-р;15;2;2025-09-29;ВИНОГРАДОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;2025-09-29
27410550;О присвоении адреса;2025-09-25;1752-р;15;2;2025-09-29;ВИНОГРАДОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;2025-09-29
27410555;О присвоении адреса объекту недвижимости;2025-09-26;28;15;2;2025-09-29;"АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ""АРГУНОВСКОЕ"" ВЕЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА АРХАНГЕЛЬСКОЙ ОБЛАСТИ";2025-09-29
27410572;О присвоении адреса;2025-09-25;1753-р;15;2;2025-09-29;ВИНОГРАДОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;2025-09-29
27410824;О присвоении адреса;2025-09-25;1755-р;15;2;2025-09-29;ВИНОГРАДОВСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ АРХАНГЕЛЬСКОЙ ОБЛАСТИ;2025-09-29
