ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
727934906;101795353;196394272;689817958;8;29:22:050509:30;2025-10-01;2021-07-08;2025-10-01
1644420292;174914995;689636656;0;1;2900;2025-09-29;2025-09-29;2079-06-06
1644420294;174914995;689636656;0;3;2915;2025-09-29;2025-09-29;2079-06-06
1644420296;174914995;689636656;0;6;11235557000;2025-09-29;2025-09-29;2079-06-06
1644420298;174914995;689636656;0;8;29:09:010113:742;2025-09-29;2025-09-29;2079-06-06
1644420300;174914995;689636656;0;13;116351570510000004410051000000000;2025-09-29;2025-09-29;2079-06-06
1644420586;174915033;689636704;0;1;2900;2025-09-29;2025-09-29;2079-06-06
1644420588;174915033;689636704;0;3;2915;2025-09-29;2025-09-29;2079-06-06
1644420590;174915033;689636704;0;6;11235557000;2025-09-29;2025-09-29;2079-06-06
1644420592;174915033;689636704;0;8;29:09:010113:45;2025-09-29;2025-09-29;2079-06-06
1644420594;174915033;689636704;0;13;116351570510000001710016000000000;2025-09-29;2025-09-29;2079-06-06
1644428066;174916316;689638810;0;1;2900;2025-09-29;2025-09-29;2079-06-06
1644428068;174916316;689638810;0;3;2904;2025-09-29;2025-09-29;2079-06-06
1644428070;174916316;689638810;0;6;11227580000;2025-09-29;2025-09-29;2079-06-06
1644428072;174916316;689638810;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644428074;174916316;689638810;0;21;11527000;2025-09-29;2025-09-29;2079-06-06
1644429150;174916601;689639156;0;2;2900;2025-09-29;2025-09-29;2079-06-06
1644429152;174916601;689639156;0;4;2904;2025-09-29;2025-09-29;2079-06-06
1644429154;174916601;689639156;0;7;11527000612;2025-09-29;2025-09-29;2079-06-06
1644429156;174916601;689639156;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644429158;174916601;689639156;0;21;11527000;2025-09-29;2025-09-29;2079-06-06
1644429504;174916638;689639202;0;2;2900;2025-09-29;2025-09-29;2079-06-06
1644429506;174916638;689639202;0;4;2904;2025-09-29;2025-09-29;2079-06-06
1644429508;174916638;689639202;0;7;11527000612;2025-09-29;2025-09-29;2079-06-06
1644429510;174916638;689639202;0;15;51;2025-09-29;2025-09-29;2079-06-06
1644429512;174916638;689639202;0;21;11527000;2025-09-29;2025-09-29;2079-06-06
1644429514;174916639;689639203;0;2;2900;2025-09-29;2025-09-29;2079-06-06
1644429516;174916639;689639203;0;4;2904;2025-09-29;2025-09-29;2079-06-06
1644429518;174916639;689639203;0;7;11527000612;2025-09-29;2025-09-29;2079-06-06
1644429520;174916639;689639203;0;15;52;2025-09-29;2025-09-29;2079-06-06
1644429522;174916639;689639203;0;21;11527000;2025-09-29;2025-09-29;2079-06-06
1644429524;174916640;689639204;0;2;2900;2025-09-29;2025-09-29;2079-06-06
1644429526;174916640;689639204;0;4;2904;2025-09-29;2025-09-29;2079-06-06
1644429528;174916640;689639204;0;7;11527000612;2025-09-29;2025-09-29;2079-06-06
1644429530;174916640;689639204;0;15;53;2025-09-29;2025-09-29;2079-06-06
1644429532;174916640;689639204;0;21;11527000;2025-09-29;2025-09-29;2079-06-06
