ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
14328729;12499188;455743;20166535;30;0;0;2025-10-01;1900-01-01;2079-06-06;0;454811.454846.455743.12499188
14844504;71508912;455933;106513887;30;0;0;2025-10-01;1900-01-01;2079-06-06;0;454811.454846.455933.71508912
14846478;71505376;455933;106508161;30;0;0;2025-10-01;1900-01-01;2079-06-06;0;454811.454846.455933.71505376
14846501;71506395;455933;106509878;30;0;0;2025-10-01;1900-01-01;2079-06-06;0;454811.454846.455933.71506395
14846555;71508248;455933;106512846;30;0;0;2025-10-01;1900-01-01;2079-06-06;0;454811.454846.455933.71508248
14846691;71525317;455933;106538858;30;0;0;2025-10-01;1900-01-01;2079-06-06;0;454811.454846.455933.71525317
14848903;71560960;455933;106589523;30;0;0;2025-10-01;1900-01-01;2079-06-06;0;454811.454846.455933.71560960
14851548;71588190;455933;106628177;30;0;0;2025-09-29;1900-01-01;2079-06-06;0;454811.454846.455933.71588190
14851565;71589752;455933;106630437;30;0;0;2025-10-01;1900-01-01;2079-06-06;0;454811.454846.455933.71589752
14851816;71588877;455933;106629105;30;0;0;2025-10-01;1900-01-01;2079-06-06;0;454811.454846.455933.71588877
16888868;76794589;458538;114229341;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76794589
16888902;76796145;458538;114231820;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76796145
17527210;17097477;461137;27042243;30;0;0;2025-09-30;1900-01-01;2079-06-06;0;454811.458501.458906.461137.17097477
17600028;18742321;18742284;29456897;30;0;0;2025-09-30;2011-12-12;2079-06-06;0;454811.458501.459383.459396.18728729.18742284.18742321
17600059;18742827;18742284;29457589;30;0;0;2025-09-30;2011-12-12;2079-06-06;0;454811.458501.459383.459396.18728729.18742284.18742827
17605426;68128812;459595;101559340;30;0;0;2025-09-29;2018-10-25;2079-06-06;0;454811.458501.459383.459595.68128812
17654454;73646266;73646044;109642578;30;0;0;2025-09-30;2011-12-12;2079-06-06;0;454811.458501.459383.462311.73645171.73646044.73646266
18780331;45871356;460187;69068991;30;0;0;2025-10-01;1993-01-01;2079-06-06;0;454811.460485.457634.460187.45871356
18787124;46809072;457634;70442822;30;0;0;2025-10-01;1993-01-01;2079-06-06;0;454811.460485.457634.46809072
18787212;46821193;457634;70460559;30;0;0;2025-10-01;1993-01-01;2079-06-06;0;454811.460485.457634.46821193
18787249;46824215;457634;70465058;30;0;0;2025-10-01;1993-01-01;2079-06-06;0;454811.460485.457634.46824215
19133170;71753863;460029;106867241;30;0;0;2025-10-01;2008-12-18;2079-06-06;0;454811.460485.461648.460029.71753863
19133406;71757663;460029;106872810;30;0;0;2025-10-01;2008-12-18;2079-06-06;0;454811.460485.461648.460029.71757663
19133397;71757092;460029;106871938;30;0;0;2025-10-01;2008-12-18;2079-06-06;0;454811.460485.461648.460029.71757092
19134695;71802405;460029;106937434;30;0;0;2025-09-30;2008-12-18;2079-06-06;0;454811.460485.461648.460029.71802405
19134856;71819206;460029;106962187;30;0;0;2025-09-30;2008-12-18;2079-06-06;0;454811.460485.461648.460029.71819206
19135873;71850690;460029;107008087;30;0;0;2025-10-01;2008-12-18;2079-06-06;0;454811.460485.461648.460029.71850690
228607246;68158498;68157117;506713182;30;15295060;247026419;2025-09-29;2023-06-27;2025-09-29;0;454811.454846.454985.68157117.68158498
247026289;174913603;166311139;689633709;30;0;0;2025-09-29;2025-09-29;2079-06-06;1;454811.454846.456006.166311139.174913603
247026297;174913611;46017247;689633785;30;0;0;2025-09-29;2025-09-29;2079-06-06;1;454811.454846.455723.46017247.174913611
247026305;174913619;453477;689633799;30;0;0;2025-09-29;2025-09-29;2079-06-06;1;454811.454846.453477.174913619
16889249;76909603;458538;114399468;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76909603
247026299;174913613;46017247;689633792;30;0;0;2025-09-29;2025-09-29;2079-06-06;1;454811.454846.455723.46017247.174913613
247026307;174913621;456644;689633829;30;0;0;2025-09-29;2025-09-29;2079-06-06;1;454811.454846.456644.174913621
247026331;101794873;458538;689633859;30;119646484;0;2025-09-29;2025-09-29;2079-06-06;1;454811.454846.458538.101794873
16888911;76796400;458538;114232251;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76796400
16889181;76896032;458538;114379113;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76896032
16888793;76790038;458538;114223011;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76790038
16889063;76904561;458538;114392195;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76904561
16889014;76901757;458538;114388155;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76901757
16888764;76797273;458538;114233629;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76797273
16888891;76795281;458538;114230467;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76795281
16889354;76922149;458538;114416550;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76922149
16889239;76908904;458538;114398417;30;0;0;2025-09-29;2015-11-23;2079-06-06;0;454811.454846.458538.76908904
