ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
10427901;18741991;6f9df894-f1a7-4646-93dc-e0d6e4e23008;29456436;006;1;10;0;111806762;2025-09-30;2018-11-01;2025-09-30;0;0
43969629;73649233;3ece5987-b0a9-4128-abdd-6fa470d449fc;109646834;9;2;10;0;111800066;2025-09-29;2017-06-09;2025-09-29;0;0
111794009;174913611;4753a264-0876-426a-8bd8-13d0a0d17783;689633785;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794011;174913613;e95b184c-9984-480a-8b9b-63d44d14d848;689633792;4;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794013;174913714;29246945-f4ac-48ad-99fa-93dfc955d038;689633962;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796114;174919039;777ef414-a601-42cd-8a50-3ffb28b6bea0;689644753;1;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800308;68272208;f85f77af-b5e2-4b2e-94bd-2d01d4b2be15;689666954;5;2;30;40712632;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803353;156688307;5bb810fe-0118-4e5e-bb0c-7b3836a7ca6b;689686278;3;2;30;104529016;0;2025-09-29;2025-09-29;2079-06-06;1;0
111806744;174949283;756d5d3c-6d94-4b3f-b1b6-4cceb53e0185;689708825;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111808664;58443841;f96f7fa5-4b46-4dc2-9215-084dcc08674a;689732540;15;1;20;34795414;;2025-09-30;2025-09-30;2079-06-06;1;1
111809033;158503395;8be35f94-e3f7-46a4-b1b3-10f18fbb34fa;689735358;2;1;20;105154175;;2025-09-30;2025-09-30;2079-06-06;1;1
111809080;51408507;e7dfc76f-c4db-4e59-9d7d-5e006c06103f;689735622;2;1;20;30474084;;2025-09-30;2025-09-30;2079-06-06;1;1
111809082;105692756;8aa984d2-d659-47c8-a771-36a6adcc96ed;689735668;3;1;20;54498125;;2025-09-30;2025-09-30;2079-06-06;1;1
111809071;51408496;cdfb96ec-82bd-447c-bf0d-1a00589abbc4;689735463;1;1;20;30474073;;2025-09-30;2025-09-30;2079-06-06;1;1
111809077;51408113;2b165aac-1e7b-47e9-9dd2-14d792e0fab1;689735586;4;1;20;30473787;;2025-09-30;2025-09-30;2079-06-06;1;1
111809559;174963898;013c52b2-bd69-4f13-8dfe-462568554dc7;689743219;2А;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111810356;174965838;7a737ef5-0cb9-4ff0-af6f-3d8e184af37f;689747618;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111810358;174965840;62f571d4-1a18-4038-8eaf-2ffdf04818ef;689747621;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111816268;25635582;062809b6-bef0-4f7c-a6e7-38e344cce8a3;689806389;2;2;30;14568818;0;2025-10-01;2025-10-01;2079-06-06;1;0
111816432;174986060;a034a93c-095c-48a0-a808-559d71688267;689809621;2;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111817581;174988944;560773d1-0dab-4de4-9fe6-6d3b7fd2c418;689814086;5;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
42742678;71603899;afa64d33-af2f-4ad6-a67d-b74458693ce7;106652659;2;1;20;42742049;111818419;2025-10-01;2017-08-10;2025-10-01;0;0
42742721;71604891;bfc6af65-cebe-4f01-a915-810ba493a297;106652849;2;2;10;0;111818437;2025-10-01;2017-08-10;2025-10-01;0;0
