ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644405872;167821906;689632043;0;8;30:12:030079:1351;2025-09-29;2025-09-29;2079-06-06
1644405894;167822117;689632049;0;8;30:12:030079:1504;2025-09-29;2025-09-29;2079-06-06
1644405905;167821965;689632053;0;8;30:12:030079:1505;2025-09-29;2025-09-29;2079-06-06
1644405909;167822121;689632057;0;8;30:12:030079:1327;2025-09-29;2025-09-29;2079-06-06
1644405913;167821863;689632061;0;8;30:12:030079:1594;2025-09-29;2025-09-29;2079-06-06
1644405916;167821966;689632066;0;8;30:12:030079:1516;2025-09-29;2025-09-29;2079-06-06
1644405920;167821949;689632070;0;8;30:12:030079:1638;2025-09-29;2025-09-29;2079-06-06
1644405924;167822133;689632074;0;8;30:12:030079:1604;2025-09-29;2025-09-29;2079-06-06
1644405928;167821954;689632078;0;8;30:12:030079:1382;2025-09-29;2025-09-29;2079-06-06
1644405950;167822136;689632084;0;8;30:12:030079:1608;2025-09-29;2025-09-29;2079-06-06
1644405956;164562149;689632088;0;8;30:12:030850:483;2025-09-29;2025-09-29;2079-06-06
1644405960;164562207;689632092;0;8;30:12:030850:356;2025-09-29;2025-09-29;2079-06-06
1644405871;167821888;689632042;0;8;30:12:030079:1306;2025-09-29;2025-09-29;2079-06-06
1644405904;167821940;689632052;0;8;30:12:030079:1497;2025-09-29;2025-09-29;2079-06-06
1644405908;167821817;689632056;0;8;30:12:030079:1339;2025-09-29;2025-09-29;2079-06-06
1644405912;167821953;689632060;0;8;30:12:030079:1294;2025-09-29;2025-09-29;2079-06-06
1644405917;167822135;689632067;0;8;30:12:030079:1607;2025-09-29;2025-09-29;2079-06-06
1644405921;167821963;689632071;0;8;30:12:030079:1482;2025-09-29;2025-09-29;2079-06-06
1644405925;167822131;689632075;0;8;30:12:030079:1582;2025-09-29;2025-09-29;2079-06-06
1644405929;167822127;689632079;0;8;30:12:030079:1538;2025-09-29;2025-09-29;2079-06-06
1644405957;164562097;689632089;0;8;30:12:030850:556;2025-09-29;2025-09-29;2079-06-06
1644405961;164562242;689632093;0;8;30:12:030850:375;2025-09-29;2025-09-29;2079-06-06
1644410411;174913603;689633709;0;8;30:12:010141:418;2025-09-29;2025-09-29;2079-06-06
1644410413;174913603;689633709;0;13;127010000000000089540037015100000;2025-09-29;2025-09-29;2079-06-06
1644410547;174913613;689633792;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644410549;174913614;689633793;0;8;30:12:040123:108;2025-09-29;2025-09-29;2079-06-06
1644410551;174913614;689633793;0;13;127010000000000133640027000400000;2025-09-29;2025-09-29;2079-06-06
1644410535;174913611;689633785;0;8;30:12:040123:111;2025-09-29;2025-09-29;2079-06-06
1644410537;174913611;689633785;0;13;127010000000000133640027000100000;2025-09-29;2025-09-29;2079-06-06
1644410542;174913612;689633789;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644411447;174913714;689633962;0;8;30:12:040864:27;2025-09-29;2025-09-29;2079-06-06
1644411449;174913714;689633962;0;13;127010000000000073940083000200000;2025-09-29;2025-09-29;2079-06-06
1644411538;174913725;689633980;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644411592;68158498;689633995;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644439345;79287357;689642733;0;8;30:07:250601:4897;2025-09-29;2025-09-29;2079-06-06
1644439357;79264678;689642736;0;8;30:07:250601:7425;2025-09-29;2025-09-29;2079-06-06
1644448553;174919039;689644753;0;8;30:04:020105:10477;2025-09-29;2025-09-29;2079-06-06
1644448555;174919039;689644753;0;13;126201570510000001540006000100000;2025-09-29;2025-09-29;2079-06-06
1644454659;21785784;689645901;0;8;30:07:250601:6185;2025-09-29;2025-09-29;2079-06-06
