OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
70976059;380fd60a-3f4f-43dc-bc70-e7fdb667cb1e;689645899;1;11;2019-07-14;2025-09-29
76613286;35562c24-65ef-42ce-8f4e-198474d0e6ed;689655328;1;10;2017-12-17;2025-09-29
76609067;148cb918-cda6-4f5a-9638-0a24a099c2f2;689690862;1;10;2017-12-17;2025-09-29
76630858;270cf422-f20b-4a25-a111-69d5bca2a361;689655338;1;10;2014-05-03;2025-09-29
76655805;d24e56fc-d7dd-4f65-8945-bd9c98375477;689690891;1;10;2014-05-03;2025-09-29
76662431;ba79b51e-2c44-48c3-a07c-ea43377b3295;689688743;1;10;2014-05-03;2025-09-29
21866320;7a9c912f-edcf-44e3-8d35-a859a33079b4;689816800;1;10;2017-12-18;2025-10-01
66384885;5dffb59a-803a-4240-8bd5-ee7eb4c38af6;689635689;1;11;2019-07-14;2025-09-29
28538223;4c077350-6149-42d6-b59f-d895457298b8;689635603;1;11;2019-07-14;2025-09-29
18418535;e9b781d5-2630-4984-9f91-2685b2688563;689668221;1;10;2018-09-25;2025-09-29
29982429;1329b2fd-a387-4597-8ed3-db57371878e4;689815982;1;11;2019-07-14;2025-10-01
30010985;afa1be25-ebf1-442f-b4b2-207f3f72bb39;689817593;1;11;2019-07-14;2025-10-01
29955778;6ea43911-ac74-4749-b015-2d5d12478c06;689815334;1;11;2019-07-14;2025-10-01
63856484;eb164feb-3c13-4834-96d8-2c595230abf2;689649519;1;11;2017-05-23;2025-09-29
30015446;784cdcf3-aa4b-4b4f-b170-545175a1fe3b;689818925;1;11;2019-07-14;2025-10-01
29951846;40e0f4d6-430a-446d-9cbe-34c4f5d053d0;689747389;1;10;2019-07-09;2025-09-30
44156518;40cceafc-1364-4e02-809f-a7723fd31ccf;689642601;1;11;2017-05-25;2025-09-29
45389591;c15206ea-9de3-4234-be75-1f5520ee4752;689748549;1;11;2017-05-25;2025-09-30
36487255;0214d460-2836-4358-a60b-890579d2fa5b;689734743;1;10;2019-07-09;2025-09-30
16991386;e3462fb1-4627-4a8f-b22b-82a013f50fbd;689746413;1;11;2017-05-16;2025-09-30
17020243;0a89f6fc-5dbb-43c8-b28d-ac044459f9cd;689746362;1;11;2017-05-11;2025-09-30
71586987;29f6c997-17c2-429a-b09f-0746b98984fc;689818293;0;10;2017-12-17;2025-10-01
29962972;2f913508-b02b-42ca-bfce-dd4bf106a92d;689817445;1;11;2019-07-14;2025-10-01
44079796;e936a225-4e3c-47b9-b98f-57eb05f7a7a3;689648964;1;11;2017-05-25;2025-09-29
44113952;c70e565e-4a51-4f54-98b8-419c2997a23d;689648879;1;11;2017-05-24;2025-09-29
44115917;61477423-23fd-4943-b8b4-33a3f54e8c59;689648896;1;11;2017-05-25;2025-09-29
44119106;a29774bf-34b8-48c4-a65b-3bab1cf990ec;689648923;1;11;2017-05-25;2025-09-29
44119098;49eb4db8-f904-4c17-aa3e-c38a630edca0;689648933;1;11;2017-05-25;2025-09-29
71188612;5e5ecbfa-8893-432d-84f5-1c5a9266ee8e;689814077;1;10;2019-07-09;2025-10-01
58372210;1ad6eb12-310f-4d13-a491-c9c00c969393;689751169;1;11;2019-07-14;2025-09-30
58385173;35ef7b30-f344-450d-a5d1-7c068fa43c9e;689706837;1;11;2019-07-14;2025-09-30
58385326;59b0bf16-c437-4a8c-94c4-5471025979f3;689706839;1;11;2019-07-14;2025-09-30
58436154;9725ffc7-ec39-4777-80d7-437ed79ec741;689706842;1;11;2019-07-14;2025-09-30
29927531;ec647dc1-33c2-4b30-8a51-09ddbb15e520;689817670;1;11;2019-07-14;2025-10-01
29927522;a55012a6-4376-42f0-b17b-e364040973e0;689817669;1;11;2019-07-14;2025-10-01
29922898;60ad894c-5cc8-4bde-aa2f-01a3beb44a90;689747379;1;10;2017-12-17;2025-09-30
29936900;94cab7a1-e2b8-49b8-9b64-5e0e410557fe;689818900;1;11;2019-07-14;2025-10-01
29967299;c8c5a322-707f-4427-82f1-1e21b6aa7fc3;689817451;1;11;2019-07-14;2025-10-01
29982829;b30a61fe-fb7c-4f09-b449-530e2ea2307b;689815983;1;11;2019-07-14;2025-10-01
30013282;070aa726-6c33-4b2f-9abd-cebe482bbe77;689815362;1;11;2019-07-14;2025-10-01
30027047;29c18907-6826-4616-9871-4382f0df5ad4;689814902;1;11;2019-07-14;2025-10-01
29932375;7717e7e6-83fd-4e69-b84c-0693f71cdc31;689818899;1;11;2019-07-14;2025-10-01
45381843;e70678f4-caf9-4496-b86f-422d5ede0d44;689751472;1;11;2017-05-25;2025-09-30
30008566;b4220218-05fe-4303-83b8-36235ccc8511;689814949;1;11;2019-07-14;2025-10-01
45418741;3d633840-0920-415b-8765-128ccd1518c0;689746570;1;11;2017-05-11;2025-09-30
