ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
25997847;58987362;476253;88142074;31;0;0;2025-10-01;2016-01-06;2079-06-06;0;467789.475060.475075.476253.58987362
31859616;38731512;479606;58707954;31;0;0;2025-09-30;1900-01-01;2079-06-06;0;467789.483685.478241.479606.38731512
14715569;71852587;71841799;107010775;31;0;0;2025-09-29;2019-02-21;2079-06-06;1;467789.467839.466400.71841799.71852587
25981622;73975456;476084;110113237;31;0;0;2025-09-29;2016-10-10;2079-06-06;0;467789.475060.475075.476084.73975456
25953825;48965160;474749;73567955;31;0;0;2025-09-29;2016-01-06;2079-06-06;0;467789.475060.475075.474749.48965160
247029545;174916846;476202;689639566;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.475060.475075.476202.174916846
247029544;174916845;61242715;689639564;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.475060.475075.478758.61242715.174916845
247029548;174916849;476102;689639573;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.475060.475075.476102.174916849
247030767;174918051;467752;689642971;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.467839.467752.174918051
247030947;174918229;479033;689643340;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.475060.474242.479033.174918229
247032484;174919759;477196;689645749;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.475060.475075.477196.174919759
247037287;174924411;482249;689652958;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.483685.482566.482249.174924411
247041304;174928412;174871933;689664226;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.476781.477173.174871933.174928412
247041897;174928584;484008;689665762;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.481681.483453.484008.174928584
247041982;174928669;102461491;689665920;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.481681.481818.102461491.174928669
247042129;174928814;482981;689666166;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.481681.481818.482981.174928814
247042330;174929013;479801;689666538;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.481681.482438.479801.174929013
247042633;174929314;479686;689667310;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.481681.478706.479686.174929314
247044080;174930726;100299199;689670130;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.483685.485011.485359.100299199.174930726
247044144;174930789;100299199;689670227;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.483685.485011.485359.100299199.174930789
247045523;174932154;475227;689672770;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.473298.472050.475227.174932154
247046999;174933624;485958;689675192;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.483685.484066.485958.174933624
247047042;174933667;485958;689675257;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.483685.484066.485958.174933667
247047073;174933698;486893;689675304;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.483685.484066.486893.174933698
247047105;174933730;486893;689675347;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.483685.484066.486893.174933730
247047134;174933759;158182074;689675385;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;467789.483685.484066.158182074.174933759
