ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
626181183;80860312;120173605;689790886;8;31:15:0401001:168;2025-10-01;2017-06-09;2025-10-01
591025029;80860578;120173993;689790869;8;31:15:0401001:158;2025-10-01;2017-06-09;2025-10-01
594679490;80860990;120174537;689790882;8;31:15:0401001:182;2025-10-01;2017-06-09;2025-10-01
1489848241;57647847;577929387;689711506;8;31:04:0101001:10906;2025-09-30;2023-12-26;2025-09-30
1505160852;15808636;591121376;689669345;8;31:04:0101001:27901;2025-09-29;2024-02-29;2025-09-29
1505176532;13380122;591127735;689679474;8;31:04:0101001:28071;2025-09-29;2024-02-29;2025-09-29
1505190606;13321952;591132337;689698870;8;31:04:0101001:28996;2025-09-29;2024-02-29;2025-09-29
1505230067;59662596;591144479;689739028;8;31:04:0101001:28505;2025-09-30;2024-03-01;2025-09-30
1505251959;73436729;591152212;689675225;8;31:04:0101001:28820;2025-09-29;2024-03-01;2025-09-29
1505282612;73591311;591163397;689673356;8;31:04:0101001:29357;2025-09-29;2024-03-01;2025-09-29
1505287643;33580826;591165261;689672891;8;31:04:0101001:29907;2025-09-29;2024-03-01;2025-09-29
1505287709;73603566;591165327;689674824;8;31:04:0101001:29646;2025-09-29;2024-03-01;2025-09-29
1505287625;24862046;591165243;689670244;8;31:04:0101001:29669;2025-09-29;2024-03-01;2025-09-29
1505287708;73634630;591165326;689674823;8;31:04:0101001:28857;2025-09-29;2024-03-01;2025-09-29
1505287701;73612516;591165319;689674826;8;31:04:0101001:28315;2025-09-29;2024-03-01;2025-09-29
1505300419;29629841;591169813;689732691;8;31:04:0101001:28874;2025-09-30;2024-03-01;2025-09-30
1505309771;10771523;591173547;689756796;8;31:04:0101001:29413;2025-09-30;2024-03-01;2025-09-30
1505309813;40767207;591173589;689791499;8;31:04:0101001:29350;2025-10-01;2024-03-01;2025-10-01
1505309810;40768137;591173586;689791501;8;31:04:0101001:27726;2025-10-01;2024-03-01;2025-10-01
1505366791;61492375;591194902;689668816;8;31:04:0101001:30988;2025-09-29;2024-03-04;2025-09-29
1520468290;40691286;599153320;689757255;8;31:00:0000000:2336;2025-09-30;2024-08-02;2025-09-30
1644431492;174916845;689639564;0;8;31:19:1106019:591;2025-09-29;2025-09-29;2079-06-06
1644431494;174916845;689639564;0;13;147350000010000000340012000100000;2025-09-29;2025-09-29;2079-06-06
1644440347;174918049;689642965;0;8;31:16:0125001:1588;2025-09-29;2025-09-29;2079-06-06
1644440349;174918049;689642965;0;13;147010000010000011640092000300000;2025-09-29;2025-09-29;2079-06-06
1644447364;174918885;689644399;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644525830;61486339;689668796;0;8;31:04:0101001:6572;2025-09-29;2025-09-29;2079-06-06
1505125502;9746351;591108988;689668852;8;31:04:0101001:28712;2025-09-29;2024-02-29;2025-09-29
1505125558;67392407;591109001;689668883;8;31:04:0101001:30470;2025-09-29;2024-02-29;2025-09-29
1644526740;67354296;689668977;0;8;31:04:0602001:1974;2025-09-29;2025-09-29;2079-06-06
1644526741;67359456;689668978;0;8;31:04:0602001:1975;2025-09-29;2025-09-29;2079-06-06
1644526871;67330150;689669013;0;8;31:04:0602001:1117;2025-09-29;2025-09-29;2079-06-06
1644527611;78643253;689669204;0;8;31:04:0201001:244;2025-09-29;2025-09-29;2079-06-06
1644527515;78516940;689669186;0;8;31:04:0201014:319;2025-09-29;2025-09-29;2079-06-06
