OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
59435335;9b5a7ad5-3117-4d2c-89fe-c06fea044991;689737356;1;11;2017-11-21;2025-09-30
32363758;ec0934e3-59f3-480b-b320-ef864ed35092;689755683;1;10;2019-07-09;2025-09-30
59562935;a7142db6-0fcf-456b-a424-1dcd5f9caaaf;689746170;1;11;2019-07-14;2025-09-30
29630027;510dd052-450b-457b-9b3e-24ef7cdbf4d7;689732692;1;11;2017-11-22;2025-09-30
10760702;ac0cbad4-99a2-4dd4-aa98-2aa04e0127c9;689756183;1;11;2017-11-10;2025-09-30
14855849;47bc19ca-4e08-4d19-b6c0-c4fefa7a9fd4;689701004;1;10;2019-07-09;2025-09-29
72536580;863cbda3-712e-4c07-8254-1353b83aa6b2;689673043;1;11;2017-11-10;2025-09-29
13473992;0a17d0c0-d1fb-44a2-9755-270e83dfd603;689696856;1;10;2017-12-18;2025-09-29
24131362;70b427c6-a68a-4af3-b24b-acc43d029011;689669916;1;11;2017-08-14;2025-09-29
174315574;0e4ac76c-f0eb-491d-98c1-3e8e752d41f0;689698570;1;7;2025-08-28;2025-09-29
24850207;e02de304-a5bf-4b38-887a-e1eddfb7404a;689670131;1;11;2017-11-21;2025-09-29
75332841;b449a747-95c0-4fcb-9c17-a9d6b44cb054;689673085;1;11;2017-11-27;2025-09-29
48505690;d9578011-ab3f-4ad1-a7dc-24c9f64fda93;689734469;1;11;2017-11-23;2025-09-30
67559652;09cec986-29c3-4afd-b810-49edf96f2f81;689791576;1;10;2019-07-09;2025-10-01
57604839;392a36aa-f532-405e-a533-a3f0167a865b;689711486;1;11;2017-11-22;2025-09-30
59452743;a5fd0e74-d323-446e-b44e-b640190f6b05;689737045;1;11;2017-11-24;2025-09-30
59473988;18770564-d6f2-482b-a5ec-f1b8c2c24209;689737830;1;11;2017-11-27;2025-09-30
59662596;3846b152-4ff9-43e9-bd70-94becdec48a6;689739028;1;11;2019-02-01;2025-09-30
61486339;59290369-b0a8-4c4f-b99d-8d97c56cf668;689668796;1;11;2017-11-22;2025-09-29
80860137;164af808-07d6-4fb5-9ed6-fba31b96a1e6;689790884;1;11;2017-06-09;2025-10-01
80860396;43269fbc-34ec-4b39-996c-7ec1cf92702b;689790863;1;11;2017-06-09;2025-10-01
80860575;6e1e3f87-2650-426f-a60e-46e83f1fb7b4;689790868;1;11;2017-06-09;2025-10-01
80860990;fd02b6d7-972c-4f91-8318-537f455b3abe;689790882;1;11;2017-06-09;2025-10-01
59662797;484887df-5b5d-41e2-bcf2-aed9e3874659;689739029;1;11;2019-02-01;2025-09-30
173394387;f5729b3e-c70e-45ad-922d-449f56f8c764;689740269;1;10;2025-07-11;2025-09-30
73573622;002422b5-4ae0-4fa4-90b4-69df0c267ccf;689732556;1;10;2016-10-31;2025-09-30
73611224;51ccc33e-69ac-4b5c-87d7-76105112fe3a;689674825;1;11;2017-11-23;2025-09-29
78486952;e3a35786-ff81-4414-8ba9-6189d752ff21;689642854;1;11;2019-07-14;2025-09-29
174776829;0221fdca-e38f-4660-a536-d93f55fdaf30;689675111;1;10;2025-09-22;2025-09-29
33435947;395db04b-f90c-4a41-a1f5-c4c4332696e0;689791585;1;10;2019-07-09;2025-10-01
40819211;19d83569-c0dc-4bda-9fac-165edaa7235a;689646362;1;10;2017-12-17;2025-09-29
13381145;9de9c9da-e31a-4181-85f9-f90e157f4ff1;689679479;1;11;2017-08-15;2025-09-29
13500727;b5824a8b-c667-4dfd-a845-4aeab7e4aa9a;689678995;1;11;2017-11-24;2025-09-29
174904554;e87453a6-da2e-491d-8b7d-33cacb074839;689649461;1;10;2025-09-26;2025-09-29
174916845;0e3e6843-f343-4920-8f1b-fbd8903e7616;689639564;1;11;2025-09-29;2025-09-29
174916847;275302ec-ea07-4957-b041-5f1a126d047d;689639570;1;10;2025-09-29;2025-09-29
174916849;8860fa13-30ae-47c3-b86b-90e47880eaa4;689639573;1;10;2025-09-29;2025-09-29
174918051;c056f5d7-44de-42e0-803f-5667f38be77b;689642971;1;10;2025-09-29;2025-09-29
174918229;de3c2d48-54f9-492f-a1ef-ea8ea52e1665;689643340;1;10;2025-09-29;2025-09-29
174919759;113016f8-d6ec-45bb-9622-94627e6b4390;689645749;1;10;2025-09-29;2025-09-29
174924411;c3976e6a-2c44-4ffb-ae46-afc58f8d28a2;689652958;1;10;2025-09-29;2025-09-29
174928412;51bdbda2-873e-48a1-886c-85e9bebdb414;689664226;1;9;2025-09-29;2025-09-29
174928584;e120a218-98ba-4fda-a7e8-62325559d377;689665762;1;10;2025-09-29;2025-09-29
174928669;bfcd632e-d9e4-424c-8b65-eb28eafa8605;689665920;1;9;2025-09-29;2025-09-29
78643378;bef59ca8-b501-40ce-95cd-da7682ceed4f;689669303;1;11;2018-03-01;2025-09-29
174930767;ae89cd66-7ab0-4baf-ae00-e684131aebab;689670186;1;10;2025-09-29;2025-09-29
174930816;46160516-2799-4769-adb9-e8835842a90b;689670284;1;10;2025-09-29;2025-09-29
174928969;76f027b3-9590-4abe-81e4-49f168bd167f;689666393;1;10;2025-09-29;2025-09-29
174929046;a33fe0d4-1ced-4cb9-8b89-4e24f2adaf7f;689666851;1;10;2025-09-29;2025-09-29
174933624;d836b420-6808-4bf8-8896-5a942a9c0665;689675192;1;10;2025-09-29;2025-09-29
174933657;69702d47-826d-4153-847c-36cd643a45a7;689675244;1;10;2025-09-29;2025-09-29
174933681;5d320143-8b05-4b83-87e6-e8e7fe88e3b4;689675276;1;10;2025-09-29;2025-09-29
174933726;fc4384a3-5847-48ef-a65b-fd749f61f862;689675337;1;10;2025-09-29;2025-09-29
174933747;565b7ad2-7849-4b89-be2b-138004ba31a6;689675367;1;10;2025-09-29;2025-09-29
174933769;61351606-ac08-4d32-a801-28312df4e1dc;689675411;1;10;2025-09-29;2025-09-29
174933809;ff1d43cf-b92b-415f-b86d-583e880c1247;689675486;1;10;2025-09-29;2025-09-29
13500050;2d799cd3-aee1-435b-92ff-e8ee2fa5fc03;689678992;1;11;2017-11-24;2025-09-29
174932210;055ccad8-1d85-4e82-ac38-77a7a6e3efd7;689672871;1;9;2025-09-29;2025-09-29
174938179;f4562227-9a99-49b5-b77f-84ced7a12dcf;689686428;1;10;2025-09-29;2025-09-29
