ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
7961287;92495059;88b6523a-63ec-4c82-aa58-b72ed4284971;135314688;46.;10;74200981;2025-10-01;2019-09-05;2025-10-01;0;0
69739221;166930690;95eb17e7-f0b4-4862-a82a-a14e8a7e7936;605895245;5/1;10;74198833;2025-10-01;2024-10-31;2025-10-01;0;0
74170127;174922282;335249d3-e8ac-420c-87f3-1754af033743;689649853;1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172205;174928524;235ef312-ab30-4172-a7bc-f524d8959928;689664603;42а;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172307;174928669;bfcd632e-d9e4-424c-8b65-eb28eafa8605;689665920;4;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172399;174929013;ae889460-f10d-4132-bd0c-327ae2a7268a;689666538;37;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174200;174932154;2e4bcc19-f674-4664-8715-1c7c4e19013e;689672770;18;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177605;174940029;c2e020a8-cbc6-4015-88ea-c9c90ae76803;689690310;9;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178445;174941256;74917de6-afb6-4b6b-b36e-934e5eae27c7;689692593;276;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178598;174941509;a9b30499-2e67-4e80-a162-ef1e7b244fa3;689693257;15А;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179261;174942727;44ed79c3-f883-4ab4-8bbc-a9018f67b818;689695402;1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180167;174944476;4153062d-f7cf-43d9-be34-c3167090a105;689698616;5;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180309;174944953;2abbe4f7-aab9-468c-a740-09d2e3b33ad8;689700534;46;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180314;174945004;3281fa4a-5be5-47b9-ad73-03cb6fb04361;689700832;3а;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74184295;174951376;f687827f-527d-45d0-b82f-ea5db1e42af7;689712279;29а;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185190;174952628;3efffbd9-a883-45f9-9e65-48ec04033110;689717830;35/3;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185432;174953023;2bc4bc57-4cae-4123-a4b5-f0e29d69af7e;689718634;2;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185464;174953078;b66045b4-7c43-4a65-b72d-5dbf2ac0d029;689718726;19;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185471;174953092;24e5b18d-52fd-41f9-8d3d-d59a9dc3133d;689718745;17;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186983;174955309;77f41f40-dbd5-4ff1-ac0c-464ab690690d;689723451;49;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74188249;174957761;26582521-9c49-424f-abd2-5c8b3c366d78;689729485;6;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74188439;174957987;c73a0646-03db-4409-8656-b0fe4600ea0a;689729978;43;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74188725;174503702;c822f858-a7c4-4670-8df5-7e84eac557e9;689731576;22;20;;2025-09-30;2025-09-30;2079-06-06;1;1
74188944;174958765;27851932-cdeb-459d-9ba0-4b01d1e3c012;689732705;16;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189306;174959387;7b696e33-8558-4472-82de-083589cbcb42;689733976;50;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189308;174959389;f2a0d441-4131-48d0-b611-07954b75103a;689733978;56;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189310;174959391;34d4cd6f-f910-45e2-b496-18c0488c720d;689733980;21;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189312;174959393;a1012995-5688-4745-8e66-ad1f22b40fa4;689733982;12;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189314;174959395;23acc45d-a5b4-4fd7-9fe3-393738729dd0;689733984;10;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189316;174959397;c7d2b4b6-3814-46b9-a002-e81996b0eff8;689733986;1в;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189707;174960103;9e8ee165-61fd-4ae2-bb4f-c6acf702d8cb;689735219;26;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189709;174960105;a45a3d49-437e-48ae-8dd0-14edc479a002;689735221;2е;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189711;174960107;af73642d-7da8-4332-b737-31dbec0947f2;689735223;2в;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189713;174960109;235622a9-d711-436a-9e7a-e4374f99ca0c;689735225;17;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74189715;174960111;7dba9064-d6d3-4ff3-99f2-29499c14a824;689735227;32;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74190163;174960711;3cc81591-b238-4a51-9b69-3e3397aa5544;689736885;42г;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74190167;174960716;b1ac8648-f7ea-48ac-90d8-5dfe97742c07;689736895;11;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74190169;174960718;3e0c56a2-447f-47de-972a-1a1f71ea4f95;689736897;16;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
