ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
697306069;498894;168175486;689675665;7;15501000116;2025-09-29;2021-01-18;2025-09-29
1644552729;498894;689675665;0;6;15250000015;2025-09-29;2025-09-29;2079-06-06
7593594;498894;1284912;689675665;10;32023000020000351;2025-09-29;2016-06-07;2025-09-29
7593574;498894;1284898;689675665;15;0003;2025-09-29;2015-11-25;2025-09-29
1644552739;498894;689675665;0;13;155010001150000000411;2025-09-29;2025-09-29;2079-06-06
1644552743;498894;689675665;0;21;15501000;2025-09-29;2025-09-29;2079-06-06
1644708211;174953515;689719586;0;2;3200;2025-09-30;2025-09-30;2079-06-06
1644708213;174953515;689719586;0;4;3241;2025-09-30;2025-09-30;2079-06-06
1644708215;174953515;689719586;0;7;15628151051;2025-09-30;2025-09-30;2079-06-06
1644708217;174953515;689719586;0;15;243;2025-09-30;2025-09-30;2079-06-06
1644708219;174953515;689719586;0;21;15628151;2025-09-30;2025-09-30;2079-06-06
1644731404;174956439;689725699;0;2;3200;2025-09-30;2025-09-30;2079-06-06
1644731406;174956439;689725699;0;4;3245;2025-09-30;2025-09-30;2079-06-06
1644731408;174956439;689725699;0;7;15604424;2025-09-30;2025-09-30;2079-06-06
1644731410;174956439;689725699;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644731412;174956439;689725699;0;21;15604424;2025-09-30;2025-09-30;2079-06-06
1644787824;500121;689742284;0;10;3202200004700;2025-09-30;2025-09-30;2079-06-06
