CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689638543;50219719;61d1c750-b64d-4135-97ec-7328f2980c55;20;27409135;2025-09-29
689638552;174916122;bd873c3e-12bb-4b66-8d8e-cf467a920998;10;27409140;2025-09-29
689638538;174916113;f720f19a-b5d2-4ebc-8fdd-31cf177b1980;10;27409134;2025-09-29
689638540;174916115;667865bf-14b6-4062-b98d-2ae172d19a31;10;27409134;2025-09-29
689638542;174916117;e4128993-ab4b-4533-bfd1-73a875ab75ce;10;27409134;2025-09-29
689638586;174916150;66d2b76d-eaff-48c0-8683-72b8e67eb1b2;10;27409147;2025-09-29
689638588;174916152;a6fca752-eb5f-4eab-8486-03c1d614ac35;10;27409147;2025-09-29
689638554;174916124;dfa317bd-8cc1-4063-af5f-6f8c6ef6b777;10;27409140;2025-09-29
689638572;174916139;2643cd2b-9f22-48cb-9162-a321756a66a0;10;27409142;2025-09-29
689638574;174916141;2ccae112-f2f0-497a-93c6-fed7f0f8337c;10;27409142;2025-09-29
689638576;174916143;77ad1efd-f13b-498b-8e76-5722e0ff6fc9;10;27409142;2025-09-29
689638618;174916177;81f793b4-efe4-497e-b158-98228ac81e3e;10;27409153;2025-09-29
689638620;174916179;975beba4-3317-4516-948c-e5a54591476f;10;27409153;2025-09-29
689644431;83146219;d7b6d2f8-60b0-49b2-b454-1444d7b7bb47;20;27410070;2025-09-29
689644447;174918911;8601b776-d180-4264-8d06-5b12783c119a;10;27410077;2025-09-29
689646196;174920048;9398fdad-deeb-4012-9fdf-61ac9800fd47;10;27410358;2025-09-29
689646420;174920180;2b127b31-3caa-436e-b24d-fda4192665d3;10;27410445;2025-09-29
689646550;174920251;d89c108f-7a6c-428a-b590-2935cf5319ca;10;27410490;2025-09-29
689646605;174920286;1661c3a1-560e-4c65-9f54-134218fd93eb;10;27410490;2025-09-29
689646798;174920412;f79b4c9d-088d-4e9e-beb9-946c74264ddc;10;27410568;2025-09-29
689649370;174921990;a10c0220-542d-4a21-a7b1-0a3983145507;10;27410840;2025-09-29
689649642;21061573;9a48d91f-2de7-4bfe-b88a-72fb6f6570e8;20;27410943;2025-09-29
689649765;174922229;aa20de56-38a1-43ed-bf67-515afa1da2d6;10;27410970;2025-09-29
689649809;87903040;6c296514-fc32-489e-866a-ef9a4532948b;20;27410988;2025-09-29
689649862;174922286;5b8f9643-e8a4-4fc5-8599-3d2928ecbd94;10;27411001;2025-09-29
689649892;92556626;05505a89-c1bd-48ab-bef6-3b92bf26c680;20;27411027;2025-09-29
689652934;82839744;f583baf0-2502-4b3e-9cf7-4e761107374f;20;27411292;2025-09-29
689652966;174924415;4556c868-dfaa-4b99-b9db-f9d5434abc6d;10;27411295;2025-09-29
689653087;81361484;75d29812-44bc-4690-b4b4-892a46289981;20;27411335;2025-09-29
689653150;174924538;c7b2f65a-0843-4498-8a85-4500366b6816;10;27411356;2025-09-29
689653376;174924727;ca6a23ee-4687-4578-9614-cc6ca1294026;10;27411413;2025-09-29
689664157;74225557;a52fb9f9-b3aa-48aa-94e1-582905cbb2ef;20;27411709;2025-09-29
689664234;174928418;678b534d-f6d2-4e18-a9ed-27295e9cc0b7;10;27411997;2025-09-29
689664648;174928541;0d7f39dc-c3f0-4973-8045-95496512c304;10;27412093;2025-09-29
689667144;174929222;67a6f81d-0b11-4882-bdb3-38f679e67efe;10;27412313;2025-09-29
689669905;174930588;0f3b7c9b-73c1-48a7-b36b-e9f5537aeb4d;10;27412944;2025-09-29
689670013;4876079;94f630b1-f172-413e-bc49-fb0e95408638;20;27412980;2025-09-29
689639514;174916804;bdcee6a5-2969-475c-85e9-cc4995d861b1;10;27409267;2025-09-29
689672769;174932153;c303f3ce-e1f6-4af7-bea1-7da5a7f1c6a4;10;27413412;2025-09-29
689672893;174932230;fe173805-45ca-4519-a6d8-7621cb569a1f;10;27413447;2025-09-29
689673087;174932342;9c551106-662f-4389-b626-219de23c0dad;10;27413501;2025-09-29
689674815;174933413;c49532ea-a689-44e4-afab-e402de9a9168;10;27413953;2025-09-29
689675231;174933650;a04fcc27-7ba2-4154-8bfc-7cc9306a8bf5;10;27414054;2025-09-29
689675449;48975303;161e0879-fc63-4da2-bffe-99530f03d0b8;20;27414136;2025-09-29
689675666;79094348;61f76d7b-d8b5-4034-b50d-3304363c4123;51;27414215;2025-09-29
689675668;79095035;65360cc6-3cac-4f6c-9441-e355d432c14e;51;27414215;2025-09-29
689679272;31499146;78a7854c-1752-4272-ae08-cf426f2310fa;20;27414646;2025-09-29
689695987;174943120;015d3497-e1f4-4fe0-9da9-7f4c03978169;10;27417357;2025-09-29
689691241;174940583;1d9325e4-1ce5-4a7e-8e5b-48365806b8cf;10;27416484;2025-09-29
689692559;174941242;a17eb30d-037a-4a8e-a455-ada90e0f03b7;10;27416711;2025-09-29
689692730;174941324;a92be184-7b9a-4524-b213-d5ff914e131b;10;27416766;2025-09-29
689692880;71498605;765a97b4-da65-4e90-9c66-f92d729e158c;20;27416805;2025-09-29
689693633;23366904;e09b8967-30a5-4e14-b2c6-d08dfe7b9eaa;20;27416887;2025-09-29
689695617;88845285;6420e61e-9c57-4138-a37c-c6a3d310b49f;20;27417276;2025-09-29
689695732;174942951;0db52c38-e01a-47e3-8f28-d308ef1e84cf;10;27417306;2025-09-29
689671640;174931602;39b4514a-bc5b-4b8a-b4ee-879578fffb08;10;27413271;2025-09-29
689725699;174956439;e09a6e30-c024-402c-ab9d-67e2bcf73f0b;10;27422635;2025-09-30
689729493;174957764;176a1a0f-bcc7-4eb5-bb5f-82f64392d557;10;27423023;2025-09-30
689729924;174957943;1d0f8375-0d51-4717-b877-b58dfd205284;10;27423083;2025-09-30
689730136;174958055;686844f1-c99f-4084-be29-ce93970af6cb;10;27423134;2025-09-30
