ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27426259;О присвоении адреса;2025-09-29;С-133;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЖИРЯТИНСКОГО РАЙОНА;2025-09-30
27410070;О внесении изменений по объекту адресации;2025-09-29;T-28947472;21;4;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ СЕЛИЛОВИЧСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ РОГНЕДИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;2025-09-29
27410358;о присвоении адреса;2025-09-26;732;21;2;2025-09-29;АДМИНИСТРАЦИЯ СЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;2025-09-29
27410445;О присвоении адресов жилому дому и земельному участку, расположенным в Брянской области, городском округе город Брянск, городе Брянске по улице Василева;2025-09-26;427-Р;23;2;2025-09-29;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-09-29
27410506;О присвоении адреса земельному участку;2025-09-26;230;21;2;2025-09-29;ГЛИНИЩЕВСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ;2025-09-29
27410568;О присвоении адресов жилому дому в составе дома блокированной застройки и земельному участку, расположенным в Брянской области, городском округе город Брянск, городе Брянске по переулку Городищенскому;2025-09-25;425-Р;23;2;2025-09-29;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-09-29
27410943;Об аннулировании ранее существовавшего адреса и присвоении адреса жилому дому, расположенному в Брянской области, городском округе город Брянск, городе Брянске по улице Социалистической;2025-09-26;429-Р;23;2;2025-09-29;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-09-29
27410966;Об изменении адреса объекту адресации;2025-09-29;33;21;2;2025-09-29;СТОЛБОВСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ;2025-09-29
27411001;О присвоении адресов жилому дому и земельному участку, расположенным в Брянской области, городском округе  город Брянск, городе Брянске по улице Маяковского;2025-09-25;423-Р;23;2;2025-09-29;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-09-29
27411037;О присвоении, изменении и аннулировании адресов;2025-09-29;74;21;2;2025-09-29;ЧЕМЛЫЖСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ;2025-09-29
27411292;Об изменении адреса объекту адресации;2025-09-29;35;21;2;2025-09-29;СТОЛБОВСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ;2025-09-29
27411335;Об изменении адреса объекту адресации;2025-09-29;36;21;2;2025-09-29;СТОЛБОВСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ;2025-09-29
27411356;Об аннулировании ранее существовавшего адреса жилого дома и присвоении адресов жилому дому и земельному участку, расположенным в Брянской области, городском округе город Брянск, городе Брянске по улице Заводской;2025-09-25;417-Р;23;2;2025-09-29;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-09-29
27411413;О присвоении адреса нежилому зданию, расположенному в Брянской области, городском округе город Брянск, городе Брянске по улице Петрова;2025-09-26;432-Р;23;2;2025-09-29;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-09-29
27411709;Об аннулировании ранее существовавшего адреса земельного участка и присвоении адресов жилому дому и земельному участку, расположенным в Брянской области, городском округе город Брянск, городе Брянске на территории СО Мичуринец;2025-09-26;431-Р;23;2;2025-09-29;УПРАВЛЕНИЕ ПО СТРОИТЕЛЬСТВУ И РАЗВИТИЮ ТЕРРИТОРИИ ГОРОДА БРЯНСКА;2025-09-29
27412046;О присвоении, изменении и аннулировании адресов;2025-09-29;276;21;2;2025-09-29;Супоневская сельская администрация;2025-09-29
27412313;О присвоении адреса земельному участку;2025-09-29;33;21;2;2025-09-29;"СЛОБОДИЩЕНСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СЛОБОДИЩЕНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ"" Дятьковского района Брянской области";2025-09-29
27412944;О присвоении адреса жилому дому в с. Отрадное, ул. Александровская, 9/6;2025-09-26;213;21;2;2025-09-29;Отрадненская сельская администрация;2025-09-29
27412980;О присвоении, изменении и аннулировании адресов;2025-09-29;278;21;2;2025-09-29;Супоневская сельская администрация;2025-09-29
27413271;О присвоении адреса;2025-09-29;282;21;2;2025-09-29;АДМИНИСТРАЦИЯ СТАРОДУБСКОГО МУНИЦИПАЛЬНОГО ОКРУГА БРЯНСКОЙ ОБЛАСТИ;2025-09-29
27413383;О присвоении адреса объекту адресации (объекту незавершенного строительства);2025-09-25;372-р;15;2;2025-09-29;АДМИНИСТРАЦИЯ БРАСОВСКОГО РАЙОНА;2025-09-29
27413412;О присвоении адреса объекту адресации (земельному участку);2025-09-25;373-р;15;2;2025-09-29;АДМИНИСТРАЦИЯ БРАСОВСКОГО РАЙОНА;2025-09-29
27413472;О присвоении адреса объекту адресации (объекту незавершенного строительства);2025-09-25;377-р;15;2;2025-09-29;АДМИНИСТРАЦИЯ БРАСОВСКОГО РАЙОНА;2025-09-29
27413922;О присвоении адреса объекту адресации (земельному участку);2025-09-25;375-р;15;2;2025-09-29;АДМИНИСТРАЦИЯ БРАСОВСКОГО РАЙОНА;2025-09-29
27413973;о присвоении адреса в д. Слобода;2025-09-29;67;21;2;2025-09-29;КРАСНОКОСАРОВСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ;2025-09-29
27414125;О присвоении, изменении и аннулировании адресов;2025-09-26;53;21;2;2025-09-29;ТЕЛЕЦКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ТРУБЧЕВСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;2025-09-29
27414215;Об изменении адреса элементу улично-дорожной сети;2025-09-26;281;21;2;2025-09-29;АДМИНИСТРАЦИЯ СТАРОДУБСКОГО МУНИЦИПАЛЬНОГО ОКРУГА БРЯНСКОЙ ОБЛАСТИ;2025-09-29
27414646;О присвоении адреса объекту адресации;2025-09-29;85;21;2;2025-09-29;Новоямская сельская администрация;2025-09-29
27416444;Об аннулировании адреса объекту адресации (земельному участку). О присвоении адреса объекту адресации (земельному участку);2025-09-25;368-р;15;2;2025-09-29;АДМИНИСТРАЦИЯ БРАСОВСКОГО РАЙОНА;2025-09-29
27416530;О присвоении адреса объекту адресации;2025-09-29;35;21;2;2025-09-29;ИГРИЦКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ;2025-09-29
27416728;О присвоении адреса;2025-09-29;178;21;2;2025-09-29;НОВОДАРКОВИЧСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ;2025-09-29
27416795;Об аннулировании и присвоении адреса объекту адресации;2025-09-29;254;21;2;2025-09-29;Кокинская сельская администрация;2025-09-29
27416805;Об изменении адреса жилому дому;2025-09-26;1268;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЖУКОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27417273;О присвоении адреса жилому дому и строению по ул. Интернациональная рп. Климово;2025-09-29;79;24;2;2025-09-29;ОТДЕЛ АРХИТЕКТУРЫ И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ КЛИМОВСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;2025-09-29
27417306;О присвоении индивидуальному жилому дому и земельному участку адреса: Российская Федерация, Брянская область, городской округ город Клинцы, город Клинцы, переулок Придорожный, 19;2025-09-26;1566;21;2;2025-09-29;КЛИНЦОВСКАЯ ГОРОДСКАЯ АДМИНИСТРАЦИЯ;2025-09-29
27417402;О присвоении и аннулировании адреса объекта адресации;2025-09-29;H-28956037;23;3;2025-09-29;КРАСНОРОГСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ПОЧЕПСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;2025-09-29
27421012;О присвоении адреса;2025-09-29;51-п;21;2;2025-09-29;КРАСНОРОГСКАЯ СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ПОЧЕПСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;2025-09-29
27421029;О присвоении адреса объектам недвижимости;2025-09-29;27;21;2;2025-09-29;Администрация Акуличского сельского поселения;2025-09-29
27421483;О присвоении объекту адресации адреса;2025-09-29;417;21;2;2025-09-30;АДМИНИСТРАЦИЯ ДУБРОВСКОГО РАЙОНА;2025-09-30
