ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
74167087;174916804;bdcee6a5-2969-475c-85e9-cc4995d861b1;689639514;25А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169076;174920048;9398fdad-deeb-4012-9fdf-61ac9800fd47;689646196;40;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169295;174920428;e88b3363-4e57-452d-982c-2f72a7a9cd6e;689646828;11А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169217;174920267;a0e99643-cbfe-48a7-a170-06592098d7f1;689646581;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169981;174922009;8725a0c9-98df-46fd-97a7-fb58c67b5c82;689649397;52А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170129;174922286;5b8f9643-e8a4-4fc5-8599-3d2928ecbd94;689649862;105Б;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171007;174924538;c7b2f65a-0843-4498-8a85-4500366b6816;689653150;6;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172155;174928418;678b534d-f6d2-4e18-a9ed-27295e9cc0b7;689664234;48/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172182;174928481;fb41a1b8-e47b-4bff-a685-b21bf7d7da43;689664379;10;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172536;174929222;67a6f81d-0b11-4882-bdb3-38f679e67efe;689667144;7/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173544;174930670;85ac40cf-1ae6-4086-877e-eb9452d69192;689670038;41;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174199;174932153;c303f3ce-e1f6-4af7-bea1-7da5a7f1c6a4;689672769;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174347;174932342;9c551106-662f-4389-b626-219de23c0dad;689673087;4а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174798;174933292;a7f2ae04-5982-4b6e-a951-d1437bbe778b;689674658;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74175645;174935301;b209e47f-9454-4291-8d39-5542e9973559;689679330;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178437;174941242;a17eb30d-037a-4a8e-a455-ada90e0f03b7;689692559;54;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179441;174942951;0db52c38-e01a-47e3-8f28-d308ef1e84cf;689695732;19;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74183589;174950416;ce4b67ed-b9a8-4e1e-ba9c-89f03bbe8797;689710939;4/2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74184798;174952083;ca88301e-d08f-4464-8dbc-42b7f254871c;689716562;6;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185448;174953054;030350e8-509d-4c49-bbfa-366005b5f598;689718681;45;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186817;174955085;bfe81668-c446-42f1-8811-8bf6198ac0f1;689723027;29/1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74188068;174957544;605b7386-0efb-4bd6-90f5-0c7dfadfb7a8;689728424;20;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74188324;174957854;c60a1647-cf7f-4f04-97fd-2e7754275cbb;689729623;17/2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74188404;174957943;1d0f8375-0d51-4717-b877-b58dfd205284;689729924;4/2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74188480;174958058;7c6a4494-5f12-41aa-9186-470fca872934;689730141;10/2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74190566;174961317;3afdde7c-eece-4ac6-85c8-2dc63277004a;689738012;11;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192081;174963534;837ce905-3d03-4864-a2f6-de12c45f8c90;689742646;20;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192498;174964232;e2900240-60ad-41f9-8302-3ed795fb7839;689743671;30;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192875;174964646;f13222b0-795b-43ca-a63b-393fc281236a;689744901;4;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192901;174964674;681a9923-fd14-4837-b769-402b0625d49c;689744989;21;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192903;174964676;f5e3b200-8373-48c0-a418-03c69104f33f;689744991;19;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192905;174964678;1a95605c-c8eb-4fca-a29f-31415153873d;689744993;16А;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192907;174964680;2fddfd61-8390-4cdd-9bed-0629d0de4a2a;689744995;15Б;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192909;174964682;092cc3ca-0300-4807-849a-af6a08f58c3b;689744997;15;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192911;174964684;6e8d8c5f-8794-434b-99dc-b55d6cf813b9;689744999;13;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192913;174964686;9db5c5a0-8a60-42f0-bcd0-1e93afeb8506;689745001;11;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192915;174964688;b4da21c0-15ab-4855-8f2f-d95582fb504a;689745003;9;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192917;174964690;23f931d0-6b11-441a-ab06-9adfc681de09;689745005;8;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192919;174964692;658ab25c-5a12-45ef-8eb2-9195f192f4e9;689745007;7;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192921;174964694;64967ee1-c77a-4e02-b109-5e63261e5ead;689745009;6;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
