ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
37017251;62172869;9b58cd4c-f474-4d1a-aec1-cf6a2429c40d;92837179;1;2;10;0;111810877;2025-09-30;2017-05-04;2025-09-30;0;0
111803909;14993482;0304e862-bb91-4b04-b9bc-f58e1bbdcda3;689691151;1;2;30;8191973;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803910;14993634;c8a67b04-342d-487b-9e63-7ffa04b3b08e;689691152;2;2;30;8192009;0;2025-09-29;2025-09-29;2079-06-06;1;0
111804533;174943091;fca05ff9-518e-4958-8b44-54b758b5865c;689695921;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111804541;174943163;5d957c01-e435-4044-8bf0-379cbae42c59;689696047;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111804544;174943180;b14d3663-2b24-4ca4-9346-1b8333bdae59;689696082;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111810354;174965747;eea99033-f50e-4027-ad4b-9492109fd364;689747516;1;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111810878;62172882;aa0cb70b-fa6d-4a1f-ab4d-de9ca858168b;689754984;2;2;30;37017255;0;2025-09-30;2025-09-30;2079-06-06;1;0
111814691;174981086;4327fcaa-bf4f-4e1e-b531-561aa9c76c26;689798776;1;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814697;174981129;4cf6117e-c90f-4f69-9d27-22bf986a3a24;689798853;3;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814701;174981133;7798fe7e-545a-4256-b610-ba8d5f472480;689798862;4;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111815871;174983826;3ce70a97-faf9-4c95-90c2-70e4e12f92eb;689804659;5;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111815873;174983828;c99fff63-4610-4300-a2b5-212623b648fd;689804661;7;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111815875;174983830;1f63602f-0e58-4339-ad2f-b703337309ed;689804663;10;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111815899;174983958;401f9a8b-bad3-4dcd-a7b0-b15340aa797e;689805336;2;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818647;34918186;59dd8016-3455-48f7-9caf-7c7886b5278f;689818882;1;2;55;20303469;129190872;2025-10-01;2025-10-01;2079-06-06;1;0
111818648;34921448;f822e9bc-5b13-4c2e-afeb-03dde39d1a4f;689818884;2;2;55;20305808;129190873;2025-10-01;2025-10-01;2079-06-06;1;0
111818810;174992010;4b5a7ca9-95ec-4150-97ad-bbda591822de;689820006;1;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818811;174992015;fcd5d2a1-9f1b-43e8-ab0e-321e8185dfa8;689820013;2;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111819043;20756019;25e759b0-97e8-4c80-8032-a4febc02f57a;689825434;2;2;30;11606234;0;2025-10-01;2025-10-01;2079-06-06;1;0
111819044;20756086;695e7eaa-f2e3-4913-981a-67300c895e77;689825437;1;2;30;11606248;0;2025-10-01;2025-10-01;2079-06-06;1;0
