ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
397291433;70986592;105753509;689733049;15;117;2025-09-30;2017-12-20;2025-09-30
1601044154;44074397;642659272;689638250;8;33:02:021524:1005;2025-09-29;2025-03-17;2025-09-29
826557664;22931169;278844068;689638275;8;33:20:016906:139;2025-09-29;2022-03-16;2025-09-29
837948627;16827257;282810670;689642673;8;33:02:021259:305;2025-09-29;2022-05-04;2025-09-29
697090653;99955057;168064974;689695546;6;17250000041;2025-09-29;2021-01-15;2025-09-29
839795677;45732005;283716204;689642731;8;33:02:021212:712;2025-09-29;2022-06-08;2025-09-29
1316634644;29114373;453037788;689750439;8;33:16:001127:637;2025-09-30;2022-10-12;2025-09-30
1462162347;11354975;565884206;689662518;8;33:04:140101:564;2025-09-29;2023-10-10;2025-09-29
1462162990;11150786;565884844;689818898;8;33:08:190101:317;2025-10-01;2023-10-10;2025-10-01
1462164354;3112076;565886211;689822338;8;33:14:003209:27;2025-10-01;2023-10-10;2025-10-01
1462166703;66610198;565888561;689786517;8;33:02:020623:151;2025-10-01;2023-10-10;2025-10-01
1462166487;11169236;565888346;689818887;8;33:08:190101:468;2025-10-01;2023-10-10;2025-10-01
1462167375;67097306;565889229;689824776;8;33:25:000003:2069;2025-10-01;2023-10-10;2025-10-01
1489853946;15069837;577935031;689736612;8;33:18:000310:259;2025-09-30;2023-12-26;2025-09-30
1503445479;22156970;590235238;689697492;8;33:09:020307:67;2025-09-29;2024-02-13;2025-09-29
1539425019;58808233;605807120;689816686;8;33:10:001104:122;2025-10-01;2024-10-30;2025-10-01
1644426340;11670685;689638257;0;8;33:02:021525:1097;2025-09-29;2025-09-29;2079-06-06
1644426351;39954123;689638259;0;8;33:02:021524:981;2025-09-29;2025-09-29;2079-06-06
1644426333;44074397;689638250;0;8;33:02:021524:975;2025-09-29;2025-09-29;2079-06-06
1364728010;83256441;488992359;689638254;8;33:02:021524:673;2025-09-29;2022-12-09;2025-09-29
1330537375;39976378;461289511;689638262;8;33:02:021524:562;2025-09-29;2022-11-03;2025-09-29
1316020889;11859071;452424033;689638270;8;33:02:021405:462;2025-09-29;2022-10-12;2025-09-29
1644426428;11848432;689638273;0;8;33:02:021405:788;2025-09-29;2025-09-29;2079-06-06
1644426416;11859071;689638270;0;8;33:02:021405:298;2025-09-29;2025-09-29;2079-06-06
1644426442;48453673;689638278;0;8;33:02:021518:852;2025-09-29;2025-09-29;2079-06-06
1644439041;48457448;689642646;0;8;33:02:021518:853;2025-09-29;2025-09-29;2079-06-06
1644439044;60430002;689642650;0;8;33:20:015011:886;2025-09-29;2025-09-29;2079-06-06
832682112;73768955;280860566;689642656;8;33:20:014820:26;2025-09-29;2022-04-04;2025-09-29
1316635089;49794667;453038233;689642658;8;33:02:021518:561;2025-09-29;2022-10-12;2025-09-29
1644439174;16827257;689642673;0;8;33:02:021259:304;2025-09-29;2025-09-29;2079-06-06
1644439202;40643143;689642681;0;8;33:20:011622:236;2025-09-29;2025-09-29;2079-06-06
1644439212;17166784;689642685;0;8;33:02:021506:202;2025-09-29;2025-09-29;2079-06-06
1644439213;17166915;689642686;0;8;33:02:021506:335;2025-09-29;2025-09-29;2079-06-06
1644439214;17109669;689642687;0;8;33:02:021506:341;2025-09-29;2025-09-29;2079-06-06
1644439215;17151731;689642688;0;8;33:02:021506:212;2025-09-29;2025-09-29;2079-06-06
1644439228;19328184;689642694;0;8;33:02:021201:104;2025-09-29;2025-09-29;2079-06-06
1644439230;45164748;689642696;0;8;33:20:010308:327;2025-09-29;2025-09-29;2079-06-06
1644439040;22921817;689642645;0;8;33:20:016906:147;2025-09-29;2025-09-29;2079-06-06
1644439042;22928841;689642647;0;8;33:20:016805:102;2025-09-29;2025-09-29;2079-06-06
1644439043;14532960;689642649;0;8;33:02:021518:396;2025-09-29;2025-09-29;2079-06-06
1644439211;11729724;689642684;0;8;33:20:011704:329;2025-09-29;2025-09-29;2079-06-06
1644439218;11754230;689642691;0;8;33:20:011010:191;2025-09-29;2025-09-29;2079-06-06
1644439271;67998239;689642707;0;8;33:20:010721:155;2025-09-29;2025-09-29;2079-06-06
1644439276;80364799;689642709;0;8;33:20:013904:281;2025-09-29;2025-09-29;2079-06-06
1644439296;80369091;689642715;0;8;33:20:013904:301;2025-09-29;2025-09-29;2079-06-06
1644439239;46916974;689642698;0;8;33:20:013705:762;2025-09-29;2025-09-29;2079-06-06
1644439250;58624285;689642702;0;8;33:20:010720:50;2025-09-29;2025-09-29;2079-06-06
1644439286;80365259;689642712;0;8;33:20:013905:46;2025-09-29;2025-09-29;2079-06-06
1644439297;80367262;689642716;0;8;33:20:013904:139;2025-09-29;2025-09-29;2079-06-06
1644439336;24777979;689642723;0;8;33:02:021212:958;2025-09-29;2025-09-29;2079-06-06
1644439338;24768231;689642725;0;8;33:02:021212:721;2025-09-29;2025-09-29;2079-06-06
1644439343;45732005;689642731;0;8;33:02:021212:277;2025-09-29;2025-09-29;2079-06-06
1644439360;32553555;689642739;0;8;33:02:021214:302;2025-09-29;2025-09-29;2079-06-06
1644439370;76924724;689642741;0;8;33:20:011614:97;2025-09-29;2025-09-29;2079-06-06
1644439337;6206790;689642724;0;8;33:20:015014:310;2025-09-29;2025-09-29;2079-06-06
1644439339;66084979;689642726;0;8;33:20:011109:32;2025-09-29;2025-09-29;2079-06-06
1644439344;60979799;689642732;0;8;33:12:011038:1117;2025-09-29;2025-09-29;2079-06-06
1644439346;32572031;689642734;0;8;33:02:021214:183;2025-09-29;2025-09-29;2079-06-06
1644439359;69970014;689642738;0;8;33:20:010305:241;2025-09-29;2025-09-29;2079-06-06
1644439392;28282387;689642747;0;8;33:02:021401:365;2025-09-29;2025-09-29;2079-06-06
1644439455;28278425;689642756;0;8;33:02:021401:709;2025-09-29;2025-09-29;2079-06-06
1644439454;5869113;689642755;0;8;33:20:010713:36;2025-09-29;2025-09-29;2079-06-06
1644440401;174918055;689642977;0;2;3300;2025-09-29;2025-09-29;2079-06-06
1644440403;174918055;689642977;0;4;3340;2025-09-29;2025-09-29;2079-06-06
1644440405;174918055;689642977;0;7;17625101001;2025-09-29;2025-09-29;2079-06-06
1644440407;174918055;689642977;0;15;68;2025-09-29;2025-09-29;2079-06-06
1644440409;174918055;689642977;0;21;17625101;2025-09-29;2025-09-29;2079-06-06
1644449562;81987387;689645074;0;8;33:20:012601:668;2025-09-29;2025-09-29;2079-06-06
1644449597;82026248;689645081;0;8;33:20:012601:430;2025-09-29;2025-09-29;2079-06-06
1644449599;49412459;689645083;0;8;33:02:021401:445;2025-09-29;2025-09-29;2079-06-06
1644449596;31024579;689645080;0;8;33:02:021407:171;2025-09-29;2025-09-29;2079-06-06
1644449600;59766154;689645084;0;8;33:20:014717:18;2025-09-29;2025-09-29;2079-06-06
1644449705;22393865;689645103;0;8;33:20:012823:232;2025-09-29;2025-09-29;2079-06-06
1644449711;174919153;689645109;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644449713;174919153;689645109;0;3;3327;2025-09-29;2025-09-29;2079-06-06
1644449715;174919153;689645109;0;6;17250000000;2025-09-29;2025-09-29;2079-06-06
1644449717;174919153;689645109;0;8;33:12:010804:694;2025-09-29;2025-09-29;2079-06-06
1644449719;174919153;689645109;0;13;175500000000065000020001000000000;2025-09-29;2025-09-29;2079-06-06
1316007940;60957435;452411086;689645111;8;33:20:014715:31;2025-09-29;2022-10-12;2025-09-29
1503445031;71689368;590234788;689645113;8;33:20:012807:26;2025-09-29;2024-02-13;2025-09-29
1644449682;174919151;689645096;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644449684;174919151;689645096;0;3;3332;2025-09-29;2025-09-29;2079-06-06
1644449686;174919151;689645096;0;6;17235000086;2025-09-29;2025-09-29;2079-06-06
1644449688;174919151;689645096;0;8;33:07:000502:1312;2025-09-29;2025-09-29;2079-06-06
1644449690;174919151;689645096;0;13;176354152010000000720101000000000;2025-09-29;2025-09-29;2079-06-06
1316119426;80094519;452522570;689645098;8;33:20:015005:30;2025-09-29;2022-10-12;2025-09-29
840161873;49414164;283900965;689645100;8;33:02:021401:394;2025-09-29;2022-06-15;2025-09-29
840161872;49416730;283900958;689645104;8;33:02:021401:702;2025-09-29;2022-06-15;2025-09-29
840161767;49437589;283900918;689645108;8;33:02:021401:347;2025-09-29;2022-06-15;2025-09-29
1644449744;174919156;689645118;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644449746;174919156;689645118;0;3;3327;2025-09-29;2025-09-29;2079-06-06
1644449748;174919156;689645118;0;6;17250000000;2025-09-29;2025-09-29;2079-06-06
1644449750;174919156;689645118;0;8;33:12:010804:693;2025-09-29;2025-09-29;2079-06-06
1644449752;174919156;689645118;0;13;175500000000065000020002000000000;2025-09-29;2025-09-29;2079-06-06
1644463732;174921008;689648030;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644463734;174921008;689648030;0;3;3327;2025-09-29;2025-09-29;2079-06-06
1644463736;174921008;689648030;0;6;17250000069;2025-09-29;2025-09-29;2079-06-06
1644463738;174921008;689648030;0;8;33:12:011001:1599;2025-09-29;2025-09-29;2079-06-06
1644463740;174921008;689648030;0;13;175500003700000000020068000000000;2025-09-29;2025-09-29;2079-06-06
1644463636;174920999;689648016;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644463638;174920999;689648016;0;3;3327;2025-09-29;2025-09-29;2079-06-06
1644463640;174920999;689648016;0;6;17250557000;2025-09-29;2025-09-29;2079-06-06
1644463642;174920999;689648016;0;8;33:12:010702:1446;2025-09-29;2025-09-29;2079-06-06
1644463644;174920999;689648016;0;13;175500000520000007230001000000000;2025-09-29;2025-09-29;2079-06-06
1644463646;174921000;689648017;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644463648;174921000;689648017;0;3;3327;2025-09-29;2025-09-29;2079-06-06
1644463650;174921000;689648017;0;6;17250557000;2025-09-29;2025-09-29;2079-06-06
1644463652;174921000;689648017;0;8;33:12:010702:1443;2025-09-29;2025-09-29;2079-06-06
1644463654;174921000;689648017;0;13;175500000520000007230002000000000;2025-09-29;2025-09-29;2079-06-06
1644463656;174921001;689648018;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644463658;174921001;689648018;0;3;3327;2025-09-29;2025-09-29;2079-06-06
1644463660;174921001;689648018;0;6;17250557000;2025-09-29;2025-09-29;2079-06-06
1644463662;174921001;689648018;0;8;33:12:010702:1445;2025-09-29;2025-09-29;2079-06-06
1644463664;174921001;689648018;0;13;175500000520000007230003000000000;2025-09-29;2025-09-29;2079-06-06
1644463666;174921002;689648019;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644463668;174921002;689648019;0;3;3327;2025-09-29;2025-09-29;2079-06-06
1644463670;174921002;689648019;0;6;17250557000;2025-09-29;2025-09-29;2079-06-06
1644463672;174921002;689648019;0;8;33:12:010702:1444;2025-09-29;2025-09-29;2079-06-06
1644463674;174921002;689648019;0;13;175500000520000007230004000000000;2025-09-29;2025-09-29;2079-06-06
1644463697;174921005;689648023;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644463699;174921005;689648023;0;3;3327;2025-09-29;2025-09-29;2079-06-06
1644463701;174921005;689648023;0;6;17250000000;2025-09-29;2025-09-29;2079-06-06
1644463703;174921005;689648023;0;8;33:12:011101:1529;2025-09-29;2025-09-29;2079-06-06
1644463705;174921005;689648023;0;13;175500000000088000020001000000000;2025-09-29;2025-09-29;2079-06-06
1644463857;174921021;689648044;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644463859;174921021;689648044;0;3;3327;2025-09-29;2025-09-29;2079-06-06
1644463861;174921021;689648044;0;6;17250000078;2025-09-29;2025-09-29;2079-06-06
1644463863;174921021;689648044;0;8;33:12:011001:1596;2025-09-29;2025-09-29;2079-06-06
1644463865;174921021;689648044;0;13;176504401010000000220024000000000;2025-09-29;2025-09-29;2079-06-06
1644463922;174921028;689648052;0;1;3300;2025-09-29;2025-09-29;2079-06-06
1644463924;174921028;689648052;0;3;3327;2025-09-29;2025-09-29;2079-06-06
1644463926;174921028;689648052;0;6;17250000000;2025-09-29;2025-09-29;2079-06-06
1644463928;174921028;689648052;0;8;33:12:010755:125;2025-09-29;2025-09-29;2079-06-06
1644463930;174921028;689648052;0;13;175500000000066000020002000000000;2025-09-29;2025-09-29;2079-06-06
1644464017;174921038;689648066;0;3;3326;2025-09-29;2025-09-29;2079-06-06
1644464019;174921038;689648066;0;6;17256000070;2025-09-29;2025-09-29;2079-06-06
1644464021;174921038;689648066;0;8;33:04:110301:116;2025-09-29;2025-09-29;2079-06-06
