OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
40643143;c10a0cfe-7994-4fef-ab85-370b4662a687;689642681;1;10;2019-07-09;2025-09-29
60653948;77a82100-809c-4409-8674-baf0824cf667;689692558;1;10;2019-07-09;2025-09-29
6554825;ce6ac286-ea69-4d4c-b858-0a75ff0278e3;689737399;1;10;2017-12-17;2025-09-30
60979799;0d70bfed-14cf-4f80-b5c4-f8ea60a44c83;689642732;1;10;2017-12-18;2025-09-29
49416730;d20152dd-4305-468c-ab12-29cf831a5b5f;689645104;1;10;2017-12-18;2025-09-29
43509792;c1577280-fa3d-498d-bee5-b3ef9bcde91c;689801158;1;10;2017-08-23;2025-10-01
34755974;33437d9e-4853-42ce-979d-2e7497b1a3d1;689736877;1;10;2016-11-02;2025-09-30
78722606;0bcf3b3a-200a-4c53-9986-5e31cef2406d;689687920;1;10;2017-12-18;2025-09-29
11848432;dbc15d4d-307e-420e-9ab4-72f15a8b52f2;689638273;1;10;2017-12-18;2025-09-29
11754230;b0a6b5e3-5bb0-4fe2-8ba7-ba8db23bf633;689642691;1;10;2019-07-09;2025-09-29
22393865;f4aae57e-0b8e-47fb-b663-56802ee6dcf8;689645103;1;10;2019-07-09;2025-09-29
19703404;d8ab3f6e-a610-44e8-a9cc-1ae6f8bc1fed;689642729;1;10;2012-03-27;2025-09-29
62405059;735efac0-fdc1-4f4f-8772-4e8f10e449ac;689692876;1;10;2019-07-09;2025-09-29
40951289;c67efe4e-2c06-4e5b-8fd7-0e265483920a;689744633;1;11;2017-05-10;2025-09-30
24777979;de71e31d-6111-4a5d-8196-813bd26e7704;689642723;1;10;2017-12-18;2025-09-29
11149794;be53cb73-1d08-4f80-9fe9-0cdfc279b995;689818827;1;10;2012-08-30;2025-10-01
62172882;aa0cb70b-fa6d-4a1f-ab4d-de9ca858168b;689754984;0;11;2017-05-04;2025-09-30
35889380;0ff24942-9fe6-47e7-ae67-8519d80a0685;689692792;1;10;2017-12-18;2025-09-29
39976378;14c9cdf7-3b70-4edd-a876-b381177d4633;689638262;1;10;2017-12-18;2025-09-29
18161718;15c5d78b-e66e-43f2-a7c6-42d30d75a5f4;689697361;1;10;2016-06-01;2025-09-29
31029363;8a157000-22b0-484e-9d21-091fe0c36da7;689695574;1;11;2017-06-27;2025-09-29
31027659;38d20795-457f-41db-9677-c288cf018301;689695568;1;11;2017-06-27;2025-09-29
31027082;09e8f814-d256-4d2a-9d4c-c3c0b53e5580;689694471;1;11;2017-06-27;2025-09-29
31027146;189de95b-583c-45a0-82fe-72738f6187be;689695510;1;11;2017-06-27;2025-09-29
65930520;5b0b539d-841c-4f24-952a-cfef97282f0a;689820042;1;10;2019-07-09;2025-10-01
31027645;31d81875-1f2f-438e-9add-b906469306be;689695403;1;11;2017-06-27;2025-09-29
67097306;72ffed06-564c-41a7-880d-6381e9e57af7;689824776;1;10;2019-07-09;2025-10-01
31027100;109b5796-3db3-4094-a8b7-d4e3e0fd4034;689694504;1;11;2017-06-27;2025-09-29
31027511;301cf573-667f-4f9e-8c5b-5e08e0379baa;689694515;1;11;2017-06-27;2025-09-29
31027788;445ab8b7-2d39-43f3-a708-8fd3b788685e;689695395;1;11;2017-06-27;2025-09-29
31029795;ec4b0605-bd30-40db-a369-32f106e9b307;689695344;1;11;2017-06-27;2025-09-29
31027682;3b91cbf1-6d43-485a-bed3-64ec8114a180;689695178;1;11;2017-06-27;2025-09-29
31027728;3c9c8a89-fae0-4c65-8648-e3bf15aa9c4b;689694782;1;11;2017-06-27;2025-09-29
31029422;c67cd6d1-e1e6-4897-b9a9-7aee92e74da9;689695515;1;11;2017-06-27;2025-09-29
31027653;352234fa-927d-4270-8df3-8ecdccfa793f;689695522;1;11;2017-06-27;2025-09-29
38868397;b6abee0c-e200-4036-bf30-2562f3d915d3;689744629;1;11;2017-05-25;2025-09-30
78734065;eaf8a1df-e8c8-4198-84c5-f3824b26a33e;689730436;1;10;2017-12-18;2025-09-30
61091465;26ee605f-7815-450d-b5b7-da848c8195c4;689648058;1;10;2019-07-09;2025-09-29
18137316;853b8aee-629c-4d21-8aad-6d6f7261e822;689697052;1;10;2019-07-09;2025-09-29
68196678;6745fc15-be32-4ddf-80d8-cd6a33379c93;689747457;1;11;2017-06-02;2025-09-30
68725632;cae4dd20-c6f1-4706-9027-4de241dcca32;689756114;1;11;2017-04-26;2025-09-30
71836632;005d90a7-5417-487e-8cc2-f60b0f2bfc5b;689803613;1;11;2018-09-21;2025-10-01
71837205;202fe65b-bd71-48ca-aaea-bca88fa45349;689803618;1;11;2018-09-21;2025-10-01
71844253;4d99464c-3d7f-42c9-bfdf-152f09a5bb0a;689803626;1;11;2018-09-21;2025-10-01
73264832;fbde536e-ff77-4431-a545-b0c378e541af;689737036;1;10;2019-07-09;2025-09-30
83256441;8d89ffe8-3381-4e67-8090-c25590df80fd;689638254;1;10;2017-12-18;2025-09-29
55634540;1a1fe920-5691-47f0-9bed-8dd42ab5a426;689822418;0;10;2019-07-09;2025-10-01
17109669;1b2ad25f-bde8-4aec-878d-aab57079655d;689642687;1;10;2017-12-18;2025-09-29
43307851;70c8347a-c3ec-452c-b032-b7a484b44980;689818773;1;10;2016-08-04;2025-10-01
56853627;2d2aaa1d-95dd-49ff-b962-32cf28e428b6;689801282;1;10;2017-12-18;2025-10-01
501982;c9c215d3-b360-404c-8003-074443940951;689759132;0;6;2017-11-16;2025-09-30
5001256;d273b19e-f993-4c64-852e-9f4f33447d5a;689818831;1;11;2017-03-23;2025-10-01
18137472;1cd12699-27a4-4e7b-9f7c-7cc8af2615a6;689697315;1;10;2019-07-09;2025-09-29
47527243;c6267391-add2-4377-b23a-add925e4e369;689744641;1;10;2017-12-18;2025-09-30
65927144;f41a5eab-22e8-40aa-a374-ad7fb6ec228e;689819946;1;10;2019-07-09;2025-10-01
19328184;44c5f1d5-f67b-4c5c-9f24-4ef4ae908d35;689642694;1;10;2017-12-18;2025-09-29
14532960;0e6997fc-fb99-4c5b-89ac-7470ac070b34;689642649;1;10;2017-12-18;2025-09-29
58624285;3c44c1a2-5917-4139-83bd-ee54930ff198;689642702;1;10;2019-07-09;2025-09-29
28282387;220ae86f-e2b8-48ee-8bc0-d67d92256886;689642747;1;10;2017-12-18;2025-09-29
66084979;24216257-1379-4cd4-b446-a603c8de51ca;689642726;1;10;2019-07-09;2025-09-29
174918053;3d0e6fc0-66c8-4ee6-99e1-b69089d0d987;689642975;1;9;2025-09-29;2025-09-29
174919151;7ad2e203-e529-4298-b208-9a74767cbb71;689645096;1;10;2025-09-29;2025-09-29
174919153;66c7cde3-c040-4d4e-b115-a76368b63bbe;689645109;1;10;2025-09-29;2025-09-29
174919156;0fd46663-958f-4c5b-9683-92e2e14f4e35;689645118;1;10;2025-09-29;2025-09-29
174920999;586dc00e-f657-43f2-8fd7-d022de0f971d;689648016;1;10;2025-09-29;2025-09-29
174921001;2f201d1e-0c9e-4182-b193-771dd4ed4b9b;689648018;1;10;2025-09-29;2025-09-29
174921003;f459b190-349d-4e78-a511-b8c497e920fe;689648021;1;9;2025-09-29;2025-09-29
174921006;5d0b1c6d-0882-43e1-a151-4886df289e8c;689648025;1;9;2025-09-29;2025-09-29
174921008;08bd888f-e38c-42aa-95b1-ecec861a8fd7;689648030;1;10;2025-09-29;2025-09-29
174921012;2053892e-ddef-48c6-b7fe-e822a57341d0;689648034;1;9;2025-09-29;2025-09-29
174921021;df1dedd4-6b90-4df5-b135-05fb512ee89a;689648044;1;10;2025-09-29;2025-09-29
174921028;c70d6638-9ae3-4b9a-9176-e240bc98c5f9;689648052;1;10;2025-09-29;2025-09-29
174921033;dbc5204c-dce5-4e4b-a6cc-3d38ba68cb85;689648061;1;9;2025-09-29;2025-09-29
174921039;d66922f2-85d8-4e6d-b991-6b2edcd5657f;689648067;1;9;2025-09-29;2025-09-29
174921168;530658b5-0121-4a7b-a96f-7c1c397f922e;689648200;1;9;2025-09-29;2025-09-29
174921822;22f1f2eb-400e-4c0a-8d89-26c40f0e95a5;689649008;1;10;2025-09-29;2025-09-29
174921857;c6db040a-7a41-45e8-8f47-1cdd3456d389;689649051;1;10;2025-09-29;2025-09-29
174922081;2851ba51-51da-4ff2-965d-48e518c6501d;689649528;1;10;2025-09-29;2025-09-29
174924409;07d0b530-6953-4f48-98ed-ae42b1a0e34e;689652947;1;9;2025-09-29;2025-09-29
174924511;a3a82e0b-b26b-474a-84f1-dc64b5223c4a;689653098;1;10;2025-09-29;2025-09-29
174924691;b4b8391b-172b-4e22-9740-09941f04c5e4;689653328;1;9;2025-09-29;2025-09-29
174926202;9c880662-cbf5-4098-bc04-048e468f9b65;689655932;1;10;2025-09-29;2025-09-29
174927903;87c069ef-1337-40de-92b9-ef94bdf0ca97;689663479;1;9;2025-09-29;2025-09-29
174927912;75c173f7-7982-42f5-a211-c2acc2e5d040;689663488;1;9;2025-09-29;2025-09-29
174927914;4d0e7fb7-16d5-45c7-bd3b-9f8c5305a10c;689663490;1;9;2025-09-29;2025-09-29
174927916;9399d28c-99bb-496d-8eaf-93c5a0d7cd93;689663492;1;9;2025-09-29;2025-09-29
174927918;dea93769-6baf-4fc7-b5bc-6262c7adca39;689663494;1;9;2025-09-29;2025-09-29
174927920;4334bcbd-cdd2-4cd1-bf77-235c4f62d85e;689663496;1;9;2025-09-29;2025-09-29
174927922;c911c2a7-bd37-4239-9a5e-0ff45e773f9a;689663498;1;9;2025-09-29;2025-09-29
174927924;75236568-75f0-4baa-a3e0-2636847008b3;689663500;1;9;2025-09-29;2025-09-29
174927933;1112c31b-33ce-46cf-94b2-dfca47975229;689663509;1;9;2025-09-29;2025-09-29
174927935;06c734df-7a2b-4faf-bc79-ffc1d8dfc228;689663511;1;9;2025-09-29;2025-09-29
