ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
69391085;166364983;f05a5b31-89a0-4675-a006-a760b7a68555;604809758;51;10;0;74172470;2025-09-29;2024-10-16;2025-09-29;0;0
74167668;174917877;ed5ddc4c-a125-4a61-a404-1a8c14e148d8;689642735;12;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168570;174919154;48efcbaa-4c0e-414d-a39a-9109d16bd707;689645115;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169464;174921003;f459b190-349d-4e78-a511-b8c497e920fe;689648021;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169480;174921023;3f30eaf0-6cdd-4183-bd91-3adcc57e61e3;689648046;1г;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169467;174921007;f38eeb38-30fc-4d17-9d8f-0263b0de239a;689648028;55а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169471;174921012;2053892e-ddef-48c6-b7fe-e822a57341d0;689648034;9/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169487;174921032;28f77fad-77b2-421c-833e-6c8cc4692a06;689648060;3а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169518;174921168;530658b5-0121-4a7b-a96f-7c1c397f922e;689648200;34г/11;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170985;174924513;b1198470-8192-4395-8ed7-c61376eb0299;689653104;27б/17;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171560;174926201;eb00d527-ec91-4db3-93b2-531493087ba7;689655930;218д/35;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171816;174927933;1112c31b-33ce-46cf-94b2-dfca47975229;689663509;133;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171818;174927935;06c734df-7a2b-4faf-bc79-ffc1d8dfc228;689663511;129;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171820;174927937;26fb521d-cb86-48f9-bf3b-5fe8fbab06b0;689663513;118;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171798;174927904;8f0d544a-0481-47f4-acc7-16df75144fae;689663480;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171801;174927913;f36058b3-cde5-46bb-9fff-2863d02351a0;689663489;95;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171803;174927915;880bfb15-16da-498f-90a1-cea4d9476098;689663491;81;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171805;174927917;80447a34-86a3-46d8-b721-b9f82f077288;689663493;73;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171807;174927919;0aa612d3-ebba-48d0-b5a4-0dcaaee2023f;689663495;49;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171809;174927921;37057653-7c4b-4fe8-8c0f-afbdea702bc6;689663497;90;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171811;174927923;d2898d14-3ae9-422d-a40a-6f9bf091eeaf;689663499;99;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171837;174927961;d9b6c850-18ad-496b-bab1-27e35361e9db;689663540;35а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171839;174927963;2fed6a10-dbf8-4fe7-ac8a-f3c0b8aea927;689663542;130;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171841;174927965;10a87437-ec37-4012-8375-a8ba4614eca4;689663544;129а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171843;174927967;7795c4eb-8e24-48e2-b63b-f0c16db97ffd;689663546;43;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171845;174927969;99e95a75-f309-4e63-852f-8ec6d903e746;689663548;66;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171847;174927971;76738e3e-134e-4650-9c2e-f3d81cba0d03;689663550;3А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171849;174927973;9ae2d1e0-080c-4616-88cc-b568ab025e22;689663552;92а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171851;174927975;657d02e4-dcd9-49d3-b778-7df5df2fc216;689663554;85;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171853;174927977;8f49d0ff-a69c-444b-8cba-1727bee175b4;689663556;142;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171855;174927979;70e9b297-dd6f-4799-a981-c9f4a376c53a;689663558;151;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171857;174927981;68337e77-05c9-4ee2-a2da-207652565aed;689663560;144;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
