ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
27584132;22879102;526114;35611847;34;0;0;2025-09-30;2019-10-01;2079-06-06;0;517573.522564.523375.526114.22879102
29727081;55764472;55763048;83415822;34;0;0;2025-10-01;2018-08-08;2079-06-06;0;517573.527893.528842.526669.55763048.55764472
29728260;77213417;77211284;114834130;34;0;0;2025-09-30;2018-05-04;2079-06-06;0;517573.527893.528842.527945.77211284.77213417
29729819;4735773;530598;8794850;34;0;0;2025-10-01;1900-01-01;2079-06-06;0;517573.527893.528842.530598.4735773
29731859;26662137;26660656;41162267;34;0;0;2025-09-30;2018-06-05;2079-06-06;0;517573.527893.528842.531796.26660656.26662137
29731818;26653877;531796;41150008;34;0;0;2025-10-01;1900-01-01;2079-06-06;0;517573.527893.528842.531796.26653877
31516785;23441364;533838;36439241;34;0;0;2025-09-30;1900-01-01;2079-06-06;0;517573.531542.532179.533838.23441364
34410463;7637481;542180;13057243;34;0;0;2025-09-30;2015-11-11;2079-06-06;0;517573.538120.541049.542180.7637481
34410102;59170129;535856;88397900;34;0;0;2025-09-30;1900-01-01;2079-06-06;0;517573.538120.541049.535856.59170129
34410114;59170778;535856;88398871;34;0;0;2025-09-30;1900-01-01;2079-06-06;0;517573.538120.541049.535856.59170778
35308560;63800556;542457;95197032;34;0;0;2025-09-30;1900-01-01;2079-06-06;0;517573.541261.543369.542457.63800556
35309268;63501308;542592;94763967;34;0;0;2025-09-30;1900-01-01;2079-06-06;0;517573.541261.543369.542592.63501308
35313595;34035548;545173;51837928;34;0;0;2025-09-30;1990-01-01;2079-06-06;0;517573.541261.543369.545173.34035548
244145380;172187278;27278731;646031373;34;0;247085326;2025-09-30;2025-05-14;2025-09-30;0;517573.517674.517637.27278731.172187278
246976783;174865593;537801;689531437;34;0;247084698;2025-09-30;2025-09-25;2025-09-30;0;517573.538120.538179.536213.537801.174865593
247033474;174920621;537254;689647323;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.534432.536247.537254.174920621
247033478;174920625;537254;689647327;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.534432.536247.537254.174920625
247033481;174920628;537399;689647330;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.534432.536247.537399.174920628
247033499;174920646;527947;689647349;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.525657.525701.527947.174920646
247033482;174920629;537399;689647331;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.534432.536247.537399.174920629
247033484;174920631;532818;689647334;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.534432.536247.532818.174920631
247033486;174920633;532818;689647336;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.534432.536247.532818.174920633
247033488;174920635;532818;689647338;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.534432.536247.532818.174920635
247033501;174920648;527947;689647351;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.525657.525701.527947.174920648
247033503;174920650;527947;689647353;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.525657.525701.527947.174920650
35317366;74988223;546566;111582130;34;0;0;2025-09-29;1900-01-01;2079-06-06;0;517573.541261.543369.546566.74988223
35317569;74997239;546566;111595550;34;0;0;2025-09-29;1900-01-01;2079-06-06;0;517573.541261.543369.546566.74997239
35316903;29063285;545929;44640171;34;0;0;2025-09-29;1900-01-01;2079-06-06;0;517573.541261.543369.545929.29063285
35316993;29088934;545929;44676519;34;0;0;2025-09-29;1900-01-01;2079-06-06;0;517573.541261.543369.545929.29088934
35317418;74986875;546566;111580158;34;0;0;2025-09-29;1900-01-01;2079-06-06;0;517573.541261.543369.546566.74986875
35302914;80457977;539092;119576918;34;0;0;2025-09-29;1900-01-01;2079-06-06;0;517573.541261.543369.539092.80457977
35302786;80436632;539092;119544175;34;0;0;2025-09-29;1900-01-01;2079-06-06;0;517573.541261.543369.539092.80436632
35316759;29006642;545929;44560559;34;0;0;2025-09-29;1900-01-01;2079-06-06;0;517573.541261.543369.545929.29006642
35316716;29013064;545929;44569685;34;0;0;2025-09-29;1900-01-01;2079-06-06;0;517573.541261.543369.545929.29013064
247027232;174914538;544032;689635640;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174914538
247027233;174914539;544032;689635643;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174914539
247027235;174914541;544032;689635651;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174914541
247027239;174914545;544032;689635665;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174914545
247027236;174914542;544032;689635654;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174914542
247027241;174914547;544032;689635668;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174914547
247027245;174914551;544032;689635674;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174914551
247028495;174915799;544032;689637980;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174915799
247028497;174915801;544032;689637991;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174915801
247028502;174915806;544032;689638011;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174915806
247028496;174915800;544032;689637982;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174915800
247028499;174915803;544032;689638000;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174915803
247028504;174915808;544032;689638014;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174915808
247028506;174915810;544032;689638017;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174915810
247028511;174915815;544032;689638023;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174915815
247028515;174915819;545514;689638029;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.541261.544698.545514.174915819
247028519;174915823;545514;689638033;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.541261.544698.545514.174915823
247028510;174915814;544032;689638022;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.539802.540313.544032.174915814
247028514;174915818;545514;689638028;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;517573.541261.544698.545514.174915818
