ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1484949757;75450553;575184450;689638215;8;34:08:090102:1480;2025-09-29;2023-11-27;2025-09-29
1485952400;23492070;575693123;689750315;8;34:10:040003:782;2025-09-30;2023-12-05;2025-09-30
1316996943;40830843;453400087;689671198;8;34:12:010501:2637;2025-09-29;2022-10-12;2025-09-29
1317218182;40831415;453621326;689671205;8;34:12:010501:2656;2025-09-29;2022-10-12;2025-09-29
1421120240;54365228;528269976;689688486;8;34:12:010502:2823;2025-09-29;2023-09-13;2025-09-29
1610935150;172187278;646031373;689758577;15;1;2025-09-30;2025-05-14;2025-09-30
1644426241;75544614;689638216;0;8;34:08:090102:2040;2025-09-29;2025-09-29;2079-06-06
1490071035;15498477;578147461;689671144;8;34:19:100101:127;2025-09-29;2023-12-26;2025-09-29
1421227077;40831021;528314590;689671191;8;34:12:010501:2115;2025-09-29;2023-09-14;2025-09-29
1421227093;40834580;528314598;689671192;8;34:12:010501:2112;2025-09-29;2023-09-14;2025-09-29
1317240815;40829363;453643958;689671193;8;34:12:010501:2113;2025-09-29;2022-10-12;2025-09-29
1317233738;40834836;453636882;689671194;8;34:12:010501:2689;2025-09-29;2022-10-12;2025-09-29
1490023314;40829037;578099775;689671195;8;34:12:010501:2419;2025-09-29;2023-12-26;2025-09-29
1317240535;40830464;453643679;689671196;8;34:12:010501:2660;2025-09-29;2022-10-12;2025-09-29
1644535090;40830843;689671198;0;8;34:12:010501:2139;2025-09-29;2025-09-29;2079-06-06
1644535092;40824440;689671200;0;8;34:12:010501:2130;2025-09-29;2025-09-29;2079-06-06
1644535102;40831396;689671203;0;8;34:12:010501:2131;2025-09-29;2025-09-29;2079-06-06
1644535103;40830856;689671204;0;8;34:12:010501:2132;2025-09-29;2025-09-29;2079-06-06
1317242068;40857626;453645211;689671206;8;34:12:010501:2636;2025-09-29;2022-10-12;2025-09-29
1317417966;40857371;453747174;689671209;8;34:12:010501:2270;2025-09-29;2022-10-12;2025-09-29
1317213985;40851921;453617129;689671210;8;34:12:010501:2203;2025-09-29;2022-10-12;2025-09-29
1317221047;40851968;453624191;689671213;8;34:12:010501:2679;2025-09-29;2022-10-12;2025-09-29
1317310952;40852113;453714097;689671214;8;34:12:010501:2662;2025-09-29;2022-10-12;2025-09-29
1421227103;40852122;528314606;689671216;8;34:12:010501:2676;2025-09-29;2023-09-14;2025-09-29
1317244559;40852518;453647703;689671229;8;34:12:010501:2647;2025-09-29;2022-10-12;2025-09-29
1317212117;40852092;453615262;689671231;8;34:12:010501:2206;2025-09-29;2022-10-12;2025-09-29
1317215065;40852295;453618209;689671299;8;34:12:010501:2702;2025-09-29;2022-10-12;2025-09-29
1317234142;40852316;453637286;689671303;8;34:12:010501:2700;2025-09-29;2022-10-12;2025-09-29
1421234265;40852491;528317373;689671305;8;34:12:010501:2215;2025-09-29;2023-09-14;2025-09-29
1421234268;40859651;528317376;689671307;8;34:12:010501:2296;2025-09-29;2023-09-14;2025-09-29
1316996562;40859542;453399704;689671309;8;34:12:010501:2307;2025-09-29;2022-10-12;2025-09-29
1421234269;40859336;528317377;689671311;8;34:12:010501:2298;2025-09-29;2023-09-14;2025-09-29
