ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
410342941;73388230;109257638;689639210;8;34:27:160103:790;2025-09-29;2017-11-07;2025-09-29
235741312;40845219;61798244;689709026;8;34:12:010501:595;2025-09-30;2018-04-02;2025-09-30
1316729641;5574938;453132785;689803729;8;34:18:140208:127;2025-10-01;2022-10-12;2025-10-01
1316840017;72924696;453243160;689741858;8;34:19:100218:215;2025-09-30;2022-10-12;2025-09-30
1317212645;57093693;453615789;689638218;8;34:08:090105:728;2025-09-29;2022-10-12;2025-09-29
1317460547;1841655;453789753;689719090;8;34:06:250003:1073;2025-09-30;2022-10-12;2025-09-30
1317492956;46711405;453822162;689707994;8;34:26:110401:1971;2025-09-30;2022-10-12;2025-09-30
1317492609;46829445;453821815;689707995;8;34:26:110401:1539;2025-09-30;2022-10-12;2025-09-30
1462211854;63637962;565931770;689750312;8;34:10:040003:998;2025-09-30;2023-10-10;2025-09-30
1462214100;77025594;565933973;689803549;8;34:18:140202:152;2025-10-01;2023-10-10;2025-10-01
1462251264;68000933;565970931;689639173;8;34:27:160105:2062;2025-09-29;2023-10-10;2025-09-29
1503551827;55904502;590333400;689707981;8;34:26:110401:1536;2025-09-30;2024-02-13;2025-09-30
1503559437;20501300;590340960;689707986;8;34:26:110401:2508;2025-09-30;2024-02-13;2025-09-30
1505143964;74953092;591115733;689804923;8;34:00:000000:13003;2025-10-01;2024-02-29;2025-10-01
1613450009;1508932;646743060;689733625;8;34:04:020003:236;2025-09-30;2025-05-28;2025-09-30
1613458029;14504091;646745368;689688087;8;34:04:020003:30;2025-09-29;2025-05-28;2025-09-29
1613885841;71588308;646989485;689709021;8;34:04:020003:40;2025-09-30;2025-05-30;2025-09-30
1613885842;71593637;646989486;689709019;8;34:04:020003:34;2025-09-30;2025-05-30;2025-09-30
1613901464;29753465;646996696;689687116;8;34:04:020003:10;2025-09-29;2025-05-30;2025-09-29
1613901272;47929719;646996504;689687721;8;34:04:020003:222;2025-09-29;2025-05-30;2025-09-29
1613901116;13245212;646996348;689709033;8;34:04:020003:230;2025-09-30;2025-05-30;2025-09-30
1613901021;13243453;646996261;689710910;8;34:04:020003:45;2025-09-30;2025-05-30;2025-09-30
1613901401;8059523;646996634;689710922;8;34:04:020004:33;2025-09-30;2025-05-30;2025-09-30
1613901252;48077315;646996485;689733637;8;34:04:020003:56;2025-09-30;2025-05-30;2025-09-30
1613901342;48077600;646996574;689687693;8;34:04:020003:221;2025-09-29;2025-05-30;2025-09-29
1613901210;14294190;646996437;689687970;8;34:04:020003:206;2025-09-29;2025-05-30;2025-09-29
1613901117;13251839;646996356;689709030;8;34:04:020003:226;2025-09-30;2025-05-30;2025-09-30
1613901052;13245763;646996284;689710909;8;34:04:020003:37;2025-09-30;2025-05-30;2025-09-30
1613901399;1509267;646996631;689733623;8;34:04:020003:48;2025-09-30;2025-05-30;2025-09-30
1615227021;25981233;647363514;689709013;8;34:04:020003:79;2025-09-30;2025-06-06;2025-09-30
