ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27412567;Об актуализации адресных сведений в ГАР;2025-09-26;515;21;1;2025-09-29;АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ Г. НОВОАННИНСКИЙ НОВОАННИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОЛГОГРАДСКОЙ ОБЛАСТИ;2025-09-29
27413705;о присвоении объекту адресации адреса;2025-09-26;57242;23;2;2025-09-29;"Муниципальное казенное учреждение ""Городской информационный центр""";2025-09-29
27413684;Об актуализации адресных сведений в ГАР;2025-09-22;53;21;1;2025-09-29;АДМИНИСТРАЦИЯ ПРОФСОЮЗНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ДАНИЛОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОЛГОГРАДСКОЙ ОБЛАСТИ;2025-09-29
27413804;О присвоении адреса объекту адресации;2025-09-26;76;21;2;2025-09-29;АДМИНИСТРАЦИЯ КРАСНООКТЯБРЬСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27414340;О присвоении адреса объекту адресации;2025-09-24;54;21;2;2025-09-29;АДМИНИСТРАЦИЯ ДУБРОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КИКВИДЗЕНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОЛГОГРАДСКОЙ ОБЛАСТИ;2025-09-29
27414449;Об актуализации адресных сведений в ГАР;2025-09-22;53;21;1;2025-09-29;АДМИНИСТРАЦИЯ ПРОФСОЮЗНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ДАНИЛОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОЛГОГРАДСКОЙ ОБЛАСТИ;2025-09-29
27415089;Об актуализации адресных сведений в ГАР;2025-09-23;229;21;1;2025-09-29;АДМИНИСТРАЦИЯ НИЖНЕЧИРСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ СУРОВИКИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОЛГОГРАДСКОЙ ОБЛАСТИ;2025-09-29
27415183;О признании адреса объектов недвижимости присвоенными, внесении ранее не размещенных адресов в ФИАС и об аннулировании адресов объектов адресации;2025-09-29;54;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЛЫСОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ СУРОВИКИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОЛГОГРАДСКОЙ ОБЛАСТИ;2025-09-29
27415233;Об изменении адресов объектов адресации;2025-09-29;1-1/104;21;2;2025-09-29;АДМИНИСТРАЦИЯ ОРЛОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ГОРОДИЩЕНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА  ВОЛГОГРАДСКОЙ ОБЛАСТИ;2025-09-29
27415299;О присвоении адресов объектам адресации;2025-09-29;H-28951519;21;3;2025-09-29;АДМИНИСТРАЦИЯ ВЕРХНЕПОГРОМЕНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
