ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
48717654;81452645;5084db2d-7366-445e-9b51-4d05c3012a0e;121031956;1;2;10;0;111795943;2025-09-29;1900-01-01;2025-09-29;0;0
111795942;174917970;5f0d076e-875e-4402-a67b-a48eedc66ab5;689642873;1;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795944;81453225;aa5c1a8c-945a-494c-8c2d-17bd93d0895e;689642877;2;2;30;48718000;0;2025-09-29;2025-09-29;2079-06-06;1;0
111804716;174943709;49069446-4d56-4e5d-8b5f-eb1ee546cdac;689697023;3;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111806605;174948960;94595b61-e245-476d-aeec-c16677d6242e;689708115;4Н;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111806782;174949598;f1723eb4-26e5-4c70-8672-695a2fec95e2;689709397;3Н;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111810753;174967448;dc1f732f-1601-4db3-b9a8-3679697b016b;689752064;1;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111814517;174979698;8d6beb65-d126-42ca-858b-19438a03a793;689795530;15Н;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814519;174979700;61d5e817-0526-49d1-9f38-201ad0ee787c;689795532;1Н;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818049;1573857;744cc834-e999-4e34-a194-4d5dc92a48d0;689816084;1;2;55;59439;129190164;2025-10-01;2025-10-01;2079-06-06;1;0
111818646;174991328;07f5cf99-3192-4e5f-b352-277160249e1c;689818835;3;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818770;1573843;340b49cb-1d87-48af-8909-32d5acf9af7d;689819731;2;2;55;59428;129191091;2025-10-01;2025-10-01;2079-06-06;1;0
