ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
54415873;62486799;2ad9d30b-6894-49cb-8bd0-92f9db86b78e;93285212;37;2;20;37552630;129181521;2025-09-30;2014-01-10;2025-09-30;0;0
54463470;72108163;2b86197f-6d08-44e3-a4d8-26dddf801f89;107376237;56;2;20;43493323;129189311;2025-10-01;2019-11-22;2025-10-01;0;0
54492062;35367523;2becc465-312d-431e-ad6d-8b96f540c989;53751618;4;2;20;21017827;129186467;2025-10-01;2014-01-10;2025-10-01;0;0
54645497;77867031;2e16ebc8-740b-40c1-aa3f-929289404da7;115768305;38а;2;20;47039417;129166103;2025-09-29;2014-03-18;2025-09-29;0;0
54817592;81799139;3084f5ad-bf54-4717-94e4-1b95622bb7ae;121548775;59;2;20;49509547;129167627;2025-09-29;2015-02-03;2025-09-29;0;0
55058626;10085495;33edcde2-f011-49f6-99f2-c338d581e65c;16632135;58;2;20;5267758;129186436;2025-10-01;2015-10-02;2025-10-01;0;0
55113071;48071479;34afc9c9-ecf7-4ef0-9e56-b8a2b45fe8e2;72252133;21А;2;20;28721313;129181166;2025-09-30;2015-10-01;2025-09-30;0;0
55203011;31475134;35f3cc2a-e1ed-4d30-8c69-a46b02a4a94d;48131292;74;2;20;18694193;129176844;2025-09-30;2014-01-10;2025-09-30;0;0
55212926;68719892;361c2bc0-b897-4ab3-be4b-67b56e0b855e;102438936;3;2;20;41434221;129189436;2025-10-01;2014-01-10;2025-10-01;0;0
55246499;25559424;369056b6-e38c-4036-9687-70ce62ec27c2;39535212;39;2;20;15137158;129165842;2025-09-29;2015-10-01;2025-09-29;0;0
55284331;16166206;37180b91-5929-4ee2-869a-bbfe9ba624d8;25677023;3;2;20;9194617;129176817;2025-09-30;2019-11-21;2025-09-30;0;0
55299181;81825942;374ff5ff-a60b-498e-b1c9-c7b3706782b2;121590392;5;2;20;49526576;129167633;2025-09-29;2015-02-03;2025-09-29;0;0
55322175;2643487;37a20bf6-8b78-43b8-9c75-5c690a2d64fe;5782690;65;2;20;706322;129179353;2025-09-30;2014-01-10;2025-09-30;0;0
55338461;55136908;37dbbe40-62c4-426e-9530-029b781484fe;82468449;91;2;20;32931655;129188720;2025-10-01;2019-11-21;2025-10-01;0;0
64191451;52209785;b4d3e5c5-d070-4760-8697-43f44a9468ba;78233315;29;2;20;31201338;129176830;2025-09-30;2019-11-21;2025-09-30;0;0
55423410;4611168;391285e9-1299-4b87-a26c-08b77778223c;8608152;62;2;20;1873980;129172855;2025-09-29;2014-07-31;2025-09-29;0;0
56213042;73594655;443a2643-8995-4add-9a4b-191f7f6661f3;109562403;44;2;20;44442353;129170516;2025-09-29;2014-04-02;2025-09-29;0;0
56242139;73645636;44a355e3-b836-4afb-97b5-c3442feaff92;109642112;79;2;20;44477886;129170523;2025-09-29;2014-04-02;2025-09-29;0;0
56257045;16120090;44d76c71-cad1-431b-8930-1db31ffc198a;25606655;1;2;20;9163021;129176816;2025-09-30;2019-11-21;2025-09-30;0;0
56305682;43108407;4589ce86-cd7b-4bfb-8b88-aa297e504cc5;65077588;74;2;20;25750459;129176789;2025-09-30;2019-11-21;2025-09-30;0;0
56362497;13993314;46561b3b-693c-46db-a270-b2b5a9eeba2a;22411560;70;2;20;7747215;129172113;2025-09-29;2015-10-02;2025-09-29;0;0
56377797;20542422;468e9f18-b23e-4361-9230-75e3b448653a;32154887;47;2;20;12012921;129190643;2025-10-01;2014-10-21;2025-10-01;0;0
56404271;52185955;46ecf8ed-8d59-4847-b275-19d82f558233;78197045;238;2;20;31184782;129178220;2025-09-30;2014-01-10;2025-09-30;0;0
56625277;76541432;4a0f0450-a15a-4b7a-90ce-d01c3d97a1be;113858441;76;2;20;46250643;129167617;2025-09-29;2015-02-03;2025-09-29;0;0
56677178;4810697;4ac76f08-8b30-4e07-9883-30cb6f8dfcd4;8904985;13;2;20;2000634;129179087;2025-09-30;2014-04-02;2025-09-30;0;0
56734062;62483511;4b94ba04-5d7c-43b1-93a8-470d69fa53dc;93280507;42;2;20;37550393;129181523;2025-09-30;2014-01-10;2025-09-30;0;0
56825128;5735774;4cdc3b31-8aef-4bbe-beec-d669db9f6257;10281148;50;2;20;2592995;129179934;2025-09-30;2014-01-10;2025-09-30;0;0
56853925;46676950;4d44c520-98b4-4719-a32f-d0c532a80b20;70250904;69;7;20;27911892;129169465;2025-09-29;2019-11-21;2025-09-29;0;0
56870455;83956970;4d7ee3ba-4fa9-4f1c-a492-ef956c3d3ea9;124723976;24;2;20;50841674;129179325;2025-09-30;2014-01-10;2025-09-30;0;0
56951371;14001108;4ea6f26e-440b-4ccf-ab6e-cb87e8ea4746;22423252;5;2;20;7751720;129165362;2025-09-29;2015-10-02;2025-09-29;0;0
56977367;5721895;4f04c661-aeda-4965-94f9-8b8592d84460;10260594;30;2;20;2584694;129179931;2025-09-30;2014-01-10;2025-09-30;0;0
57044521;51064262;4ff870f4-be3d-4a87-adfb-02da8087d426;76571586;78;2;20;30501050;129188453;2025-10-01;2014-01-10;2025-10-01;0;0
57106479;5725215;50d5a6c9-cb4f-4279-8014-a2467e95b7b3;10265436;97;2;20;2586617;129180344;2025-09-30;2014-01-10;2025-09-30;0;0
57256529;19273653;52f1fef5-286b-4ee4-b6bf-1bf4a85bf308;30249582;44;2;20;11148127;129178795;2025-09-30;2014-04-02;2025-09-30;0;0
57365724;13982407;547eaf3c-0b74-4fa0-8f41-880b43f7427a;22394663;106;2;20;7738430;129172986;2025-09-29;2015-10-02;2025-09-29;0;0
57519513;46438449;56abeb79-50c7-49d6-809d-3737e9bb561c;69898393;30;2;20;27754284;129188458;2025-10-01;2014-01-10;2025-10-01;0;0
57597117;22597446;57c5bd83-a711-46b3-bf0e-8a3ac3e9e53a;35208597;22;2;20;13334770;129180748;2025-09-30;2014-01-10;2025-09-30;0;0
57670685;57494144;58ccbea1-9ee0-4c77-a326-01ea214003a8;85954607;67;2;20;34406132;129165841;2025-09-29;2015-10-01;2025-09-29;0;0
57727528;46341160;59997577-ba14-436d-a15d-3f1c3f281919;69758968;33;2;20;27691716;129190694;2025-10-01;2014-01-10;2025-10-01;0;0
57775294;49266082;5a41f5c8-2c46-4b5a-a3b9-195ac2029fa6;74006200;4А;2;20;29465382;129189935;2025-10-01;2015-02-03;2025-10-01;0;0
57812076;46808023;5acb2159-e779-4733-9369-7a46d48c5a73;70442326;21;7;20;27991124;129185982;2025-10-01;2019-11-21;2025-10-01;0;0
58027390;62384640;5dd544cf-5983-41db-82ef-d2f49933a65b;93141279;31;2;20;37490327;129172139;2025-09-29;2014-01-10;2025-09-29;0;0
58195290;14144629;6030c7f8-d259-4a2e-a47d-5499475c82ee;22641580;77;2;20;7847661;129172945;2025-09-29;2015-10-02;2025-09-29;0;0
58203615;3674216;604f5422-a9c6-49c1-bef4-f2eb2242fb18;7261572;5;2;20;1323665;129170542;2025-09-29;2014-01-10;2025-09-29;0;0
58242594;52183452;60dd263f-d50a-4fc7-b88d-16006a3d5a2e;78192916;144;2;20;31182949;129178219;2025-09-30;2014-01-10;2025-09-30;0;0
58270890;62644794;61434492-30e6-4999-b9cb-09b003bc6513;93517140;11;2;20;37655761;129176810;2025-09-30;2019-11-21;2025-09-30;0;0
58335739;46809692;622d48c7-b76a-49ee-a21e-80728998df65;70444253;58;7;20;27992498;129169476;2025-09-29;2019-11-21;2025-09-29;0;0
58588170;46748773;65bc100f-a10c-47c3-b599-a2752a3985e3;70355237;88;7;20;27956571;129169554;2025-09-29;2019-11-21;2025-09-29;0;0
58602615;13700671;65ed02be-e8ac-4364-9c36-9c26a79be4a0;21967288;11;2;20;7546607;129170459;2025-09-29;2015-10-18;2025-09-29;0;0
58688571;34018734;6724441d-a809-45bc-81a6-eb8839935a8c;51811497;3;2;20;20223117;129176833;2025-09-30;2019-11-21;2025-09-30;0;0
58814810;22583653;68ed88ea-d0f7-491f-afe7-108d1b3beefe;35189148;16;2;20;13327507;129180742;2025-09-30;2014-01-10;2025-09-30;0;0
58876731;76571293;69d09d21-6d71-435f-b8cd-0e3221d8009c;113903639;114;2;20;46271098;129167623;2025-09-29;2015-02-03;2025-09-29;0;0
58884625;52204273;69eb2cf3-c564-46bc-804e-2a6348a1c5a2;78224727;248;2;20;31197442;129178224;2025-09-30;2014-01-10;2025-09-30;0;0
58918376;30689586;6a67ee7d-7a92-4d02-8778-7ee3b12ef697;46985693;40;2;20;18211702;129181160;2025-09-30;2014-07-31;2025-09-30;0;0
59067899;5249689;6c851b7b-04f3-4573-aaa3-90ed1238ba02;9562520;33Б;2;20;2276477;129176569;2025-09-30;2014-01-10;2025-09-30;0;0
59113025;59564380;6d253bbd-108b-4bba-8ead-2c195c05e074;88963667;74;2;20;35665833;129181594;2025-09-30;2014-07-31;2025-09-30;0;0
59164456;19266365;6de21743-c1de-4061-91bd-004102a4a4c4;30234283;17;2;20;11142687;129178784;2025-09-30;2014-04-02;2025-09-30;0;0
59248132;41285456;6f0f780c-5cb5-437b-acde-2d2752bf72db;62440068;14;2;20;24672217;129176807;2025-09-30;2014-01-10;2025-09-30;0;0
59262632;4811944;6f42b477-58a7-491d-82e2-a04c6a00b418;8907138;11;2;20;2001538;129179079;2025-09-30;2014-04-02;2025-09-30;0;0
59451081;38062349;71ed3d8a-7a9d-419a-bd2d-618fca94b0dc;57716446;49Н;2;20;22717509;129180719;2025-09-30;2015-10-01;2025-09-30;0;0
59464480;76590397;721be5af-7e66-45fd-b90c-315f86ba19ca;113933081;56;2;20;46284470;129167625;2025-09-29;2015-02-03;2025-09-29;0;0
59632752;2099066;747c2b04-1ea5-4c87-b9ed-941adcfe7101;4997377;42;2;20;397525;129167588;2025-09-29;2015-02-03;2025-09-29;0;0
59721159;52220301;75bb56fb-cc6c-4bac-ad3e-ab9512639afd;78248564;13;2;20;31207765;129176827;2025-09-30;2019-11-21;2025-09-30;0;0
59784739;52162565;76a0732d-014a-4b5e-b0c4-951b178cd79e;78161290;246;2;20;31168365;129178214;2025-09-30;2014-01-10;2025-09-30;0;0
59845079;22497516;777871a1-efad-403f-8887-c0849853e604;35064421;24;2;20;13273775;129180732;2025-09-30;2014-01-10;2025-09-30;0;0
59925725;72113593;789c2dc1-3f5f-4f01-8902-32725536edaf;107384237;83;2;20;43497330;129189318;2025-10-01;2019-11-22;2025-10-01;0;0
60011559;34266020;79d42359-2b17-41a0-b5f4-24013dd58057;52188458;11;2;20;20391417;129166569;2025-09-29;2014-01-10;2025-09-29;0;0
60056125;14020500;7a737a7c-e113-43c4-aefa-78bf7def02e2;22453878;30;2;20;7765042;129165815;2025-09-29;2015-10-02;2025-09-29;0;0
60122231;72060644;7b61366d-6447-4fc7-8e6b-fbeafdf0e075;107306347;89;2;20;43464315;129189314;2025-10-01;2019-11-22;2025-10-01;0;0
60249197;72057954;7d2c11a3-eb71-4d62-8cc2-f4a94c53496b;107303006;97;2;20;43463105;129189313;2025-10-01;2019-11-22;2025-10-01;0;0
60359521;23988615;7ebd0798-0a5a-4b4c-8e50-b8d10539caab;37222609;2Б;2;20;14154705;129186965;2025-10-01;2015-02-03;2025-10-01;0;0
60374089;39678823;7ef1ced2-724c-43a2-ba98-16248e25cec9;60102435;13;2;20;23731431;129189726;2025-10-01;2015-02-03;2025-10-01;0;0
60423066;25126797;7fa19859-860e-478d-82cb-dbf84f0bae3e;38901784;1;2;20;14868180;129187331;2025-10-01;2014-01-10;2025-10-01;0;0
60524675;16429422;8113025b-d8c9-4190-827f-f6b5db244cad;26058314;5;2;20;9349503;129176838;2025-09-30;2014-01-10;2025-09-30;0;0
60537572;21866635;813f17ad-5052-46a3-a8aa-a02cadc18ce2;34129407;29;2;20;12871135;129169572;2025-09-29;2014-01-10;2025-09-29;0;0
60615912;50921561;825cf7a9-216f-4174-965d-e5b8a9d72e3c;76374532;47;2;20;30428588;129188186;2025-10-01;2014-01-10;2025-10-01;0;0
60644789;72143691;82c95b6b-5c97-41ac-b896-ce43eff633e4;107428000;69;2;20;43517865;129189322;2025-10-01;2019-11-22;2025-10-01;0;0
60724021;6514836;83e32930-64c8-48e5-b17f-81acf5a8d321;11411012;27;2;20;3069524;129176774;2025-09-30;2014-01-10;2025-09-30;0;0
60780133;24728868;84ad56fd-daf9-41c5-9ba6-133a51cd5146;38316948;19/1;2;20;14626812;129189756;2025-10-01;2014-03-18;2025-10-01;0;0
60825062;43123398;854fbe53-073b-47e9-9c3a-e0e77619e4f9;65101148;101;2;20;25760861;129188719;2025-10-01;2019-11-21;2025-10-01;0;0
60973345;21263361;876a0491-7a5f-4a2a-8483-eae70dc00a6c;33224607;65;2;20;12471051;129166612;2025-09-29;2014-01-10;2025-09-29;0;0
61067042;74312639;88b96ea4-60b5-4149-8f85-1c9b081105b3;110600889;9;2;20;44864809;129168542;2025-09-29;2017-08-26;2025-09-29;0;0
61104998;17479646;8941ba66-38f4-4315-b5c1-22eebb91b8fb;27606176;27;2;20;10020815;129176322;2025-09-30;2014-01-10;2025-09-30;0;0
124176402;158263660;22b64bfd-bf7a-4e27-8ae9-34bcdab02dfb;496324609;13;2;10;0;129176767;2025-09-30;2023-03-10;2025-09-30;0;0
61314733;13993199;8c378dfa-f5ae-4a0a-a254-ac0afca49491;22411395;41;2;20;7747113;129170529;2025-09-29;2015-10-02;2025-09-29;0;0
61399865;46699358;8d6d9d44-4bae-4c1a-8b99-0a59f5e7a0f2;70283664;77;7;20;27926432;129169517;2025-09-29;2019-11-21;2025-09-29;0;0
61412914;43099671;8d9d6a6b-2890-4910-85cf-2ed55ce9112e;65065915;100;2;20;25745575;129176792;2025-09-30;2019-11-21;2025-09-30;0;0
61470029;62657990;8e68895f-ab1e-44b1-9600-aad5c83a3499;93536892;3;2;20;37664471;129188715;2025-10-01;2019-11-21;2025-10-01;0;0
61544222;30632414;8f74dc9d-b4e7-4b05-bf8e-d0eb3352fb1a;46900256;88;2;20;18174582;129181157;2025-09-30;2014-07-31;2025-09-30;0;0
61591245;57112540;901f87cf-d250-4123-9d0a-342fb22c3b8b;85404429;8;2;20;34190820;129177613;2025-09-30;2014-01-10;2025-09-30;0;0
61630805;73568978;90ae8ed3-7073-47b7-8e1a-f74fc6c8f29c;109525351;34;2;20;44425786;129170512;2025-09-29;2014-04-02;2025-09-29;0;0
61665507;2627406;912e2974-d8a5-4ee5-8bb6-e75c5f444919;5758459;81;2;20;696160;129179342;2025-09-30;2014-01-10;2025-09-30;0;0
61762936;57123408;928bff79-26c6-4924-84e6-a2dd5f9e7c99;85421685;34;2;20;34196046;129177615;2025-09-30;2014-01-10;2025-09-30;0;0
61809545;76572337;93376764-0a88-469b-9d73-1172ba7a73b1;113905843;78;2;20;46272190;129167624;2025-09-29;2015-02-03;2025-09-29;0;0
61827096;26193760;9378041a-5ba8-4cd7-8e58-bad88b60b3ea;40466610;6;2;20;15532158;129165846;2025-09-29;2014-01-10;2025-09-29;0;0
61877723;81600520;942f6af3-6e23-4291-a23f-d6a3c3dd00ec;121252405;49;2;20;49382143;129170510;2025-09-29;2014-01-10;2025-09-29;0;0
61903096;55159871;948935be-338b-4634-bf89-61f6fa818a4c;82503181;79;2;20;32948076;129176803;2025-09-30;2019-11-21;2025-09-30;0;0
62020690;53343215;962e1d7d-788e-4cf4-8ceb-c3f97ff9459d;79847773;27;2;20;31839214;129187369;2025-10-01;2014-01-10;2025-10-01;0;0
62079144;25753768;97042547-c88a-4eac-b744-71181acfd9ac;39827437;221;2;20;15266678;129180770;2025-09-30;2015-10-20;2025-09-30;0;0
62120647;81816238;979a2c6b-ec00-49d3-92a6-76ae4fd47c2a;121574413;51;2;20;49520163;129167632;2025-09-29;2015-02-03;2025-09-29;0;0
62238001;25206490;993fbb26-3ff3-4b28-aa09-b3d6293c6ad4;39020456;4;2;20;14918849;129187337;2025-10-01;2014-01-10;2025-10-01;0;0
62276099;55108613;99c6d985-d806-484b-a49f-cb0013b34f4e;82426283;8А;5;20;32914909;129176800;2025-09-30;2019-11-21;2025-09-30;0;0
62310372;79735367;9a42dbe8-28dd-40ba-97de-0efdde050657;118507022;14;2;20;48206217;129169890;2025-09-29;2014-04-02;2025-09-29;0;0
62365996;35271931;9b0d6551-9e74-467b-b454-a60b41f2bc22;53614616;7;2;20;20961695;129169114;2025-09-29;2015-09-09;2025-09-29;0;0
62608385;46712466;9e7561e0-6e35-4ef6-86f6-2c3dd506ad9d;70302891;89;7;20;27935394;129169528;2025-09-29;2019-11-21;2025-09-29;0;0
62673869;51064827;9f606dae-37fd-42c8-ac9a-059e13444d27;76571857;74;2;20;30501536;129188452;2025-10-01;2014-01-10;2025-10-01;0;0
62693919;5708971;9fac873f-d4f6-4a79-b844-3aa79c13d608;10242801;88;2;20;2577835;129179926;2025-09-30;2014-01-10;2025-09-30;0;0
63115229;16428751;a59d949f-d6b8-4dde-9b36-c653bb1e5b9e;26057484;11;2;20;9349138;129176840;2025-09-30;2014-01-10;2025-09-30;0;0
63158153;16124459;a63abed9-57a4-4509-af2d-3b734f4f1b23;25613781;10;2;20;9166438;129176818;2025-09-30;2019-11-21;2025-09-30;0;0
64223981;14142699;b5480275-b09d-482f-a68f-4da68f5716b1;22638672;110;2;20;7846047;129174021;2025-09-29;2015-10-02;2025-09-29;0;0
64231739;52179411;b5626b07-6900-461f-8bda-0dc7e308cee3;78186844;236;2;20;31180257;129178217;2025-09-30;2014-01-10;2025-09-30;0;0
64241622;46815493;b587b6a7-810b-4e15-a3b5-8e042e8a2402;70453525;29;7;20;27995770;129185984;2025-10-01;2019-11-21;2025-10-01;0;0
64253575;57327680;b5b16c6f-4cb1-44b0-9553-531841ebbf1a;85722362;37;2;20;34318686;129190260;2025-10-01;2014-01-10;2025-10-01;0;0
64428839;16427029;b82980bb-fe41-477d-bab4-79fe9b682e7e;26054692;3;2;20;9347910;129176837;2025-09-30;2014-01-10;2025-09-30;0;0
64543096;5729300;b9c84a4a-c767-413d-8518-bf5f0d85bcd9;10271873;65;2;20;2589210;129179933;2025-09-30;2014-01-10;2025-09-30;0;0
64742008;72118031;bc975d04-bc56-4af6-a108-48f19dc3a85b;107389539;73;2;20;43499846;129189320;2025-10-01;2019-11-22;2025-10-01;0;0
64771534;43103926;bd01dd1f-5a7c-47af-9f8c-4af80ea5df6a;65071129;79;2;20;25747382;129176790;2025-09-30;2019-11-21;2025-09-30;0;0
64785067;57368749;bd370dad-1578-4253-bcc4-864a40d85e97;85780341;243;2;20;34342568;129190281;2025-10-01;2014-01-10;2025-10-01;0;0
64841637;52085277;be01f6b1-f179-4294-a65b-3f43ce39cb47;78050300;145;2;20;31122688;129167599;2025-09-29;2015-02-03;2025-09-29;0;0
64854168;73643785;be2c89c7-00d5-4b6b-a2e5-c2048b7e2de3;109639436;3;2;20;44476552;129170513;2025-09-29;2014-04-02;2025-09-29;0;0
64888006;76520361;bea568bc-268f-4380-be86-6d18f8a73547;113828428;46;2;20;46238123;129167626;2025-09-29;2015-02-03;2025-09-29;0;0
64897822;57133195;beca20a7-508b-47d4-8886-d5574a55619a;85433576;25;2;20;34200536;129178246;2025-09-30;2014-04-02;2025-09-30;0;0
64957370;71265786;bfa17e44-3160-465b-a006-75fae603a14c;106151428;1;2;20;42985810;129170550;2025-09-29;2014-01-10;2025-09-29;0;0
64978747;56739294;bff1f430-daa7-45de-aa47-de3350334748;84849032;67;2;20;33961301;129185698;2025-10-01;2014-01-10;2025-10-01;0;0
65039622;5387166;c0ca7bb0-11a1-4b17-9515-6f86e75596eb;9766742;35;2;20;2368223;129179128;2025-09-30;2014-04-02;2025-09-30;0;0
65092896;7417187;c18d44ec-65aa-4769-9f59-650e3e5157ee;12719147;34;2;20;3615491;129179947;2025-09-30;2014-01-10;2025-09-30;0;0
65151431;73626833;c2602e79-abfa-4ecc-9e1b-67841ea4593b;109613090;75;2;20;44464902;129169891;2025-09-29;2014-04-02;2025-09-29;0;0
65167857;57412131;c29a5128-bbd5-4498-a733-bca281282499;85842945;235;2;20;34367482;129190285;2025-10-01;2014-01-10;2025-10-01;0;0
65218697;21858134;c354957b-f3eb-4aac-80da-0c5e6c691bdf;34116417;28;2;20;12865355;129169568;2025-09-29;2014-01-10;2025-09-29;0;0
65291110;55071553;c457cfde-e3b3-474a-a58b-359833ca083b;82369762;24;2;20;32889965;129178758;2025-09-30;2014-04-02;2025-09-30;0;0
65312280;6521798;c4a651b9-56c1-45d2-9983-f40abbd335eb;11421475;18;2;20;3073428;129176777;2025-09-30;2014-01-10;2025-09-30;0;0
65348916;5259329;c5293280-ca26-4deb-83b6-c5da23ff7348;9575852;32А;2;20;2281910;129176571;2025-09-30;2014-01-10;2025-09-30;0;0
65414535;80815454;c6156f3d-fae3-45e6-9760-4b0b5c0651d5;120108677;44;2;20;48900121;129165843;2025-09-29;2015-10-01;2025-09-29;0;0
65457589;14023803;c6b03542-7f10-4fb4-82b7-bd705de5125a;22457015;32;2;20;7766294;129165817;2025-09-29;2015-10-02;2025-09-29;0;0
65492748;5681133;c7305744-9589-4ae0-9d52-ea8d9f2c1e67;10203606;91;2;20;2561593;129180343;2025-09-30;2014-01-10;2025-09-30;0;0
65553931;5393605;c80a8dc4-e7a4-484b-960c-b111a8684b55;9776598;14;2;20;2373191;129179119;2025-09-30;2014-04-02;2025-09-30;0;0
65571511;46716051;c84c6bf1-c521-4bc8-96ca-30f887c8e0c1;70308129;103;7;20;27937798;129169530;2025-09-29;2019-11-21;2025-09-29;0;0
65655116;14024249;c97a308e-18f8-41a6-9e66-a9ca92b3127d;22458013;42;2;20;7766477;129170531;2025-09-29;2015-10-02;2025-09-29;0;0
