ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
7254595;13364252;d94e6dcc-d281-41e6-84b8-010ecac15889;21454950;122;2;10;0;111806908;2025-09-30;2017-03-13;2025-09-30;0;0
108033896;164073809;1cb7246b-1fd8-4fff-b3cb-60513312ea57;597521556;99;2;10;0;111817442;2025-10-01;2024-07-01;2025-10-01;0;0
111795537;174917016;16c94506-fe1b-4051-a2cb-d03f0facaf11;689640031;114;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797014;65491130;a5b425fb-9f5c-4f30-9bee-9b0bf4ec34fc;689649329;2;2;55;39012594;129167898;2025-09-29;2025-09-29;2079-06-06;1;0
111797015;65491210;dbd1264f-658c-4947-93f9-abd78f3b6c83;689649331;1;2;55;39012625;129167899;2025-09-29;2025-09-29;2079-06-06;1;0
111798186;31733051;93116923-454d-41d7-ae8b-a7bc4c2a58f3;689654312;62;2;40;18339029;;2025-09-29;2025-09-29;2079-06-06;1;1
111798187;31746915;dd065106-29da-4f9e-9d23-006d506686ad;689654313;62;2;42;18348194;111798186;2025-09-29;2025-09-29;2079-06-06;1;0
111800145;174928459;cf4ae56f-7263-4585-82dc-cef6d1fbc0aa;689664346;111;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800147;174928461;8dd0bee5-af93-4cd8-b820-180e53c56d4a;689664348;6;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800149;174928463;1709697a-a0dc-4d83-b668-0e1879ec5322;689664350;101;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800151;174928465;85a317c0-0253-4e2e-b3c4-b0d9ce1e418a;689664352;53;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800153;174928467;a8dbd182-0e89-44a0-a931-05fd1d271c3c;689664354;81;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800155;174928469;242de8df-cabc-4fdb-b2ac-3549be985142;689664356;113;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800157;174928471;9454d7b7-8b37-43c1-8c02-4ff578876e74;689664358;62;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800159;174928473;6ddf28ff-7cde-411a-adb9-50b99b32eb9d;689664360;21;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800161;174928475;6d9683a3-22c6-4150-9591-b6d508e7d1b8;689664362;25;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800326;174929346;2f233018-bec1-431f-8fd8-e334e22f997e;689667387;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800306;169114181;f3f1444e-203b-4b2a-9526-36f8957a6c34;689666923;8;2;30;109872976;0;2025-09-29;2025-09-29;2079-06-06;1;0
111800321;174929284;9d90a8fb-bb7f-4a7f-b0df-e9b2272de865;689667257;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
39011114;65489168;886faf1a-135a-4198-a666-1d64bc815bab;97686978;2;2;10;0;111800518;2025-09-29;2007-12-25;2025-09-29;0;0
39011184;65489252;bb4ed599-c909-47e1-adad-11b5e0c34c51;97687140;1;2;10;0;111800519;2025-09-29;2007-12-25;2025-09-29;0;0
111800525;174930175;6c396596-2eab-44fa-b758-ff5ace783807;689668926;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800523;174930129;47e8761a-a1f1-46f4-a0d7-24a487279957;689668858;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800532;174930227;b3631b3a-4694-4afe-8dad-fa3c31d497d5;689669029;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800536;174930272;4667e822-ee53-42c0-88b5-265dfe4c4e6f;689669147;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800551;174930388;6e95843b-954e-47d7-90dc-fc661c179907;689669428;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800556;174930415;e63b0ef3-1e88-4efb-a62b-08c0d0219609;689669488;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800558;174930460;73eeb62c-ab82-4833-bf84-de35be40c27f;689669603;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800564;174930508;d74a1782-e2fc-4c42-8119-ca3546097fd3;689669775;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800566;174930569;7e46c2f4-da2d-4b45-a93d-b28d7046d66a;689669870;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800569;174930615;9f1bbded-898a-4583-a0ea-22cda264872c;689669942;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800577;174930662;f88883fe-26c7-4a8f-bbf4-81365f4a54e9;689670022;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
