ID;OBJECTID;OBJECTGUID;CHANGEID;NAME;TYPENAME;LEVEL;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
748982;615750;ffb2df88-d360-48f7-9350-813c34544266;1611601;Луговая;ул;8;1;0;52189963;2025-10-01;1900-01-01;2025-10-01;0;0
52189322;174916863;3d7e4e7e-5545-4fe9-a75a-946cb107c09f;689639647;Молодёжная;ул.;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
730326;602492;4aff1eea-4da3-437d-89db-c211cebce2fe;1568692;Складская;ул;8;1;0;52189326;2025-09-29;1900-01-01;2025-09-29;0;0
52189395;628612;61226b45-4243-4d31-a511-79098f4b18bc;689653343;Булак;д.;6;20;764550;;2025-09-29;2025-09-29;2079-06-06;1;1
52189616;174950947;0cf56b15-4b1f-4db8-97dd-257c1aff029d;689711638;Гаражно-строительный кооператив №9;тер.;7;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
763974;628090;4eef4b41-f8a9-406d-b134-356f39437d0e;1652696;Тороева;ул;8;1;0;52189788;2025-09-30;1900-01-01;2025-09-30;0;0
52189921;174976291;b9d49009-5e1a-43c9-ba84-b900a69aff8a;689789647;Нагорная;ул.;8;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
52189944;174978734;ab88ee9b-ff2e-4d0e-bdb4-a383f2d8acf2;689793602;Сосновые Родники;тер.;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
752230;618266;94b0c1dc-ed6b-4a0e-a388-29c059c32fa5;1620613;Набережная;ул;8;1;0;52189964;2025-10-01;1900-01-01;2025-10-01;0;0
52189963;615750;ffb2df88-d360-48f7-9350-813c34544266;689794107;Луговая;ул;8;30;748982;0;2025-10-01;2025-10-01;2079-06-06;1;0
