ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
718317050;602492;191585311;689639763;10;38000005000055499;2025-09-29;2021-04-19;2079-06-06
1644431661;174916862;689639637;0;2;3801;2025-09-29;2025-09-29;2079-06-06
1644431663;174916862;689639637;0;4;3851;2025-09-29;2025-09-29;2079-06-06
1644431665;174916862;689639637;0;7;25605419106;2025-09-29;2025-09-29;2079-06-06
1644431667;174916862;689639637;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644431669;174916862;689639637;0;21;25605419;2025-09-29;2025-09-29;2079-06-06
1644431672;174916863;689639647;0;2;3849;2025-09-29;2025-09-29;2079-06-06
1644431674;174916863;689639647;0;7;25607428101;2025-09-29;2025-09-29;2079-06-06
1644431676;174916863;689639647;0;15;14;2025-09-29;2025-09-29;2079-06-06
1644431678;174916863;689639647;0;21;25607428;2025-09-29;2025-09-29;2079-06-06
1644488383;628612;689653343;0;10;3813000003400;2025-09-29;2025-09-29;2079-06-06
1644683031;174950946;689711633;0;1;3816;2025-09-30;2025-09-30;2079-06-06
1644683033;174950946;689711633;0;6;25236508000;2025-09-30;2025-09-30;2079-06-06
1644683035;174950946;689711633;0;10;38019002000011300;2025-09-30;2025-09-30;2079-06-06
1644683037;174950946;689711633;0;13;256361050010124000001;2025-09-30;2025-09-30;2079-06-06
1644683039;174950947;689711638;0;1;3816;2025-09-30;2025-09-30;2079-06-06
1644683041;174950947;689711638;0;6;25236508000;2025-09-30;2025-09-30;2079-06-06
1644683043;174950947;689711638;0;10;38019002000011400;2025-09-30;2025-09-30;2079-06-06
1644683045;174950947;689711638;0;13;256361050010125000001;2025-09-30;2025-09-30;2079-06-06
9610762;628090;1652759;689739187;10;38130000054000199;2025-09-30;2015-12-08;2079-06-06
1644903308;174976244;689789574;0;2;3801;2025-10-01;2025-10-01;2079-06-06
1644903310;174976244;689789574;0;7;25703000001;2025-10-01;2025-10-01;2079-06-06
1644903312;174976244;689789574;0;15;1526;2025-10-01;2025-10-01;2079-06-06
1644903314;174976244;689789574;0;21;25703000;2025-10-01;2025-10-01;2079-06-06
1644903740;174976291;689789647;0;2;3801;2025-10-01;2025-10-01;2079-06-06
1644903742;174976291;689789647;0;7;25703000141;2025-10-01;2025-10-01;2079-06-06
1644903744;174976291;689789647;0;15;32;2025-10-01;2025-10-01;2079-06-06
1644903746;174976291;689789647;0;21;25703000;2025-10-01;2025-10-01;2079-06-06
1644915393;174978098;689792607;0;2;3808;2025-10-01;2025-10-01;2079-06-06
1644915395;174978098;689792607;0;7;25612439101;2025-10-01;2025-10-01;2079-06-06
1644915397;174978098;689792607;0;15;7;2025-10-01;2025-10-01;2079-06-06
1644915399;174978098;689792607;0;21;25612439;2025-10-01;2025-10-01;2079-06-06
1644920986;174978734;689793602;0;7;25550000;2025-10-01;2025-10-01;2079-06-06
1644920988;174978734;689793602;0;2;3816;2025-10-01;2025-10-01;2079-06-06
1644920990;174978734;689793602;0;15;14;2025-10-01;2025-10-01;2079-06-06
1644920992;174978734;689793602;0;21;25550000;2025-10-01;2025-10-01;2079-06-06
1644923334;174979017;689794095;0;2;3808;2025-10-01;2025-10-01;2079-06-06
1644923336;174979017;689794095;0;7;25618425111;2025-10-01;2025-10-01;2079-06-06
1644923338;174979017;689794095;0;15;6;2025-10-01;2025-10-01;2079-06-06
1644923340;174979017;689794095;0;21;25618425;2025-10-01;2025-10-01;2079-06-06
9445807;618266;1620663;689794112;10;38011000030000199;2025-10-01;2015-11-13;2079-06-06
