ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644639729;174351602;689702048;0;8;38:06:010902:14142;2025-09-30;2025-09-30;2079-06-06
1644639731;174351622;689702050;0;8;38:06:010902:14140;2025-09-30;2025-09-30;2079-06-06
1644639733;174351624;689702052;0;8;38:06:010902:14138;2025-09-30;2025-09-30;2079-06-06
1644639735;174351626;689702054;0;8;38:06:010902:14136;2025-09-30;2025-09-30;2079-06-06
1644639737;174351629;689702056;0;8;38:06:010902:14132;2025-09-30;2025-09-30;2079-06-06
1644639739;174358333;689702058;0;8;38:06:010902:14152;2025-09-30;2025-09-30;2079-06-06
1644639741;174358335;689702060;0;8;38:06:010902:14150;2025-09-30;2025-09-30;2079-06-06
1644639743;174358337;689702062;0;8;38:06:010902:14148;2025-09-30;2025-09-30;2079-06-06
1644639745;174358339;689702064;0;8;38:06:010902:14146;2025-09-30;2025-09-30;2079-06-06
1644639747;174358368;689702066;0;8;38:06:010902:14143;2025-09-30;2025-09-30;2079-06-06
1644639749;174358352;689702111;0;8;38:06:010902:14184;2025-09-30;2025-09-30;2079-06-06
1644639751;174358354;689702113;0;8;38:06:010902:14182;2025-09-30;2025-09-30;2079-06-06
1644639753;174358356;689702115;0;8;38:06:010902:14180;2025-09-30;2025-09-30;2079-06-06
1644639755;174358319;689702117;0;8;38:06:010902:14168;2025-09-30;2025-09-30;2079-06-06
1644639757;174358321;689702119;0;8;38:06:010902:14165;2025-09-30;2025-09-30;2079-06-06
1644639759;174358323;689702121;0;8;38:06:010902:14163;2025-09-30;2025-09-30;2079-06-06
1644639761;174358325;689702123;0;8;38:06:010902:14161;2025-09-30;2025-09-30;2079-06-06
1644639763;174358327;689702125;0;8;38:06:010902:14159;2025-09-30;2025-09-30;2079-06-06
1644639765;174358329;689702127;0;8;38:06:010902:14157;2025-09-30;2025-09-30;2079-06-06
1644639767;174358331;689702129;0;8;38:06:010902:14154;2025-09-30;2025-09-30;2079-06-06
1644639769;174358358;689702131;0;8;38:06:010902:14177;2025-09-30;2025-09-30;2079-06-06
1644639771;174358360;689702133;0;8;38:06:010902:14175;2025-09-30;2025-09-30;2079-06-06
1644639773;174358362;689702135;0;8;38:06:010902:14173;2025-09-30;2025-09-30;2079-06-06
1644639775;174358364;689702137;0;8;38:06:010902:14171;2025-09-30;2025-09-30;2079-06-06
1644639777;174358366;689702139;0;8;38:06:010902:14169;2025-09-30;2025-09-30;2079-06-06
1644639799;174351693;689702153;0;8;38:06:010902:14250;2025-09-30;2025-09-30;2079-06-06
1644639801;174351695;689702155;0;8;38:06:010902:14248;2025-09-30;2025-09-30;2079-06-06
1644639803;174351697;689702157;0;8;38:06:010902:14246;2025-09-30;2025-09-30;2079-06-06
1644639805;174351699;689702159;0;8;38:06:010902:14243;2025-09-30;2025-09-30;2079-06-06
1644639807;174351701;689702161;0;8;38:06:010902:14241;2025-09-30;2025-09-30;2079-06-06
1644639809;174351703;689702163;0;8;38:06:010902:14239;2025-09-30;2025-09-30;2079-06-06
1644639811;174351705;689702165;0;8;38:06:010902:14237;2025-09-30;2025-09-30;2079-06-06
1644639813;174351707;689702167;0;8;38:06:010902:14235;2025-09-30;2025-09-30;2079-06-06
1644639815;174351709;689702169;0;8;38:06:010902:14231;2025-09-30;2025-09-30;2079-06-06
1644639817;174351711;689702171;0;8;38:06:010902:14229;2025-09-30;2025-09-30;2079-06-06
1644639819;174351713;689702173;0;8;38:06:010902:14227;2025-09-30;2025-09-30;2079-06-06
1644639821;174351715;689702175;0;8;38:06:010902:14225;2025-09-30;2025-09-30;2079-06-06
1644639823;174351717;689702177;0;8;38:06:010902:14223;2025-09-30;2025-09-30;2079-06-06
1644639825;174351719;689702179;0;8;38:06:010902:14220;2025-09-30;2025-09-30;2079-06-06
1644639827;174351721;689702181;0;8;38:06:010902:14218;2025-09-30;2025-09-30;2079-06-06
1644639829;174351723;689702183;0;8;38:06:010902:14216;2025-09-30;2025-09-30;2079-06-06
1644639831;174351725;689702185;0;8;38:06:010902:14214;2025-09-30;2025-09-30;2079-06-06
1644639833;174351727;689702187;0;8;38:06:010902:14212;2025-09-30;2025-09-30;2079-06-06
1644639835;174351729;689702189;0;8;38:06:010902:14209;2025-09-30;2025-09-30;2079-06-06
1644639837;174351731;689702191;0;8;38:06:010902:14207;2025-09-30;2025-09-30;2079-06-06
1644639839;174351733;689702193;0;8;38:06:010902:14205;2025-09-30;2025-09-30;2079-06-06
1644639841;174351735;689702195;0;8;38:06:010902:14203;2025-09-30;2025-09-30;2079-06-06
1644639843;174351737;689702197;0;8;38:06:010902:14201;2025-09-30;2025-09-30;2079-06-06
1644639845;174351739;689702199;0;8;38:06:010902:14198;2025-09-30;2025-09-30;2079-06-06
1644639847;174358341;689702201;0;8;38:06:010902:14196;2025-09-30;2025-09-30;2079-06-06
1644639849;174358343;689702203;0;8;38:06:010902:14194;2025-09-30;2025-09-30;2079-06-06
1644639851;174358345;689702205;0;8;38:06:010902:14192;2025-09-30;2025-09-30;2079-06-06
1644639853;174358347;689702207;0;8;38:06:010902:14190;2025-09-30;2025-09-30;2079-06-06
1644639855;174358349;689702209;0;8;38:06:010902:14187;2025-09-30;2025-09-30;2079-06-06
