OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
28540127;d406aa23-ef38-491c-bd4f-eeee3284f167;689663928;1;10;2019-07-10;2025-09-29
28091695;67ddef8b-05d5-4276-a36f-72d9f7b7b22d;689801439;1;11;2017-05-26;2025-10-01
28105071;dfc15fbd-d589-4bf0-ba45-547db8e79914;689799326;1;11;2017-05-26;2025-10-01
59102376;ec12bd8e-2de7-499f-b8db-0de579d68ce9;689720097;1;10;2012-10-13;2025-09-30
174261566;51f6ae3e-7ada-4bee-b4e1-c4cb48ee7b52;689720145;1;10;2025-08-27;2025-09-30
5646190;bf29c00d-a5ff-473c-9c68-bcf4f7f514a7;689629869;1;10;2019-07-10;2025-09-29
28862409;ff5a6f1f-973b-4ba5-9bab-7653d09e64e6;689722704;0;11;2018-08-17;2025-09-30
44350088;70feea90-ff42-4af2-bde9-ccffda7efd4c;689705578;1;11;2019-07-14;2025-09-30
28887454;d02df48e-faed-41f4-9551-64d2cbd11e12;689778655;1;11;2017-12-22;2025-10-01
15071913;ca79a05c-f876-49de-8524-b96a90f8e6db;689669103;1;10;2019-07-10;2025-09-29
66751868;08d55c47-775f-4c35-9159-6ce9230cf80f;689711962;1;11;2017-08-22;2025-09-30
74766848;cb6cb43f-8c80-4664-9e22-af426551e97c;689669908;1;10;2017-11-13;2025-09-29
53392094;7bd2e5d1-7ef7-4e3f-a4e9-763ecaceae95;689628901;1;10;2019-07-10;2025-09-29
19127513;6f7d77c2-6c68-4794-afa9-c6dbb54d7b85;689779154;1;10;2019-07-10;2025-10-01
64964575;6df63112-0e97-445d-b4d5-1bba5904eae9;689625303;0;11;2019-09-04;2025-09-29
27150339;7842a2df-6dc1-4348-a356-d0fc2f5935a8;689630211;1;10;2019-07-10;2025-09-29
59539059;bb4ed833-5139-4393-9bbb-74acf933f6df;689711592;1;10;2019-07-10;2025-09-30
11437403;a44d236d-a9b6-409c-85b3-19040e0eae0b;689706347;0;10;2017-12-17;2025-09-30
53768130;8a234cd9-3aa6-490b-a7d9-c347d6a4b218;689707119;1;11;2019-07-14;2025-09-30
53768169;c7d77ef5-6a8c-4df5-973f-f5465f0addcc;689707116;1;11;2019-07-14;2025-09-30
31444514;1596d5e1-56b1-4451-bd00-f3554bbc4964;689665771;1;11;2017-08-25;2025-09-29
31447266;8bacdcaf-ca52-40ef-a48d-5a9a32ee0352;689655810;1;11;2017-08-25;2025-09-29
31450845;852eae9a-3e15-4cb4-b06b-ce4749b31e06;689655746;1;11;2017-08-25;2025-09-29
609570;2a528367-6241-4197-b2e0-4621b37cc4e3;689652373;1;7;2015-11-23;2025-09-29
612264;6d0661cc-ff3e-495f-9bce-d9a0def91806;689652377;1;7;2015-11-23;2025-09-29
13149812;e1c21ede-cc6f-4535-8b5a-ca8595a241c5;689778713;1;10;2019-07-10;2025-10-01
12560605;cf669dc2-0a6a-4524-96e3-43b824d67ff0;689800563;1;10;2019-07-10;2025-10-01
31462686;57683c9f-78f6-42fd-b4a2-8f7c6a2f04c7;689655771;1;11;2017-08-25;2025-09-29
29028669;d25182e3-89b4-405e-814a-0433cd7c7a70;689779819;1;10;2018-01-26;2025-10-01
67249145;99b8c969-674f-44b3-a65f-081cacf8e6f4;689735526;1;10;2017-12-17;2025-09-30
