ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
68550;84624152;662ad088-dbcf-4682-811f-e62897476d3c;125644495;35;10;74203281;2025-10-01;2016-06-24;2025-10-01;0;0
319147;84873066;75318504-484c-4787-a6df-488d44983cc5;126043430;24;10;74200294;2025-10-01;2015-12-17;2025-10-01;0;0
643166;85195338;1a33fcc8-ce0c-4bf6-9b1e-ec59dd1154f0;126515126;6-1;10;74174366;2025-09-29;2017-05-15;2025-09-29;0;0
951828;85502327;14a018a9-2c38-446d-8335-03ddc4d4b066;126948479;1-1;10;74203207;2025-10-01;2002-12-28;2025-10-01;0;0
1113182;85662837;277140c0-9ffa-40cb-bb4e-bafd190b6504;127172175;6;10;74186589;2025-09-30;2016-04-11;2025-09-30;0;0
1512087;86059895;2237818e-92e5-423a-8df4-bf25ffeec5f6;127714845;41-1;10;74174207;2025-09-29;2017-04-17;2025-09-29;0;0
1816368;86362791;76cbd86c-c58a-43ce-9729-7434886b44c8;128120164;49;10;74200312;2025-10-01;2015-12-17;2025-10-01;0;0
1863551;86409787;e99172d0-faf6-4126-8ad9-1e35c938d06d;128182704;144;10;74203231;2025-10-01;2015-12-17;2025-10-01;0;0
2224871;86769455;8df92efb-2d37-4786-88ad-2212b08d99e0;128657268;298а;10;74197808;2025-10-01;2018-08-24;2025-10-01;0;0
2274468;86818833;8695c536-0c48-498f-81fd-bf135ebbf247;128721461;5-1;10;74185986;2025-09-30;2018-06-15;2025-09-30;0;0
2705777;87248543;007eede6-b666-4fb5-915e-4e1d0a8e7c4d;129276742;3;10;74200316;2025-10-01;2015-12-17;2025-10-01;0;0
2729727;87272398;5b3186cf-3554-4480-9f71-71bf329a84e8;129308021;5-2;10;74174368;2025-09-29;2017-05-15;2025-09-29;0;0
3306869;87847501;13dad583-c9f3-45bb-b295-e8e1b680183f;130028013;295а;10;74197809;2025-10-01;2018-08-24;2025-10-01;0;0
3718767;88258149;48d098a4-715c-412e-b6ec-ab4967c7f074;130527465;12;10;74181261;2025-09-30;2017-04-20;2025-09-30;0;0
4152765;88690971;9504a646-fff6-407a-82c6-2f594c770e42;131044691;281а;10;74197048;2025-10-01;2018-08-24;2025-10-01;0;0
4654264;89191463;08e03e04-0fab-4fee-828f-8cc81cade3a1;131626787;13-2;10;74174221;2025-09-29;2017-04-18;2025-09-29;0;0
5833820;90368778;6b70a777-7641-41d2-8c35-7741f14aaea4;132956533;5;50;74200010;2025-10-01;2018-08-01;2025-10-01;0;0
6617407;91152039;b95f228f-9d47-4557-87a6-9ed449c43b18;133842452;50-1;10;74181878;2025-09-30;2017-01-10;2025-09-30;0;0
10116607;94649746;b31a29e0-85eb-4404-8d2a-c0c5b72ac406;137600964;7;10;74200011;2025-10-01;2019-06-07;2025-10-01;0;0
67115437;160654048;7f659b0d-5bac-4355-8949-d5d8534a8c39;566190838;7Б/3;10;74203779;2025-10-01;2023-10-11;2025-10-01;0;0
67612394;162343839;f3b7f483-5fd5-4e36-a7ef-4d2ae9677e39;589266351;7А;10;74162678;2025-09-29;2024-02-06;2025-09-29;0;0
72188738;171237112;07448bdf-a1ed-4c6f-ae6b-cd0ffe6b57f9;643171671;1;10;74165383;2025-09-29;2025-03-26;2025-09-29;0;0
72701327;172131790;a9e153f3-aced-4352-bd90-048d3f20d9fc;645660196;22;10;74163140;2025-09-29;2025-05-12;2025-09-29;0;0
73008440;172693419;26333e42-e797-4530-b8a0-59a9837e9ddc;647271297;7/2;10;74182242;2025-09-30;2025-06-05;2025-09-30;0;0
73635350;173904589;49985e1e-fd27-4e26-bc8a-f117c3f44d7f;656782173;6/1;10;74165428;2025-09-29;2025-08-08;2025-09-29;0;0
