CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689645532;174919551;6aaccaeb-c374-48c4-9969-d6f8b228fcf7;10;27410182;2025-09-29
689645551;174919569;a7d62260-616f-45a1-82c1-8f4f263e5e64;10;27410184;2025-09-29
689645531;174919550;fc49f29f-b5f2-43d1-803a-36b2dcee9b71;10;27410181;2025-09-29
689645535;174919553;38d00362-831f-4535-93b9-9a7d16ce75f8;10;27410185;2025-09-29
689645537;174919555;e0f009f6-6d32-4329-b196-7aaedf4ca86a;10;27410185;2025-09-29
689645539;174919557;92c5f689-78a9-418b-bc4d-50d2da42f1d4;10;27410185;2025-09-29
689645541;174919559;e2b324e7-fb49-4789-913e-26c561c77e1c;10;27410185;2025-09-29
689645543;174919561;74ed97af-9ca9-4177-9b3d-70a7a95b73d1;10;27410185;2025-09-29
689645545;174919563;9978f7be-2abd-44ef-8dba-2a99a4738c40;10;27410185;2025-09-29
689645547;174919565;3471adb1-d355-4fbc-a646-63320ef0845c;10;27410185;2025-09-29
689645549;174919567;5a1c7b89-4413-46a7-a350-7494f27902d4;10;27410185;2025-09-29
689645552;174919570;68f91af7-3033-4b69-b0d0-4bac9cb905ad;10;27410186;2025-09-29
689645571;174919589;8eb11154-4c6f-472b-b085-0db482711605;10;27410188;2025-09-29
689645575;65374505;916140f4-b670-440a-8fce-35ced5b74280;20;27399255;2025-09-29
689645556;174919574;8dc5e2ac-d382-4430-aaa8-ff2da149301d;10;27410187;2025-09-29
689645558;174919576;5012a8f2-1985-4638-81e6-16bc038c6f66;10;27410187;2025-09-29
689645560;174919578;8105cf34-7bd0-44c2-a9e1-edbd25f4a260;10;27410187;2025-09-29
689645562;174919580;39036180-c5c4-4437-965c-009f4680fab7;10;27410187;2025-09-29
689645564;174919582;f230adb7-de01-46ce-9895-96c6277e95dd;10;27410187;2025-09-29
689645566;174919584;6e47e357-fddb-4876-acfc-29174907d97d;10;27410187;2025-09-29
689645568;174919586;4b04a5f4-6576-46c3-b89d-8b0a7c7289a7;10;27410187;2025-09-29
689645570;174919588;60d8296f-baf2-43d5-a79a-53ce2ae1bdd8;10;27410187;2025-09-29
689645574;174919592;5b8b748b-0c8a-497b-8770-7db21d74af94;10;27410189;2025-09-29
689652967;174924416;b7775943-1a6c-4969-bc43-a17deb466c26;10;27411307;2025-09-29
689652969;174924418;e104bb56-4252-4b59-9a57-0d59a1721b10;10;27411307;2025-09-29
689652971;174924420;c7982c71-3b91-4e24-84ab-6b3147c3a96f;10;27411307;2025-09-29
689652973;174924422;e51db2f9-89fd-4639-b898-2db9b17b7c5d;10;27411307;2025-09-29
689652975;174924424;5f74c8cc-820a-41ed-b8cc-2c79a0aaa91f;10;27411307;2025-09-29
689652977;174924426;bb0bb000-f6cd-472c-ab33-2efc71dec18f;10;27411307;2025-09-29
689652979;174924428;de14c3e7-1b15-4910-a624-a9958893c4a8;10;27411307;2025-09-29
689652981;174924430;05ead8d6-578f-49fd-a38b-5c0ac98cd06a;10;27411307;2025-09-29
689652983;174924432;502560fb-fd6b-462e-84c7-32343c746437;10;27411307;2025-09-29
689652985;174924434;5d47aebc-2cd3-4359-83eb-6f2040f3fa6a;10;27411307;2025-09-29
689652987;174924436;53d062ec-2d8f-4b42-aab1-e3fe4f0ff1d0;10;27411307;2025-09-29
689652989;174924438;340c49aa-156b-4020-af25-a830d40c33e5;10;27411307;2025-09-29
689652991;174924440;9a17c49c-cb52-4978-9e84-f8985ccc0d50;10;27411307;2025-09-29
689652993;174924442;650430d7-7385-475d-97c3-fd2fd7869d10;10;27411307;2025-09-29
689652995;174924444;b508c8f9-3b48-445c-bb8a-932524fb4be2;10;27411307;2025-09-29
689652997;174924446;5dff2355-01e5-4781-9e2b-3b275d075968;10;27411307;2025-09-29
689652999;174924448;869cdf90-bba9-4153-ba75-7975b6c9cb03;10;27411307;2025-09-29
689653001;174924450;86ce39e3-4524-484f-9bb4-bd9521326316;10;27411307;2025-09-29
689653003;174924452;2421e7a4-f0ae-4cef-8e3c-0ee854238b37;10;27411307;2025-09-29
689653005;174924454;bbe2141b-69a1-4e7c-8b1d-969c59453403;10;27411307;2025-09-29
689653007;174924456;50aae2c6-f7dc-4aca-b081-33837ab05eef;10;27411307;2025-09-29
689653009;174924458;ab20b9ee-e71b-4a14-84d2-69fdb6b7c5e1;10;27411307;2025-09-29
689653011;174924460;23e19c3b-200c-41b8-a62b-9e54e39b5e5a;10;27411307;2025-09-29
689653123;174924518;f88f17ea-2c9b-4df1-b2ff-f74480506ab7;10;27411354;2025-09-29
689664240;39742791;9f2f64eb-d57f-467b-b5e2-c845d2459279;24;27412011;2025-09-29
689664242;39742996;316a9946-dde0-4448-817a-86defb6942e9;24;27412011;2025-09-29
689665893;50320995;2cf98ecc-197c-42b0-8579-0fd43773fbf4;24;27412156;2025-09-29
689665895;50321106;b1d75116-ef51-4888-bd75-29ef1f700e6c;24;27412156;2025-09-29
689668724;50315269;1e02a450-0926-4f7a-8f37-0afa659b911a;24;27412627;2025-09-29
689668726;50315416;d470c2e8-c50d-4176-a811-be37c69e628b;24;27412627;2025-09-29
689668728;50316096;54e7c7b7-bbfa-4cc9-a86e-c8d278ae6044;24;27412627;2025-09-29
689669212;174930306;8518a0ad-d74b-4f87-bb96-1a3503ff8565;10;27412790;2025-09-29
689669490;174930416;3c1814d3-d082-4c70-9b72-970771ae9b30;10;27412852;2025-09-29
689669927;174930606;9a08c22e-ecf4-4346-afda-74e61d5ac128;10;27412948;2025-09-29
689670025;50305585;4426dbf0-2a18-441f-ab23-b160c3c3da8a;24;27412983;2025-09-29
689670027;50305803;00fa160f-a98f-45fa-abaf-fdeec76499c5;24;27412983;2025-09-29
689673076;58295587;0f1e079d-94ed-49a8-b9e3-3f5f62c980f6;20;27413496;2025-09-29
689673161;174932389;99def0e7-de33-41c0-9ef9-4633c2cdcf75;10;27413522;2025-09-29
689673223;174932435;a7b4965a-6325-4a5a-b7b3-96d215ad05d4;10;27413542;2025-09-29
689674622;174933282;58cefbd8-8e8b-420c-bdef-702513e1394c;10;27413522;2025-09-29
689674635;16102064;96482494-f1f8-418c-83ed-efd75a9d545d;24;27413919;2025-09-29
689674637;16101992;da7adbac-0034-431f-81a5-74830b62a73c;24;27413919;2025-09-29
689674639;16102124;f31f5b81-e0aa-4b19-bad8-c3d29bb944ec;24;27413919;2025-09-29
689674641;16102197;b04154b1-f175-41ff-a495-97c5f2994897;24;27413919;2025-09-29
689674730;174933355;91d9972e-31d9-4f62-b7e9-578684fa94aa;10;27413522;2025-09-29
689674816;174933414;6d4971c8-f99b-4bad-ad55-d05199cec4cf;10;27413522;2025-09-29
689675087;174933555;c8ba6005-29c8-4a48-8a15-007d2a557f02;10;27413522;2025-09-29
689675089;174933557;06c8412c-6a21-462e-b325-779e040c6ee3;10;27413522;2025-09-29
689675220;174933646;bdad0c2c-aff1-486b-9c1d-15af619960bc;10;27413522;2025-09-29
689675297;174933695;976dfd56-dcf4-4909-ab9b-867390d1ef6e;10;27413522;2025-09-29
689675361;174933742;d6bbc54d-23b9-47a5-ad25-8d4aea05ea59;10;27413522;2025-09-29
689675594;174933874;c06ee0a1-214a-411b-9bcb-eba1c489479c;10;27413522;2025-09-29
689675596;174933876;03c349fe-121f-46c4-9fc7-c6a827860dc4;10;27413522;2025-09-29
689675649;174933903;71f1df16-f60f-430e-927f-9993049d60ac;10;27413522;2025-09-29
689695974;43902667;84d65978-e2fc-41ad-8182-ed3deb0d4b17;20;27417354;2025-09-29
689696037;6645109;c176cd58-865d-4356-8e54-d798390dd2e2;24;27417354;2025-09-29
689686462;23247185;bed301ed-5746-475c-893a-e21c1f8fedc7;20;27415559;2025-09-29
689694949;16102713;2eed152d-8ec5-447a-be3d-073b4545cabf;24;27417159;2025-09-29
689694951;16102842;ba69a0dc-13d9-4846-b799-d9b19c8ccf65;24;27417159;2025-09-29
689694953;16102849;860da6c6-86b7-4d5b-a80b-543a4681a64c;24;27417159;2025-09-29
689694955;16102863;25558637-f07e-41a8-a080-a202709bda3c;24;27417159;2025-09-29
