ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
54587996;58817751;2d44aa45-ea16-455d-be83-41262fe75496;87901150;135;2;20;35241066;129167126;2025-09-29;2019-04-01;2025-09-29;0;0
59408909;69326866;7155241e-6264-4455-9878-41b52df8a22f;103324899;42а;2;20;41803767;129172312;2025-09-29;2016-04-15;2025-09-29;0;0
71186139;100835583;b773419e-1e4d-4a93-be62-d477993d7e3f;188047457;35;2;10;0;129190319;2025-10-01;2021-04-06;2025-10-01;0;0
129167127;174919571;f0000aca-f7a9-4e55-a804-536db35b2561;689645553;135;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167129;174919589;8eb11154-4c6f-472b-b085-0db482711605;689645571;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170706;174930378;7ac00fdf-24bc-4b1a-8f12-898dca08e014;689669398;35Л;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171167;174932379;dd5ba888-e1bb-4f93-aa68-937e920084e8;689673145;31;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171383;174933282;58cefbd8-8e8b-420c-bdef-702513e1394c;689674622;4Б;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171523;174933646;bdad0c2c-aff1-486b-9c1d-15af619960bc;689675220;18;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171542;174933695;976dfd56-dcf4-4909-ab9b-867390d1ef6e;689675297;26;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171564;174933760;246580e1-0b6f-4c24-95ec-695fc7dcbe36;689675388;4А;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129172312;69326866;7155241e-6264-4455-9878-41b52df8a22f;689679384;42А;2;20;59408909;;2025-09-29;2025-09-29;2079-06-06;1;1
129175102;174944179;e958668d-1099-48f0-88fb-5a2b4fd1f6c4;689697769;17;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
70438491;100574639;af8111c7-612e-43c1-857b-ea7bd130d6ea;182079794;12А;2;10;0;129175110;2025-09-29;2021-03-15;2025-09-29;0;0
129175112;174944203;e7316e3f-e9ce-43fa-8361-ed88aebda881;689697798;12А;2;61;129175110;0;2025-09-29;2025-09-29;2079-06-06;1;1
129175137;174944435;9917339e-9c6d-4e72-ba3a-bc68ca2b8112;689698535;46;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129175229;174945019;a9dcd491-49d8-4fad-a322-2204dbd130aa;689700875;54/2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129178276;174953563;14671c37-2433-45b5-9b14-3239b172def6;689719679;14А;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129178275;174953557;159dcb9f-d810-4a77-9279-fc1a20f66450;689719672;25А;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129180168;174959412;15e0df79-f4f7-45ca-94f3-5df471d2942b;689734009;37А;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129180288;174960242;ee2bf640-dca8-45cb-b1d0-04c462188cdc;689735402;13;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129180466;174960643;b77f37ee-eefd-412c-84a7-ec78e037588a;689736620;1Б;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129180591;174960976;80759a3d-45df-4592-a34e-9ccbea2c1b85;689737335;9;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129182692;60985479;8e6e9374-73be-43fb-9033-5aadc3a11cf8;689750726;20;5;20;61471187;;2025-09-30;2025-09-30;2079-06-06;1;1
129183120;174968229;3a4eb38b-d124-421c-aac9-ef5e868d0183;689753561;6;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183333;174968875;5272324c-2134-40bf-b4ec-46114d2a886f;689755395;1;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183435;174969246;b1240441-e122-441a-895f-769c1f2647e6;689756048;25;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183543;174969632;cfc29727-2b8b-42f9-a816-b25874b56946;689756779;78;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183865;174970520;68af93f0-e7a8-4215-a7f2-a6a4344669c4;689776901;11;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
38859812;64577165;b4f90d4b-f73a-4864-9b97-63b8237720ae;96338562;21;2;10;0;129183907;2025-09-30;2018-04-18;2025-09-30;0;0
129183925;174970734;fe4af6be-c720-4ccb-b13d-ca900a9d5809;689777276;1;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183927;174970736;71ee422c-e3ee-45bc-94ee-f477612834ce;689777278;1;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183931;174970745;a0cb29ee-c33c-4322-8bc5-35b7e7b23767;689777305;1;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183933;174970747;d4617a41-d6f3-4301-b150-858fd02951da;689777307;1;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183935;174970749;4bc9470a-9a9a-4cf7-b2e7-96b11259fae6;689777309;1;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183937;174970751;a2a2f5d1-0722-40f0-902a-70981bef6328;689777311;1;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183939;174970753;aaf90d18-a678-4858-b4c8-fad4680f01c2;689777313;1;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183941;174970755;c590d0db-fb1d-4b18-80b3-fb466e5e3e8b;689777315;1;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183943;174970757;173c765c-d827-4a14-8094-7bac5e6c5422;689777317;1;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183945;174970760;ec61d090-16b9-4769-aa93-26b04ce3799d;689777329;5Б;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129188713;174985307;91920f76-953d-46cd-bb77-9c915ffd36aa;689808082;11;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129188957;174985890;fdd3cdaa-f9cc-4660-94e5-be2be21786e3;689809325;3;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129188977;174985990;552228e0-1261-4c62-9c5e-b382a289300f;689809514;11/19;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129188971;174985981;99b03526-c121-4c54-b407-e2c85f81ee8e;689809495;24А;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129190318;174990195;b2e9e5e8-ea73-4b68-8b71-a55e50a74485;689816738;36Б;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129190319;100835583;b773419e-1e4d-4a93-be62-d477993d7e3f;689816739;36;2;20;71186139;;2025-10-01;2025-10-01;2079-06-06;1;1
129191140;174991967;24bfbff8-3ecf-4e7d-a69c-3c9f21739f37;689819948;10;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191162;174992026;ac30a13a-6606-4055-86b6-9ef50443abe6;689820028;15;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191184;174992101;8a79e202-ac49-477e-848c-9372acb164ff;689820119;50;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191593;174992952;77e9189c-d5bf-495f-bf64-7029eae928f1;689825477;7;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
