ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644452484;174919551;689645532;0;1;3900;2025-09-29;2025-09-29;2079-06-06
1644452486;174919551;689645532;0;6;27203000047;2025-09-29;2025-09-29;2079-06-06
1644452488;174919551;689645532;0;8;39:01:030102:77;2025-09-29;2025-09-29;2079-06-06
1644452490;174919551;689645532;0;13;277030004710000000610038000000000;2025-09-29;2025-09-29;2079-06-06
1644452477;174919550;689645531;0;2;3900;2025-09-29;2025-09-29;2079-06-06
1644452479;174919550;689645531;0;7;27503000111;2025-09-29;2025-09-29;2079-06-06
1644452481;174919550;689645531;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644452483;174919550;689645531;0;21;27503000;2025-09-29;2025-09-29;2079-06-06
1644452493;174919552;689645533;0;2;3900;2025-09-29;2025-09-29;2079-06-06
1644452495;174919552;689645533;0;7;27503000241;2025-09-29;2025-09-29;2079-06-06
1644452536;174919569;689645551;0;1;3900;2025-09-29;2025-09-29;2079-06-06
1644452538;174919569;689645551;0;6;27420000002;2025-09-29;2025-09-29;2079-06-06
1644452540;174919569;689645551;0;8;39:17:030012:35;2025-09-29;2025-09-29;2079-06-06
1644452542;174919569;689645551;0;13;277340001110000002110001000000000;2025-09-29;2025-09-29;2079-06-06
1644452496;174919552;689645533;0;8;39:01:041001:1711;2025-09-29;2025-09-29;2079-06-06
1644452498;174919552;689645533;0;13;277030002360008001110002000000000;2025-09-29;2025-09-29;2079-06-06
1644452544;174919570;689645552;0;1;3900;2025-09-29;2025-09-29;2079-06-06
1644452546;174919570;689645552;0;6;27203000046;2025-09-29;2025-09-29;2079-06-06
1644452548;174919570;689645552;0;8;39:01:020107:349;2025-09-29;2025-09-29;2079-06-06
1644452550;174919570;689645552;0;13;277030003760000000210042000000000;2025-09-29;2025-09-29;2079-06-06
1644452608;174919590;689645572;0;1;3900;2025-09-29;2025-09-29;2079-06-06
1644452610;174919590;689645572;0;6;27203000046;2025-09-29;2025-09-29;2079-06-06
1644452612;174919590;689645572;0;8;39:01:020112:159;2025-09-29;2025-09-29;2079-06-06
1644452614;174919590;689645572;0;13;277030003760000002810007000000000;2025-09-29;2025-09-29;2079-06-06
1644452624;174919592;689645574;0;1;3900;2025-09-29;2025-09-29;2079-06-06
1644452626;174919592;689645574;0;6;27203000079;2025-09-29;2025-09-29;2079-06-06
1644452628;174919592;689645574;0;8;39:01:041001:476;2025-09-29;2025-09-29;2079-06-06
1644452630;174919592;689645574;0;13;277030002360005001910004000000000;2025-09-29;2025-09-29;2079-06-06
1644486643;174924391;689652911;0;1;3900;2025-09-29;2025-09-29;2079-06-06
1644486645;174924391;689652911;0;3;3917;2025-09-29;2025-09-29;2079-06-06
1644486647;174924391;689652911;0;6;27209000115;2025-09-29;2025-09-29;2079-06-06
1644486649;174924391;689652911;0;8;39:03:060302:73;2025-09-29;2025-09-29;2079-06-06
1644486651;174924391;689652911;0;13;277070005160000003710003000000000;2025-09-29;2025-09-29;2079-06-06
1644487288;174924496;689653076;0;1;3900;2025-09-29;2025-09-29;2079-06-06
1644487290;174924496;689653076;0;3;3917;2025-09-29;2025-09-29;2079-06-06
1644487292;174924496;689653076;0;6;27209000040;2025-09-29;2025-09-29;2079-06-06
1644487294;174924496;689653076;0;8;39:03:060012:1866;2025-09-29;2025-09-29;2079-06-06
1644487296;174924496;689653076;0;13;277070004310000005410020000000000;2025-09-29;2025-09-29;2079-06-06
1644487501;174924518;689653123;0;1;3900;2025-09-29;2025-09-29;2079-06-06
1644487503;174924518;689653123;0;3;3917;2025-09-29;2025-09-29;2079-06-06
1644487505;174924518;689653123;0;6;27209000040;2025-09-29;2025-09-29;2079-06-06
1644487507;174924518;689653123;0;8;39:03:060012:775;2025-09-29;2025-09-29;2079-06-06
1644487509;174924518;689653123;0;13;277070004310000002510015000000000;2025-09-29;2025-09-29;2079-06-06
1644527294;174930267;689669137;0;1;3900;2025-09-29;2025-09-29;2079-06-06
1644527296;174930267;689669137;0;3;3905;2025-09-29;2025-09-29;2079-06-06
1644527298;174930267;689669137;0;6;27401000000;2025-09-29;2025-09-29;2079-06-06
1644527300;174930267;689669137;0;8;39:15:131412:482;2025-09-29;2025-09-29;2079-06-06
1644527302;174930267;689669137;0;13;277010000010000056110186000000000;2025-09-29;2025-09-29;2079-06-06
1644527650;174930306;689669212;0;1;3900;2025-09-29;2025-09-29;2079-06-06
1644527652;174930306;689669212;0;3;3917;2025-09-29;2025-09-29;2079-06-06
1644527654;174930306;689669212;0;6;27209000097;2025-09-29;2025-09-29;2079-06-06
1644527656;174930306;689669212;0;8;39:03:040502:392;2025-09-29;2025-09-29;2079-06-06
1644527658;174930306;689669212;0;13;277070007660000000110081000000000;2025-09-29;2025-09-29;2079-06-06
