OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
28812637;0680ee81-b51b-418b-98d2-5e512799a3da;689751033;1;10;2017-12-18;2025-09-30
65220490;7f4e22c8-b3e5-4587-ade5-00ed4f46ba36;689758267;1;10;2016-11-25;2025-09-30
62343105;9a0b90bf-b849-462d-ae20-fe0cc71ae80c;689790391;1;10;2017-12-18;2025-10-01
15039127;1537d517-f92c-4329-8a8c-06fe58870dfa;689786999;0;10;2017-12-17;2025-10-01
14972636;0319dfa1-cd85-423b-ae8f-fac38a850f47;689793997;0;10;2013-03-09;2025-10-01
14957794;497291e9-638e-440a-8eb7-4918c9dbaf18;689793986;0;10;2013-03-09;2025-10-01
6981969;6d79ffb5-5415-4466-84e0-86c4c99c1f56;689723457;1;10;2019-07-10;2025-09-30
2610411;e02971b3-b18a-4c1a-b66d-ea31199bf07e;689752285;1;10;2016-06-09;2025-09-30
27142556;43b6e121-fff9-4d90-89bb-170466d6ecc4;689752245;1;10;2017-12-17;2025-09-30
50416363;05840434-3b76-4ce8-8234-4c5aae99353e;689799620;0;10;2017-12-18;2025-10-01
36488198;02b2ad0c-d193-4d6a-8fcc-ececbf2309af;689817944;1;10;2017-12-18;2025-10-01
2062568;0264a3d2-7e74-4197-a21e-ef67ca195565;689671529;0;11;2017-01-29;2025-09-29
68704597;d6db72f2-0b44-4383-a4cb-2643dbd8865b;689742322;1;10;2018-08-26;2025-09-30
74075127;fe754d30-d5ad-4a0f-b785-84d53689cd7c;689741414;1;10;2017-12-18;2025-09-30
36330582;7147c468-3093-4267-8028-9932b77d1e8e;689759114;1;10;2017-12-18;2025-09-30
50515226;af7a45c5-6bd5-49b1-8b8e-d78ef053679b;689754938;1;11;2017-06-07;2025-09-30
52338752;31355fda-ee67-4f5b-ac11-3b899d0c0fc3;689790227;1;11;2018-06-29;2025-10-01
14124886;ad673dbc-1e70-40e9-b6ba-99ab19cbb7f3;689700532;1;10;2019-07-10;2025-09-29
26160892;7461038d-6c34-44d2-bd0d-1303f0861f63;689758808;1;10;2016-12-01;2025-09-30
38124406;4954d556-25e5-4f5e-9a23-786cdf66d8c0;689817901;1;10;2018-01-09;2025-10-01
53816604;e767544d-95bf-4bd9-ac4a-adb01ffa46f5;689646805;1;10;2019-07-10;2025-09-29
83486331;c641bfc2-a7fd-452d-9b64-41ad57d43d87;689758775;1;10;2019-07-10;2025-09-30
58594319;0ea9bed2-c129-4acd-a8e2-624f37ccfff6;689753336;1;10;2017-12-18;2025-09-30
56272058;725cc967-cce9-4b27-a3f0-da61e9b3d102;689646982;1;10;2017-12-18;2025-09-29
53939458;eb6b88cf-6239-41ce-b882-56fb6e95ee91;689646808;1;10;2019-07-10;2025-09-29
58904562;9679a8e8-994c-44af-847c-1d09197a9e9a;689750947;1;10;2017-12-17;2025-09-30
59530638;97dbc019-fb7c-4002-bade-256b8afbd149;689789987;1;11;2017-05-29;2025-10-01
59908844;c314f344-5c0a-4797-ad0b-2b0525c696f4;689738141;1;10;2019-03-01;2025-09-30
15044786;82eb04e0-85b0-4b5f-a36b-1ca4c03c0138;689794012;0;10;2017-12-17;2025-10-01
14997413;826b82ea-4aa7-48b1-8441-b61c0af11666;689786996;0;10;2013-03-09;2025-10-01
64652119;6858436a-0272-4314-b5b4-97469bd16af0;689790339;1;11;2017-05-30;2025-10-01
65119775;6ded745b-c9b0-457a-a1a8-fa10ba1dcb6e;689789985;1;11;2017-04-11;2025-10-01
174108538;92090455-0087-4eac-92ea-5f803e7ded2f;689691313;1;9;2025-08-19;2025-09-29
87149067;6a032180-4c90-4c61-b8e3-af9b4ecc4c0d;689813260;1;9;2019-01-18;2025-10-01
39091344;0b1f7b24-d8e1-4dea-9bed-e2e4de23c1f0;689675263;1;10;2017-12-18;2025-09-29
166973066;2342c8ea-c4ee-41ac-920a-3a81e45ba6eb;689796712;1;10;2024-10-31;2025-10-01
87143705;45f4a08f-5dcf-43ce-86d8-5856f84b50f6;689813254;1;9;2019-01-18;2025-10-01
6982589;228c0c82-8422-448c-b00b-17c45d150d72;689740329;1;10;2017-12-17;2025-09-30
26497471;2a6250cb-2dc3-4cb7-ac21-395a5eff990c;689646999;1;10;2019-07-10;2025-09-29
6978712;121d5aaf-9ba3-4e6c-82e1-84589eba54dd;689735562;1;10;2019-07-10;2025-09-30
20446719;17ebea04-3ca9-4d39-aec0-f6443a590238;689789992;1;11;2017-05-29;2025-10-01
21475385;1d200a1a-c4d2-4c64-a244-a45602bbf137;689790359;1;10;2017-12-18;2025-10-01
14080336;35d5bc6f-92c4-4181-8180-2c9cb863cfd0;689730111;0;10;2019-07-10;2025-09-30
174917418;31caa859-9cc3-4592-9e86-b2878e7db0ed;689640827;1;11;2025-09-29;2025-09-29
174920098;f1cfb079-3b89-4cf9-a06c-0ed8fdcf4265;689646279;1;11;2025-09-29;2025-09-29
23443010;29196fba-944b-498d-b07c-4877e6449209;689649316;1;10;2019-07-10;2025-09-29
174922274;41003add-e8eb-4968-9c9d-4cff49e6ae6b;689649839;1;10;2025-09-29;2025-09-29
174928664;8492c8b6-a515-4d91-a713-d14147905bdf;689665897;1;9;2025-09-29;2025-09-29
174930488;ca5997a8-93ca-406d-b687-1461cf5b4281;689669652;1;10;2025-09-29;2025-09-29
174930525;f8eb0ef6-8b6f-4c4c-b6ac-d962c85c57e1;689669812;1;9;2025-09-29;2025-09-29
174930570;fd7216e1-c13b-4dc8-9657-f5c29515d492;689669872;1;10;2025-09-29;2025-09-29
174930781;573398ff-ee15-46e7-88e9-2aa3c674b518;689670213;1;10;2025-09-29;2025-09-29
16407803;99598f16-69fc-4a54-b4a6-ba5fe6700ad2;689670331;0;11;2018-12-14;2025-09-29
174930873;51b69b48-7e68-4b87-ab33-95b846ed3bad;689670375;1;11;2025-09-29;2025-09-29
174931588;025fc7bc-9da2-4150-b1e8-cf186ca1409a;689671585;1;10;2025-09-29;2025-09-29
71279334;6808dfab-94a5-4851-a70e-e02204fe363c;689671936;0;11;2019-07-14;2025-09-29
71278736;00e8b644-8420-4200-a12e-4c0a8b58eecf;689671938;0;10;2019-07-10;2025-09-29
174931817;ee79911d-fa16-46a4-a842-ddfe72948d03;689672183;1;9;2025-09-29;2025-09-29
174933763;96203086-6f3b-4940-ab10-798833f73f63;689675398;1;9;2025-09-29;2025-09-29
174932401;d71b4a43-f55c-41ef-afe5-d97e8f319246;689673181;1;9;2025-09-29;2025-09-29
174932431;e8257b81-41f8-41b9-af62-00800f412ef5;689673215;1;10;2025-09-29;2025-09-29
174932436;a0dd9fc7-022a-464a-982c-6d2341f26c0d;689673224;1;10;2025-09-29;2025-09-29
174935620;928b8338-fa7c-4f68-b45e-81769b3acb0e;689679922;1;10;2025-09-29;2025-09-29
174935174;0b82a8bd-c65b-4ff1-9fd4-e2164b866f64;689679131;1;9;2025-09-29;2025-09-29
174939468;94008244-98dd-4c50-9e3f-19b893b61e6a;689688555;1;10;2025-09-29;2025-09-29
174939810;cbe50594-5383-4b86-bdf4-b047a8ee655a;689689445;1;11;2025-09-29;2025-09-29
174940380;68788af5-63ce-4ffd-a388-36f671b1d9c5;689690864;1;9;2025-09-29;2025-09-29
174940449;29d9c934-0994-4842-95c5-8a6a698f9709;689690963;1;9;2025-09-29;2025-09-29
174940528;566d932e-1b7b-4b59-a7ef-78ffec745828;689691158;1;10;2025-09-29;2025-09-29
5230360;7e075b1c-8c9a-4e26-941b-f1597bc31490;689752114;1;10;2017-12-18;2025-09-30
174940578;e70baff3-5b8c-44c6-a005-552402015ef0;689691235;1;11;2025-09-29;2025-09-29
174940623;748e7d63-bd1e-4842-8885-0697ff1e30ae;689691310;1;9;2025-09-29;2025-09-29
174940715;fa58646a-3333-4cf7-b72e-d2d1ea5ebba6;689691523;1;9;2025-09-29;2025-09-29
174941255;9ba1faf0-9da2-4926-b8e0-aea0cd932823;689692592;1;9;2025-09-29;2025-09-29
174942386;6e8f25f8-c97d-4404-922e-3e94ea05bbe3;689694773;1;9;2025-09-29;2025-09-29
174943761;993aff32-d127-4582-9ccf-06a79335973f;689697100;1;10;2025-09-29;2025-09-29
174944020;aea068af-33b9-431b-a010-eecfdcf6d5d0;689697442;1;9;2025-09-29;2025-09-29
174944463;0af203f7-d580-4695-8bcf-bbbd57340d39;689698591;1;11;2025-09-29;2025-09-29
174944465;1e25dd91-ce65-4770-944d-00dcdd2d4ec2;689698593;1;11;2025-09-29;2025-09-29
174944467;a8325d14-b2fd-4a42-8239-0bc77752ed46;689698595;1;11;2025-09-29;2025-09-29
174944469;846c3dfe-4aca-44d8-880f-2c72cae7656b;689698597;1;11;2025-09-29;2025-09-29
174944471;fa25159d-32c4-45a7-b949-690305d5f997;689698599;1;11;2025-09-29;2025-09-29
174944895;2d6e2943-5c00-4af1-a170-47447c043d1c;689700007;1;11;2025-09-29;2025-09-29
174944897;9b15f8da-6401-49c3-8da1-adcb88126845;689700009;1;11;2025-09-29;2025-09-29
174944899;e8166559-53f7-4dd6-b5a5-858be4956bb0;689700011;1;11;2025-09-29;2025-09-29
