ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
510717025;88648591;130994699;689754888;15;39;2025-09-30;2018-12-27;2025-09-30
1478224106;87460886;572748876;689649800;8;40:20:050601:259;2025-09-29;2023-11-13;2025-09-29
1644472417;87460886;689649800;0;13;296384121010000001610001000000010;2025-09-29;2025-09-29;2079-06-06
1644514534;174928664;689665897;0;2;4000;2025-09-29;2025-09-29;2079-06-06
1644514536;174928664;689665897;0;7;29606432226;2025-09-29;2025-09-29;2079-06-06
1644514538;174928664;689665897;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644514540;174928664;689665897;0;21;29606432;2025-09-29;2025-09-29;2079-06-06
1644529674;174930524;689669811;0;2;4000;2025-09-29;2025-09-29;2079-06-06
1644529676;174930524;689669811;0;7;29613424101;2025-09-29;2025-09-29;2079-06-06
1644529678;174930524;689669811;0;15;25;2025-09-29;2025-09-29;2079-06-06
1644529680;174930524;689669811;0;21;29613424;2025-09-29;2025-09-29;2079-06-06
1644529682;174930525;689669812;0;2;4000;2025-09-29;2025-09-29;2079-06-06
1644529684;174930525;689669812;0;7;29613424101;2025-09-29;2025-09-29;2079-06-06
1644529686;174930525;689669812;0;15;26;2025-09-29;2025-09-29;2079-06-06
1644529688;174930525;689669812;0;21;29613424;2025-09-29;2025-09-29;2079-06-06
1644529690;174930526;689669813;0;2;4000;2025-09-29;2025-09-29;2079-06-06
1644529692;174930526;689669813;0;7;29613424101;2025-09-29;2025-09-29;2079-06-06
1644529694;174930526;689669813;0;15;27;2025-09-29;2025-09-29;2079-06-06
1644529696;174930526;689669813;0;21;29613424;2025-09-29;2025-09-29;2079-06-06
1644537591;174931817;689672183;0;2;4000;2025-09-29;2025-09-29;2079-06-06
1644537593;174931817;689672183;0;7;29701000001;2025-09-29;2025-09-29;2079-06-06
1644537595;174931817;689672183;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644537597;174931817;689672183;0;21;29701000;2025-09-29;2025-09-29;2079-06-06
1644541633;174932401;689673181;0;2;4000;2025-09-29;2025-09-29;2079-06-06
1644541635;174932401;689673181;0;7;29613424101;2025-09-29;2025-09-29;2079-06-06
1644541637;174932401;689673181;0;15;28;2025-09-29;2025-09-29;2079-06-06
1644541639;174932401;689673181;0;21;29613424;2025-09-29;2025-09-29;2079-06-06
1644541641;174932402;689673182;0;2;4000;2025-09-29;2025-09-29;2079-06-06
1644541643;174932402;689673182;0;7;29613424101;2025-09-29;2025-09-29;2079-06-06
1644541645;174932402;689673182;0;15;29;2025-09-29;2025-09-29;2079-06-06
1644541647;174932402;689673182;0;21;29613424;2025-09-29;2025-09-29;2079-06-06
1644542288;174932482;689673279;0;2;4000;2025-09-29;2025-09-29;2079-06-06
1644542290;174932482;689673279;0;7;29701000001;2025-09-29;2025-09-29;2079-06-06
1644542292;174932482;689673279;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644542294;174932482;689673279;0;21;29701000;2025-09-29;2025-09-29;2079-06-06
1644551370;174933763;689675398;0;2;4000;2025-09-29;2025-09-29;2079-06-06
1644551372;174933763;689675398;0;7;29632408101;2025-09-29;2025-09-29;2079-06-06
1644551374;174933763;689675398;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644551376;174933763;689675398;0;21;29632408;2025-09-29;2025-09-29;2079-06-06
1644560875;174935174;689679131;0;2;4000;2025-09-29;2025-09-29;2079-06-06
1644560877;174935174;689679131;0;7;29638412101;2025-09-29;2025-09-29;2079-06-06
1644560879;174935174;689679131;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644560881;174935174;689679131;0;21;29638412;2025-09-29;2025-09-29;2079-06-06
1644561020;174935190;689679163;0;2;4000;2025-09-29;2025-09-29;2079-06-06
