ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
21378676;36697221;cc96e384-b887-4cd4-8045-f58255985916;55702165;1;2;10;0;111790753;2025-09-29;2018-10-01;2025-09-29;0;0
24876904;42367113;bd1bb090-f1a0-4736-af3d-15acf8c0822e;64008282;2;2;10;0;111805381;2025-09-30;2018-10-24;2025-09-30;0;0
31318931;52755287;e4a1e997-7bc3-4b11-a4a6-a5f2c102b22e;79012496;1;2;10;0;111790768;2025-09-29;2018-10-23;2025-09-29;0;0
43465610;72801524;80678c86-ff12-48ec-81fb-06cef3c526f3;108405833;1;2;10;0;111805372;2025-09-30;2018-12-25;2025-09-30;0;0
111790754;36697242;ebb9c794-c921-48a7-8255-74e5bf91333a;689622864;2;2;30;21378695;0;2025-09-29;2025-09-29;2079-06-06;1;0
21570967;37021458;6f6cd5ab-4c82-49ed-84b0-5c3df62e2125;56184353;2;2;10;0;111790755;2025-09-29;2018-08-24;2025-09-29;0;0
21571077;37021613;cd15ecf2-219e-4614-9a82-1697ab370277;56184583;1;2;10;0;111790756;2025-09-29;2018-08-24;2025-09-29;0;0
37973257;63746003;6102638a-9768-4115-ba0a-37730a0500ca;95115880;1;2;10;0;111790757;2025-09-29;2018-08-24;2025-09-29;0;0
37973269;63746081;f46b418c-b90b-4c0f-a49a-f1c4243e4d38;95116036;2;2;10;0;111790758;2025-09-29;2018-08-24;2025-09-29;0;0
21376614;36693117;cf6fe194-b0a9-4420-ab9e-8f53687405c1;55695646;1;2;10;0;111790760;2025-09-29;2018-08-31;2025-09-29;0;0
21376645;36693172;e537ecf8-3d50-4817-85cd-e976d4a0f18e;55695760;2;2;10;0;111790761;2025-09-29;2018-08-31;2025-09-29;0;0
30126004;50859472;6f194982-592e-4e5a-9d21-cc23ba9f69dd;76290236;1;2;10;0;111790759;2025-09-29;2018-11-21;2025-09-29;0;0
30127626;50861721;ce7b8a3e-7a0d-462f-b612-a86dbc26484e;76293069;2;2;10;0;111790762;2025-09-29;2018-11-21;2025-09-29;0;0
21382968;36704697;4b2912de-95cc-40f1-9d63-eedde39bcc1a;55713563;2;2;10;0;111790763;2025-09-29;2018-08-30;2025-09-29;0;0
21383215;36705242;ad5c65c5-5232-41b6-a1e7-fcf3db542a3b;55714366;1;2;10;0;111790764;2025-09-29;2018-08-30;2025-09-29;0;0
18367250;31776099;1a36db69-9750-4538-bc49-07bba13a8e30;48572099;1;2;10;0;111790765;2025-09-29;2018-10-12;2025-09-29;0;0
18367401;31776286;4b15a4f2-923b-428e-8f12-baf8e477a0e1;48572360;2;2;10;0;111790766;2025-09-29;2018-10-12;2025-09-29;0;0
31318916;52755271;61ce8c82-f477-489a-864e-d858eaf813ce;79012473;2;2;10;0;111790767;2025-09-29;2018-10-23;2025-09-29;0;0
111790963;29398187;278c2727-939a-49c5-8625-68992056e56d;689623213;3;1;20;16912324;;2025-09-29;2025-09-29;2079-06-06;1;1
111805369;79265740;269ec9f7-a309-4411-83d9-bdec21d3a90e;689701104;2;2;30;47415099;0;2025-09-30;2025-09-30;2079-06-06;1;0
111805370;79265768;4e60e3c7-8576-41e6-bc8c-8ab4595ec179;689701105;1;2;30;47415113;0;2025-09-30;2025-09-30;2079-06-06;1;0
111805371;72801508;183a1976-2775-40da-89e2-3621f14081de;689701106;2;2;30;43465597;0;2025-09-30;2025-09-30;2079-06-06;1;0
111805373;28612933;b3f30c8e-5737-4db3-a69a-b38ea4807c3c;689701108;1;2;30;16416381;0;2025-09-30;2025-09-30;2079-06-06;1;0
111805374;28613179;b8c446aa-fd52-494b-b0a5-6b27ec66aa32;689701109;2;2;30;16416528;0;2025-09-30;2025-09-30;2079-06-06;1;0
111805375;28614418;43d109cc-01a7-44fe-9612-6a73352033bc;689701110;1;2;30;16417184;0;2025-09-30;2025-09-30;2079-06-06;1;0
