ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
14202458;24067965;894389bc-627f-4b0f-b515-208e2051a7fb;37338278;14;2;10;0;129175625;2025-09-30;1900-01-01;2025-09-30;0;0
25306766;42360663;14f23dae-d0b1-4795-9f10-7fd2bd13cc70;63999084;10;2;10;0;129175283;2025-09-30;1900-01-01;2025-09-30;0;0
129164195;174908899;7c71394a-526b-492e-8239-6086660dc6ea;689622880;9е;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
21856362;36695763;c4fe2780-a8a2-4072-bce5-d3485ad9f89b;55699955;26;2;10;0;129164196;2025-09-29;1900-01-01;2025-09-29;0;0
66150745;37020666;d080e6ac-c8e7-45de-b9ec-88ad30933694;56184066;81;2;20;22067634;129164197;2025-09-29;2013-01-24;2025-09-29;0;0
38329691;63745411;467b5552-81de-4081-81fc-c6cf596c977e;95114757;1;2;10;0;129164198;2025-09-29;1900-01-01;2025-09-29;0;0
21853627;36692533;7dc81a75-f512-4bdc-9c8a-7c5ca289ffde;55694772;28;2;10;0;129164199;2025-09-29;1900-01-01;2025-09-29;0;0
129164201;50858877;52950da2-7987-4eca-883f-ab5ae1909166;689622886;141;2;30;30398584;0;2025-09-29;2025-09-29;2079-06-06;1;0
129164228;36702798;5e7eacd0-4c4a-4857-afeb-ff5eaae3be0c;689623206;1;2;30;21860910;0;2025-09-29;2025-09-29;2079-06-06;1;0
18881332;31775169;358a32e0-d456-4402-b844-ed2742b1be6d;48570748;5а;2;10;0;129164230;2025-09-29;1900-01-01;2025-09-29;0;0
31508528;52753974;5062a575-bf35-4832-b695-219c7e72b0e7;79010685;15;2;10;0;129164229;2025-09-29;1900-01-01;2025-09-29;0;0
129175260;79265078;72b94b70-2aa1-49c6-8160-68ffbd7da38f;689701192;35;2;30;47902350;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175261;72800808;cf29901b-afce-4116-838c-7796df2e78b6;689701193;24;2;30;43944949;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175262;28611549;32351ace-3256-4f3d-b95b-0caa2c83a4ad;689701194;18;2;30;16970021;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175264;42199973;4f726b8d-1eb8-4a34-9577-457e78bd6458;689701196;16;2;30;25220444;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175266;78795654;938cb56c-b888-41d3-a805-11640a29f52c;689701198;10;2;30;47601767;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175263;28613463;bff2a592-f2fb-4326-9a93-22dd0251f5c8;689701195;20;2;30;16971188;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175265;47912298;95b3bd53-c14b-48e5-aa59-85adfef6be3f;689701197;13-15;2;30;28634928;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175283;42360663;14f23dae-d0b1-4795-9f10-7fd2bd13cc70;689701369;10;2;30;25306766;0;2025-09-30;2025-09-30;2079-06-06;1;0
45433260;75253126;154a805e-b1b8-4d73-ac9c-0dfa9de9a423;111961925;8;2;10;0;129175284;2025-09-30;1900-01-01;2025-09-30;0;0
129175296;52777743;dbb67c2a-209d-43dc-9e14-89fdc7934dd8;689701850;26;2;30;31522690;0;2025-09-30;2025-09-30;2079-06-06;1;0
129175297;75268750;5fcb55e4-01e1-45c9-b6d0-81f73b58f016;689701851;1;2;30;45442553;0;2025-09-30;2025-09-30;2079-06-06;1;0
31518805;52771027;24c0c2e9-3e9c-4161-ab58-78ddc3c09df1;79035376;24;2;10;0;129175624;2025-09-30;1900-01-01;2025-09-30;0;0
129183950;174970776;5b843eb2-bc6f-42f8-97af-e1cabcac16c0;689777388;36;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129183951;43224849;b7d135ad-56ef-4d44-b38a-1446b4b23c4e;689777390;17;2;20;25817857;;2025-10-01;2025-10-01;2079-06-06;1;1
129183953;174970782;1f624bc2-1649-48b0-ae44-374ca1187994;689777397;104;5;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129184051;174971079;5bf87c62-8af7-4785-9040-4eaab4439d95;689778032;17;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129184053;174971081;4debbb67-3f84-4a9b-9087-7a50bd71c99a;689778034;17;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129184481;58352147;c9940271-64fe-4614-bde1-eec9a73dda9d;689780068;29;2;30;34944850;0;2025-10-01;2025-10-01;2079-06-06;1;0
129184496;174972008;5218c59e-d250-4d20-887b-0952cb05e74a;689780115;26/1;5;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
