ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1605044500;6061655;643957181;689628081;8;42:13:0114001:1607;2025-09-29;2025-04-07;2025-09-29
1333057238;6047927;463333483;689628087;8;42:13:0114001:3069;2025-09-29;2022-11-11;2025-09-29
1644390340;174911298;689628122;0;8;42:13:0114001:3168;2025-09-29;2025-09-29;2079-06-06
1644390342;174911298;689628122;0;13;326281600510000001840024000200000;2025-09-29;2025-09-29;2079-06-06
1644390321;174911295;689628119;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644390461;174911311;689628143;0;8;42:13:0114001:3334;2025-09-29;2025-09-29;2079-06-06
1644390463;174911311;689628143;0;13;326281600510000001840021000500000;2025-09-29;2025-09-29;2079-06-06
1644404621;174912963;689631837;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644404623;174912964;689631838;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644404625;174912965;689631839;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644404627;174912966;689631840;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644404629;174912967;689631841;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644488406;174924706;689653348;0;8;42:01:0101001:5093;2025-09-29;2025-09-29;2079-06-06
1644488408;174924706;689653348;0;13;326014511010000004740033000200000;2025-09-29;2025-09-29;2079-06-06
1644498125;174926222;689655967;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644516732;174928983;689666431;0;8;42:32:0103013:33779;2025-09-29;2025-09-29;2079-06-06
1644516734;174928983;689666431;0;13;327370000010000120140122000700000;2025-09-29;2025-09-29;2079-06-06
1644529266;174930480;689669640;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644529268;174930481;689669641;0;8;42:26:0202001:1878;2025-09-29;2025-09-29;2079-06-06
1644529270;174930481;689669641;0;13;327190000010000070640008000200000;2025-09-29;2025-09-29;2079-06-06
1644529272;174930482;689669642;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644529274;174930483;689669643;0;8;42:26:0202001:1876;2025-09-29;2025-09-29;2079-06-06
1644529276;174930483;689669643;0;13;327190000010000070640008000400000;2025-09-29;2025-09-29;2079-06-06
1644562989;174935400;689679544;0;15;1;2025-09-29;2025-09-29;2079-06-06
