ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27406750;О присвоении адреса земельному участка;2025-09-22;736-р;15;2;2025-09-29;АДМИНИСТРАЦИЯ ТАШТАГОЛЬСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;2025-09-29
27406947;О внесении изменений по объекту адресации;2025-09-29;T-28944496;21;4;2025-09-29;АДМИНИСТРАЦИЯ ТИСУЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27406944;О внесении изменений по объекту адресации;2025-09-29;T-28944486;21;4;2025-09-29;АДМИНИСТРАЦИЯ ТИСУЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27406950;О внесении изменений по объекту адресации;2025-09-29;T-28944518;21;4;2025-09-29;АДМИНИСТРАЦИЯ ТИСУЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27406974;О присвоении адреса земельному участку с кадастровым номером 42:04:0337003:437 и жилому дому с кадастровым номером 42:04:0337003:1298;2025-09-24;3937-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ КЕМЕРОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27406978;О присвоении адреса объекту адресации;2025-09-29;H-28944718;21;3;2025-09-29;АДМИНИСТРАЦИЯ ТИСУЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27407124;"об утверждении сведений об адресах объектов адресации в государственном адресном реестре ";2025-09-29;H-28944621;23;3;2025-09-29;АДМИНИСТРАЦИЯ МЫСКОВСКОГО ГОРОДСКОГО ОКРУГА;2025-09-29
27407135;Об утверждении адресных сведений;2025-09-29;H-28944888;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27407121;О присвоении адреса объекту недвижимости;2025-09-25;475;15;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОКУЗНЕЦКОГО МУНИЦИПАЛЬНОГО ОКРУГА КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССА;2025-09-29
27407129;О присвоении адреса объекту недвижимости;2025-09-25;470;15;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОКУЗНЕЦКОГО МУНИЦИПАЛЬНОГО ОКРУГА КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССА;2025-09-29
27407142;Об уточнении адресных сведений содержащихся в ГАР;2025-09-29;H-28944985;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27407151;Об уточнении адресных сведений содержащихся в ГАР;2025-09-29;H-28945014;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27407158;Об уточнении адресных сведений содержащихся в ГАР;2025-09-29;H-28945044;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27407291;О присвоении адреса объекту недвижимости;2025-09-26;480;15;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОКУЗНЕЦКОГО МУНИЦИПАЛЬНОГО ОКРУГА КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССА;2025-09-29
27407302;О присвоении адреса объекту недвижимости;2025-09-26;479;15;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОКУЗНЕЦКОГО МУНИЦИПАЛЬНОГО ОКРУГА КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССА;2025-09-29
27407287;О присвоении адреса земельному участку;2025-09-11;696-р;15;2;2025-09-29;АДМИНИСТРАЦИЯ ТАШТАГОЛЬСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;2025-09-29
27407313;О присвоении адреса;2025-09-29;473;15;2;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27407330;О внесении изменений по объекту адресации;2025-09-29;T-28945174;24;4;2025-09-29;АДМИНИСТРАЦИЯ АНЖЕРО-СУДЖЕНСКОГО ГОРОДСКОГО ОКРУГА;2025-09-29
27407345;О присвоении адреса объекту недвижимости;2025-09-25;475;15;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОКУЗНЕЦКОГО МУНИЦИПАЛЬНОГО ОКРУГА КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССА;2025-09-29
27407384;О внесении изменений в государственный адресный реестр;2025-09-29;H-28945294;23;3;2025-09-29;АДМИНИСТРАЦИЯ КРАПИВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27407401;О внесении изменений по объекту адресации;2025-09-29;T-28945338;21;4;2025-09-29;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27407623;О присвоении объекту адресации адреса;2025-09-23;1114;15;2;2025-09-29;КОМИТЕТ ГРАДОСТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ АДМИНИСТРАЦИИ ГОРОДА НОВОКУЗНЕЦКА;2025-09-29
27407643;О присвоении объекту адресации адреса;2025-09-22;1110;15;2;2025-09-29;КОМИТЕТ ГРАДОСТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ АДМИНИСТРАЦИИ ГОРОДА НОВОКУЗНЕЦКА;2025-09-29
27407664;О присвоении объекту адресации адреса;2025-09-17;1104;15;2;2025-09-29;КОМИТЕТ ГРАДОСТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ АДМИНИСТРАЦИИ ГОРОДА НОВОКУЗНЕЦКА;2025-09-29
27407873;Об утверждении адресных сведений;2025-09-29;H-28945666;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27407891;О присвоении адреса объекту адресации;2025-09-29;H-28945732;23;3;2025-09-29;АДМИНИСТРАЦИЯ КРАПИВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27407977;О присвоении адреса земельному участку с кадастровым номером 42:04:0208002:12235;2025-09-24;3932-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ КЕМЕРОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27409846;О внесении изменений в государственный адресный реестр в целях актуализации сведений;2025-09-22;1111;15;2;2025-09-29;КОМИТЕТ ГРАДОСТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ АДМИНИСТРАЦИИ ГОРОДА НОВОКУЗНЕЦКА;2025-09-29
27409853;О присвоении объекту адресации адреса;2025-09-17;1102;15;2;2025-09-29;КОМИТЕТ ГРАДОСТРОИТЕЛЬСТВА И АРХИТЕКТУРЫ АДМИНИСТРАЦИИ ГОРОДА НОВОКУЗНЕЦКА;2025-09-29
27410251;"Об утверждении адресных сведений ";2025-09-29;H-28945993;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27410293;О внесении изменений по объекту адресации;2025-09-29;T-28946765;21;4;2025-09-29;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27410559;Об уточнении и внесении адресных объектов в государственный адресный реестр;2025-09-26;74;15;2;2025-09-29;Сосновское территориальное управление администрации Новокузнецкого муниципального округа;2025-09-29
27410964;Об утверждении адресных сведений;2025-09-29;H-28948403;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27411291;О присвоении адреса объекту адресации;2025-09-29;H-28948647;21;3;2025-09-29;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27411398;О присвоении адреса объекту адресации;2025-09-29;H-28948880;15;3;2025-09-29;АДМИНИСТРАЦИЯ БЕЛОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27412069;Об утверждении адресных сведений;2025-09-29;H-28949146;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27412229;Об утверждении адресных сведений;2025-09-29;H-28949446;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27412302;Об утверждении адресных сведений;2025-09-29;H-28949582;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27412720;Об уточнении адресных сведений;2025-09-29;T-28950039;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27412738;Об утверждении адресных сведений;2025-09-29;H-28950074;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27412813;Об уточнении адресных сведений;2025-09-29;T-28950215;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27412825;О присвоении адреса объекту недвижимости;2025-09-26;476;15;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОКУЗНЕЦКОГО МУНИЦИПАЛЬНОГО ОКРУГА КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССА;2025-09-29
27412846;О внесении изменений по объекту адресации;2025-09-29;T-28950295;21;4;2025-09-29;АДМИНИСТРАЦИЯ ЯШКИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27412873;О внесении изменений по объекту адресации;2025-09-29;T-28950353;21;4;2025-09-29;АДМИНИСТРАЦИЯ ЯШКИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27412902;Об утверждении адресных сведений;2025-09-29;H-28950403;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27412929;Об утверждении адресных сведений;2025-09-29;H-28950452;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27412964;О присвоении адреса земельному участку с кадастровым номером 42:04:0211011:650 и жилому дому с кадастровым номером 42:04:0211011:683;2025-09-24;3930-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ КЕМЕРОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27412955;Об утверждении адресных сведений;2025-09-29;H-28950506;24;3;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27412999;Об уточнении адресных сведений;2025-09-29;T-28950584;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27413048;Об уточнении адресных сведений;2025-09-29;T-28950685;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27413088;Об уточнении адресных сведений;2025-09-29;T-28950782;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27413259;Об уточнении адресных сведений;2025-09-29;T-28950845;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27413279;Об уточнении адресных сведений;2025-09-29;T-28950878;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27413323;О внесении изменений по объекту адресации;2025-09-29;T-28950973;21;4;2025-09-29;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27413336;Об уточнении адресных сведений;2025-09-29;T-28951013;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27413343;О внесении изменений по объекту адресации;2025-09-29;T-28951031;21;4;2025-09-29;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27413385;Об уточнении адресных сведений;2025-09-29;T-28951148;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27413404;Об уточнении адресных сведений;2025-09-29;T-28951192;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27413436;О присвоении адреса объекту недвижимости;2025-09-29;488;15;2;2025-09-29;АДМИНИСТРАЦИЯ НОВОКУЗНЕЦКОГО МУНИЦИПАЛЬНОГО ОКРУГА КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССА;2025-09-29
27413427;О внесении изменений по объекту адресации;2025-09-29;T-28951252;21;4;2025-09-29;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27413478;О внесении изменений по объекту адресации;2025-09-29;T-28951370;21;4;2025-09-29;АДМИНИСТРАЦИЯ ЯШКИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27413464;Об уточнении адресных сведений;2025-09-29;T-28951345;24;4;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА ПРОКОПЬЕВСКА;2025-09-29
27413490;О внесении изменений по объекту адресации;2025-09-29;T-28951406;21;4;2025-09-29;АДМИНИСТРАЦИЯ ЯШКИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27413550;О внесении изменений по объекту адресации;2025-09-29;T-28951545;21;4;2025-09-29;АДМИНИСТРАЦИЯ ЯШКИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
