OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
170053560;b39fd102-9e36-44d8-a7ac-33e561a11553;689702458;1;10;2025-02-06;2025-09-30
75778597;f02d53ba-28b0-413d-bcc4-2ac4b207d23b;689740380;1;10;2013-07-22;2025-09-30
164663855;1cc2981b-6cfe-4bc9-82dd-f5d098d2ee29;689703539;1;9;2024-08-13;2025-09-30
159826544;b7ab3dc7-77ae-42ac-980a-e935341f7f99;689780120;1;10;2023-08-29;2025-10-01
101558502;8ac19034-ca40-49f7-8d52-14747438fb7a;689745812;1;10;2021-06-16;2025-09-30
41177425;844e3984-de29-4b82-a698-25fb2082761a;689780647;1;10;2018-09-04;2025-10-01
35230089;3e083044-d30d-4e84-8da8-c5f6235cb483;689779920;1;11;2017-03-23;2025-10-01
86942474;1cfb3416-b8b0-4794-9a7e-18d54f5d50e9;689743881;1;9;2018-12-12;2025-09-30
45144073;0fdbed28-350f-4945-9c04-5df3ffa4b5f5;689706563;1;11;2017-04-12;2025-09-30
174007036;ba82c674-91d8-41bf-b472-73812b015075;689703723;1;9;2025-08-14;2025-09-30
104163446;3e762d96-c7cc-4f4d-aa91-5fe60ce12228;689782359;1;10;2022-04-06;2025-10-01
162377241;4ee340c7-2617-4030-bd2f-fc98b992051e;689745947;1;9;2024-02-07;2025-09-30
4104139;02d9ed35-b871-4cdd-b84c-b31479622bae;689738041;1;10;2017-06-27;2025-09-30
163834775;3375c3da-94f0-43e8-b9c3-cb9c9fd382e8;689779096;1;9;2024-06-10;2025-10-01
174029736;d7314d87-fad9-4bf4-8fc4-03b777272912;689705051;1;9;2025-08-14;2025-09-30
18817274;dc892279-4456-47eb-8069-a4217d55f3ce;689624427;0;11;2019-07-14;2025-09-29
18814739;1b76e8b5-f1c6-4671-9568-cea3c0e35ff9;689624337;0;11;2019-07-14;2025-09-29
163405927;5cac4122-f642-42d3-b11b-ce74370a6838;689703592;1;9;2024-05-02;2025-09-30
169661540;177adb92-dcc3-48f6-a2eb-2fd4be97f83c;689779098;1;9;2025-01-23;2025-10-01
51041813;0fe2e283-6ab2-4b0a-878e-79ba0d8cb2c5;689799485;1;10;2019-07-18;2025-10-01
162153168;e092b2dd-39ad-4eb9-a622-8351160a6630;689779281;1;10;2024-01-23;2025-10-01
104163447;d7acb19f-3f97-48c3-be11-d19a432a6d39;689782435;1;10;2022-04-06;2025-10-01
174676035;7c517454-c77d-4b37-a2c0-79069880468b;689807582;1;9;2025-09-17;2025-10-01
171653507;1e813cc7-c9c8-438e-ac31-66052347dc8e;689702452;1;9;2025-04-14;2025-09-30
101140687;13509017-68dd-4100-bb7e-fcd7c0b7b8dc;689667141;0;10;2021-05-04;2025-09-29
164006756;bffffcbe-c047-4c10-bf31-bd43d18eee50;689779309;1;10;2024-06-26;2025-10-01
174796980;4885b606-7c96-4fa0-82d5-d162e1313971;689799276;1;9;2025-09-23;2025-10-01
161621725;ef061f66-d537-4139-b893-2258c791b3b7;689745944;1;9;2023-12-06;2025-09-30
164653700;372aa74a-0714-4f35-bfa3-17d34fd22518;689649887;1;10;2024-08-13;2025-09-29
163834776;2e882508-5b92-4297-8c99-56730a0f5a6d;689779095;1;10;2024-06-10;2025-10-01
170723967;87f11b62-37c3-471c-a4d1-dc2f796447f0;689628125;1;9;2025-03-03;2025-09-29
172753925;30c51827-8285-4005-81a1-06c195928eee;689702455;1;9;2025-06-09;2025-09-30
170436456;b6abe468-f34a-48fc-8a18-da05d98b02e0;689780601;1;9;2025-02-20;2025-10-01
171927894;ba7dfb70-4bd9-49c5-9ecb-c659d79d5989;689646797;1;9;2025-04-25;2025-09-29
173736771;ba5b2ae0-7a1d-43fe-b181-752855bafe3b;689779312;1;10;2025-07-31;2025-10-01
173900325;a218be41-019b-4204-a1e0-5b383f6c6ec1;689703614;1;9;2025-08-08;2025-09-30
173907477;2f0bb86b-ef45-465f-9bb7-cc26281fc7c0;689703618;1;9;2025-08-08;2025-09-30
35222303;047fa791-ec1d-4490-be22-a11e59da7cc7;689779925;1;11;2017-03-23;2025-10-01
159390811;1dc5fc2e-4cb8-4c44-929b-d310ffff3b4b;689733828;1;10;2023-07-12;2025-09-30
4125475;9ec3b2b6-28e3-45a1-8769-dc6b6d68cc69;689669346;1;12;2017-08-31;2025-09-29
174894512;4510ad93-aec2-43ce-9ddd-06f80e8953b7;689629370;1;10;2025-09-26;2025-09-29
16211516;1b39d1a1-d6d6-4223-beb2-c0837b1c5b9b;689742995;1;10;2017-04-05;2025-09-30
174909734;d9b7a9af-f280-415d-a186-4c908644b81f;689623985;1;9;2025-09-29;2025-09-29
18663716;0510cae3-17b0-4f41-b0c4-4025c8eeccba;689625466;0;11;2019-07-14;2025-09-29
18663910;070aefc6-09b9-4bad-9c1b-0e61ce229706;689625471;0;11;2019-07-14;2025-09-29
18664015;09b71bc2-66ee-4f3f-842d-8c831a6cd584;689625475;0;11;2019-07-14;2025-09-29
