ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644526884;4127927;689669018;0;8;42:32:0101019:6776;2025-09-29;2025-09-29;2079-06-06
1644527076;174930243;689669059;0;8;42:32:0101019:7397;2025-09-29;2025-09-29;2079-06-06
1644527078;174930243;689669059;0;13;327370000010000109140004000001000;2025-09-29;2025-09-29;2079-06-06
1644527445;174930283;689669170;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644527741;4125953;689669304;0;8;42:32:0101019:6774;2025-09-29;2025-09-29;2079-06-06
1644528005;4125475;689669346;0;8;42:32:0101019:6825;2025-09-29;2025-09-29;2079-06-06
1644528566;174930407;689669472;0;8;42:32:0101019:7393;2025-09-29;2025-09-29;2079-06-06
1644528568;174930407;689669472;0;13;327370000010000109140004000001000;2025-09-29;2025-09-29;2079-06-06
1644529047;174930455;689669588;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644529522;174930506;689669772;0;8;42:32:0101019:7491;2025-09-29;2025-09-29;2079-06-06
1644529524;174930506;689669772;0;13;327370000010000109140004000003000;2025-09-29;2025-09-29;2079-06-06
1644530008;174930564;689669861;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644530479;174930617;689669945;0;8;42:32:0101019:2711;2025-09-29;2025-09-29;2079-06-06
1644530481;174930617;689669945;0;13;327370000010000109140004000001000;2025-09-29;2025-09-29;2079-06-06
1644530803;4127920;689670012;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644531241;4126010;689670096;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644531421;4123712;689670141;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644532026;4124580;689670236;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644532515;4127878;689670324;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644532869;4127862;689670389;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644535894;4127869;689671544;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644536041;4125980;689671582;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644536286;4125124;689671677;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644537485;4125108;689672149;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644538534;4125154;689672474;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644539069;4125092;689672709;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644539333;4125175;689672756;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644539521;4124093;689672793;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644539651;4124082;689672822;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644540486;4127497;689672974;0;13;327370000010000109140004000000010;2025-09-29;2025-09-29;2079-06-06
1644542319;174932485;689673288;0;15;13;2025-09-29;2025-09-29;2079-06-06
1644760795;174960192;689735333;0;8;42:32:0101019:2419;2025-09-30;2025-09-30;2079-06-06
1644760797;174960192;689735333;0;13;327370000010000109140006000114000;2025-09-30;2025-09-30;2079-06-06
1644760799;174960193;689735334;0;15;15;2025-09-30;2025-09-30;2079-06-06
1644949995;174982687;689801798;0;15;1;2025-10-01;2025-10-01;2079-06-06
