ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1534546924;166246512;604573476;689672343;8;42:11:0117004:28;2025-09-29;2024-10-14;2025-09-29
1508506302;85392988;592818244;689671534;8;42:09:0503001:287;2025-09-29;2024-04-02;2025-09-29
1537769449;166657545;605383454;689672811;8;42:11:0105004:4;2025-09-29;2024-10-24;2025-09-29
1520271507;163209378;598979047;689703725;8;42:09:1701001:258;2025-09-30;2024-08-01;2025-09-30
1521987907;164760348;599774528;689703530;6;32219868000;2025-09-30;2024-08-19;2025-09-30
1637518217;174029737;657113844;689703734;8;42:09:1721001:597;2025-09-30;2025-08-14;2025-09-30
1644378924;174909733;689623984;0;2;4214;2025-09-29;2025-09-29;2079-06-06
1644378926;174909733;689623984;0;7;32627438196;2025-09-29;2025-09-29;2079-06-06
1644378928;174909733;689623984;0;15;69;2025-09-29;2025-09-29;2079-06-06
1644378930;174909733;689623984;0;21;32627438;2025-09-29;2025-09-29;2079-06-06
1644378932;174909734;689623985;0;2;4214;2025-09-29;2025-09-29;2079-06-06
1644378934;174909734;689623985;0;7;32627438196;2025-09-29;2025-09-29;2079-06-06
1644378936;174909734;689623985;0;15;70;2025-09-29;2025-09-29;2079-06-06
1644378938;174909734;689623985;0;21;32627438;2025-09-29;2025-09-29;2079-06-06
1644382246;105018118;689624640;0;13;326271010010000000510017000000020;2025-09-29;2025-09-29;2079-06-06
1644390092;174911269;689628065;0;2;4212;2025-09-29;2025-09-29;2079-06-06
1644390094;174911269;689628065;0;7;32502000001;2025-09-29;2025-09-29;2079-06-06
1644390096;174911269;689628065;0;13;325020000010623000010001000000000;2025-09-29;2025-09-29;2079-06-06
1644390121;167805966;689628083;0;8;42:04:0313001:1650;2025-09-29;2025-09-29;2079-06-06
1644390359;170723967;689628125;0;13;326074121010000009210072000000010;2025-09-29;2025-09-29;2079-06-06
1644394308;174911784;689629083;0;2;4214;2025-09-29;2025-09-29;2079-06-06
1644394310;174911784;689629083;0;7;32519000;2025-09-29;2025-09-29;2079-06-06
1644394312;174911784;689629083;0;15;27;2025-09-29;2025-09-29;2079-06-06
1644394314;174911784;689629083;0;21;32519000;2025-09-29;2025-09-29;2079-06-06
1644394649;174911824;689629140;0;2;4214;2025-09-29;2025-09-29;2079-06-06
1644394651;174911824;689629140;0;7;32519000;2025-09-29;2025-09-29;2079-06-06
1644394653;174911824;689629140;0;15;65;2025-09-29;2025-09-29;2079-06-06
1644394655;174911824;689629140;0;21;32519000;2025-09-29;2025-09-29;2079-06-06
1644394657;174911825;689629141;0;2;4214;2025-09-29;2025-09-29;2079-06-06
1644394659;174911825;689629141;0;7;32519000;2025-09-29;2025-09-29;2079-06-06
1644394661;174911825;689629141;0;15;66;2025-09-29;2025-09-29;2079-06-06
1644394663;174911825;689629141;0;21;32519000;2025-09-29;2025-09-29;2079-06-06
1644394665;174911826;689629142;0;2;4214;2025-09-29;2025-09-29;2079-06-06
1644394667;174911826;689629142;0;7;32519000;2025-09-29;2025-09-29;2079-06-06
1644394669;174911826;689629142;0;15;67;2025-09-29;2025-09-29;2079-06-06
1644394841;174911847;689629176;0;2;4214;2025-09-29;2025-09-29;2079-06-06
1644394843;174911847;689629176;0;7;32519000;2025-09-29;2025-09-29;2079-06-06
1644394845;174911847;689629176;0;15;80;2025-09-29;2025-09-29;2079-06-06
1644394847;174911847;689629176;0;21;32519000;2025-09-29;2025-09-29;2079-06-06
1644394849;174911848;689629177;0;2;4214;2025-09-29;2025-09-29;2079-06-06
1644394851;174911848;689629177;0;7;32519000;2025-09-29;2025-09-29;2079-06-06
