ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644545135;174932969;689674082;0;1;4300;2025-09-29;2025-09-29;2079-06-06
1644545137;174932969;689674082;0;3;4345;2025-09-29;2025-09-29;2079-06-06
1644545139;174932969;689674082;0;6;33401000000;2025-09-29;2025-09-29;2079-06-06
1644545141;174932969;689674082;0;10;43000001000197100;2025-09-29;2025-09-29;2079-06-06
1644545143;174932969;689674082;0;13;337010000006796000601;2025-09-29;2025-09-29;2079-06-06
1644769877;174961250;689737891;0;6;33230000000;2025-09-30;2025-09-30;2079-06-06
1644769879;174961250;689737891;0;1;4300;2025-09-30;2025-09-30;2079-06-06
1644769881;174961250;689737891;0;10;43025000000013000;2025-09-30;2025-09-30;2079-06-06
1644769883;174961250;689737891;0;13;336304240000025000001;2025-09-30;2025-09-30;2079-06-06
1644832181;174968512;689754746;0;1;4300;2025-09-30;2025-09-30;2079-06-06
1644832183;174968512;689754746;0;6;33249848013;2025-09-30;2025-09-30;2079-06-06
1644832185;174968512;689754746;0;10;43039000074000200;2025-09-30;2025-09-30;2079-06-06
1644832187;174968512;689754746;0;13;336494481610000000201;2025-09-30;2025-09-30;2079-06-06
1645024048;174992702;689824945;0;1;4300;2025-10-01;2025-10-01;2079-06-06
1645024050;174992702;689824945;0;6;33203000096;2025-10-01;2025-10-01;2079-06-06
1645024052;174992702;689824945;0;10;43003000101000700;2025-10-01;2025-10-01;2079-06-06
1645024054;174992702;689824945;0;13;335030005760000000701;2025-10-01;2025-10-01;2079-06-06
