ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
617437991;61592175;91968991;689819735;8;43:27:081901:299;2025-10-01;2018-10-25;2025-10-01
1644438949;80867759;689642581;0;20;05.03.2019;2025-09-29;2025-09-29;2079-06-06
1333316466;59853442;463589909;689642782;8;43:38:260431:987;2025-09-29;2022-11-11;2025-09-29
1644449105;47164861;689644913;0;20;28.11.2023;2025-09-29;2025-09-29;2079-06-06
1644449107;47165339;689644915;0;20;28.11.2023;2025-09-29;2025-09-29;2079-06-06
1644449109;47165677;689644917;0;20;28.11.2023;2025-09-29;2025-09-29;2079-06-06
1644449111;47166282;689644919;0;20;28.11.2023;2025-09-29;2025-09-29;2079-06-06
1644449086;47071102;689644901;0;20;29.11.2023;2025-09-29;2025-09-29;2079-06-06
1644449088;47074452;689644903;0;20;29.11.2023;2025-09-29;2025-09-29;2079-06-06
1644449090;47074509;689644905;0;20;29.11.2023;2025-09-29;2025-09-29;2079-06-06
1644449092;47075350;689644907;0;20;29.11.2023;2025-09-29;2025-09-29;2079-06-06
1644449121;76581689;689644929;0;20;18.07.2023;2025-09-29;2025-09-29;2079-06-06
1644449123;76581709;689644931;0;20;18.07.2023;2025-09-29;2025-09-29;2079-06-06
1644449125;76582237;689644933;0;20;18.07.2023;2025-09-29;2025-09-29;2079-06-06
1644449127;76582397;689644935;0;20;18.07.2023;2025-09-29;2025-09-29;2079-06-06
1644449129;76581498;689644937;0;20;18.07.2023;2025-09-29;2025-09-29;2079-06-06
1644449131;76581563;689644939;0;20;18.07.2023;2025-09-29;2025-09-29;2079-06-06
1644451000;174919395;689645364;0;8;43:23:330101:950;2025-09-29;2025-09-29;2079-06-06
1644451002;174919395;689645364;0;13;336291510510000004640036000100000;2025-09-29;2025-09-29;2079-06-06
1644451004;174919396;689645365;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644464518;174921169;689648201;0;8;43:23:330101:948;2025-09-29;2025-09-29;2079-06-06
1644464520;174921169;689648201;0;13;336291510510000004640034000100000;2025-09-29;2025-09-29;2079-06-06
1644464522;174921170;689648202;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644464816;174921209;689648243;0;8;43:23:330107:126;2025-09-29;2025-09-29;2079-06-06
1644464818;174921209;689648243;0;13;336291510510000004640023000100000;2025-09-29;2025-09-29;2079-06-06
