ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27409912;О присвоении адреса;2025-09-22;169;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МУРЫГИНСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ"" ЮРЬЯНСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ";2025-09-29
27410714;О присвоении адресного ориентира земельным участкам и жилым домам в дер. Лубни;2018-03-26;138;21;2;2025-09-29;АДМИНИСТРАЦИЯ ШИХОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ СЛОБОДСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ;2025-09-29
27411181;О присвоении адреса объекту адресации;2025-09-26;96;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ИЛЬИНСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ СОВЕТСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ;2025-09-29
27411196;О присвоении адреса нежилым зданиям с кадастровыми номерами;2025-09-25;148;21;2;2025-09-29;МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ СЛУДСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ВЯТСКОПОЛЯНСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ;2025-09-29
27411236;О присвоении адреса объекту адресации;2025-09-25;" 375-01";15;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД КИРОВО-ЧЕПЕЦК"" КИРОВСКОЙ ОБЛАСТИ";2025-09-29
27411582;Об актуализации в государственном адресном реестре адресных сведений об объектах адресации, расположенных в городе Кирове;2025-09-24;4542-зр;15;1;2025-09-29;АДМИНИСТРАЦИЯ ГОРОДА КИРОВА;2025-09-29
27411621;О присвоении адреса объекту адресации;2025-09-29;94;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГРЕХОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ СОВЕТСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ;2025-09-29
27411634;О присвоении адреса объекту адресации;2025-09-29;96;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГРЕХОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ СОВЕТСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ;2025-09-29
27411657;О присвоении адреса объектам адресации;2025-09-29;98;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГРЕХОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ СОВЕТСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ;2025-09-29
27411680;О присвоении адреса объектам адресации;2025-09-29;100;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГРЕХОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ СОВЕТСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ;2025-09-29
