ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
10803866;95415468;8dc98615-c5e8-4bdc-ae04-a6b2db281c2d;138598440;18;10;0;74207342;2025-10-01;2020-02-03;2025-10-01;0;0
6871891;91406369;2c56363f-ab9b-4b2c-a690-93aff6c3cc88;134127251;2;10;;74167609;2025-09-29;2019-06-18;2025-09-29;0;0
8283733;92817356;fce85471-8bc8-454e-8b9e-2406217df23b;135660122;6;10;;74204361;2025-10-01;2019-07-13;2025-10-01;0;0
8459616;92993164;c7c4ba54-2c84-4d5b-9d24-4604408acdf5;135847026;26;10;;74176360;2025-09-29;2019-11-19;2025-09-29;0;0
66268705;157976974;e62d29a9-d7c0-4854-b0a7-39b3bd5f7cfc;494640096;1;10;0;74193425;2025-09-30;2023-02-03;2025-09-30;0;0
66908172;159672183;8f620257-bc45-4f05-b9ce-cdc8224e929b;508010151;1у;10;0;74186656;2025-09-30;2023-08-14;2025-09-30;0;0
70640837;168504873;15bb5fab-7c8d-432d-8e16-a589bada231c;609034718;28/1;10;0;74206745;2025-10-01;2024-12-10;2025-10-01;0;0
73978444;174543540;f93e8825-347d-4dab-b92d-93e960e888f8;688826997;7а;10;0;74204800;2025-10-01;2025-09-09;2025-10-01;0;0
74166302;174914928;a5b2637d-5903-4be1-910a-7cae6b015478;689636475;31;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166304;174914930;935d7d85-bd35-4c06-a198-a49a3ba78b28;689636477;27;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166306;174914932;cf7d8e84-cacc-443d-a927-5dd33099af0b;689636479;23;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166308;174914934;1a1506db-4762-498e-93f6-bd7ae86d4dd6;689636481;19;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166310;174914936;d2f7ffa2-66cd-4506-88ba-f74315042302;689636483;15;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166312;174914938;f58449ee-206b-4f89-86b2-401b97bf6c70;689636485;11;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166314;174914940;23d2905f-9a4e-4105-b9d7-555e04ac0f77;689636487;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166316;174914942;d23e994c-42fa-4842-9420-1c23202934f0;689636489;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166323;174914944;a14c8278-af90-454f-80fd-08f220a2a036;689636502;26;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166325;174914946;c442a327-7d6e-48fe-b966-6ab58bf8ba3c;689636504;20;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166327;174914948;bb14acea-70b1-4754-850d-02ef1594444e;689636506;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166329;174914950;db10a067-39cb-4370-881a-42ef19bc552e;689636508;12;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166331;174914952;0257d05e-eda4-4061-8a78-0089fe448120;689636510;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166333;174914954;efbfb920-7213-41b4-8319-7d723d5be25a;689636512;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
9425037;93958277;a7d99e3a-ee4f-439a-9b63-d423996bea28;136885110;2;10;;74166335;2025-09-29;2019-12-25;2025-09-29;0;0
74166806;174915992;f7e3d242-8681-4f98-8957-31672ecebfc3;689638399;15/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166824;174916010;f4ac91a0-6fa5-4e05-8649-55a9a2d62de4;689638432;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166833;174916128;c70eed27-78e4-4bf8-9c66-06e5a5c7b5a5;689638560;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166835;174916130;87ce7e17-2674-48cd-a166-672b25be0aa9;689638562;15/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166837;174916132;daca1b52-c1ef-42a2-a451-268e8a28403a;689638564;15а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166839;174916134;d2ff222a-f49e-4406-98d0-c2f476255079;689638566;14;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166841;174916136;1c0d9de4-aa24-4ee9-940d-098ace819311;689638568;12/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166843;174916138;c80f4f37-8551-497e-81c2-6f776a6565aa;689638570;11;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166807;174915993;f0a74d43-3dca-440f-be7d-7228b4046d00;689638404;14/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166812;174915998;829c4ecd-e22f-449e-a66e-1c9cde0b15e0;689638417;9;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166814;174916000;fc59b9f9-20c5-40d3-a77e-2aab42c1c2a1;689638419;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166816;174916002;643e46b1-9d81-49df-b617-64b4443bd3b7;689638421;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166818;174916004;1968ddcd-7fce-4585-9ea9-20b3cc137811;689638423;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166820;174916006;9ebc8e64-7768-43e5-baf3-a50c06bc8fd1;689638425;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167610;174917822;3cae616b-155d-45a2-ac5b-0c6ac6f1119f;689642539;2;61;74167609;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167612;158071041;384944c7-55c2-4f5e-b68b-e381c330c0cc;689642576;1а;30;66298801;0;2025-09-29;2025-09-29;2079-06-06;1;0
74167680;174917891;0525101c-7e64-487b-be31-df863b19580d;689642763;11;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167684;174917895;9a99811d-9cca-426c-90b2-7692c7a2c2f7;689642775;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167689;174917902;d3f461e6-3552-4910-a282-0ed4223c3122;689642791;4/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167701;174917932;203de1f2-6291-4b12-b85d-c4332835be33;689642824;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167669;174917880;280ee7cc-50d0-462a-8e85-07b00202d8ae;689642746;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167671;174917882;be342729-c765-4a11-9cf8-26eea86f84dc;689642749;15;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167673;174917884;3c5e9d27-3a1d-4ec6-bf0a-b69dfaabb0fc;689642751;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167675;174917886;7cb9ddce-243a-4b97-88f7-daf740d3aca7;689642753;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167683;174917894;b438d4dd-50f9-4e79-9833-72019ec686f8;689642774;9/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167686;174917898;399f90f0-7a82-4aa9-82c4-b786079d0574;689642786;6;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167690;174917921;937a60c8-8dbc-478a-a5d8-def0e863dc29;689642812;4/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167704;174917938;6c68aea1-27da-4462-9e7a-f689c92f3175;689642834;26;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169779;174921773;032b2ae7-4cc6-423a-84ca-cfe12e90b0b1;689648872;7в;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169782;174921790;8673524a-84a6-4015-8ebb-96f13680edfd;689648932;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169785;174921793;a9a2f086-1188-4186-a434-ead9fabebb45;689648950;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169787;174921795;fef73690-dc51-46c5-8918-8f7186ce8167;689648959;35;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169810;174921823;8fbc77ed-db13-4a6a-ab46-9757bef8fc82;689649009;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169819;174921832;9511d748-140e-4dd3-897e-797931d5783b;689649020;9;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169829;174921844;26a73b24-1f66-41fc-8b5c-8f292e8f56c5;689649036;15;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169851;174921868;524c9219-9f6f-4c37-a646-ccb034492f64;689649071;25;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169821;174921834;fe50cd88-6613-4479-a8eb-bb62f387310b;689649023;11;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169827;174921842;3640f13f-d39b-4ce7-9886-314e6283b786;689649033;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169845;174921861;7b047d50-10f5-4e98-81a8-ab2447a401ef;689649059;19;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169852;174921869;d846467c-ddf8-4e65-9089-91aca3895e0d;689649075;27;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170568;174923800;d5a55b5d-5167-43b6-83db-4412de0fb931;689652048;14;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170574;174923813;524300ea-d365-42b6-b4b4-5f0d6e8f28a3;689652074;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170890;174924157;03b7eced-655f-4792-b3bb-b635e59ea25b;689652622;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171409;174925993;43aa01be-baf3-4252-906f-58b0f6d8a9a7;689655623;3/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171436;174926030;6d32ee98-3055-442a-872f-836f6eddf0c0;689655670;6/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171463;174926062;075a76db-9de3-4401-8416-b8c5c3dbeeb6;689655729;3/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171544;174926172;9c7318c0-93e2-471a-bf7b-aee4b239bbd4;689655884;12/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171550;174926190;a66c949a-0aa2-4be7-92e2-8cee9ee0393b;689655916;10/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171493;174926096;18cd29d6-f351-4eec-9fdc-7970946c91b2;689655772;2/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171526;174926134;b628cffb-9c84-46e5-a832-2ddfcab96d75;689655817;15/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171536;174926155;8d0af3d9-3820-48f9-9e1f-be5ed24f9a77;689655851;13/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172153;174928416;58333ddf-691c-4f99-a08f-a486ff2991b3;689664232;18/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172160;174928430;97164446-57f4-4f02-a9ff-482f53470dfd;689664290;27;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172232;174928574;7dbfe95d-e99b-486d-89f3-7e9e30533620;689665378;4а/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172317;174928722;e24a942b-cb87-4273-8796-d6cb808641ff;689666019;3а/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172978;174929902;c6ddbf62-e0f7-48b4-a3f3-19ff1c0f292c;689668203;18;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173004;174929936;5c6a2679-198d-4d83-9835-a4e200fdb28b;689668329;10;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172974;174929897;72a328d3-754f-43bc-9935-0e985c69cf28;689668198;21;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172977;174929901;be54bc7b-9a21-48ad-840f-86ce74e4430b;689668202;22;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173184;174930219;a26b0313-0479-431f-8911-b55f5d51bce0;689669012;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173232;174930278;b642aaae-dae1-4bc7-af35-b94fef71fee2;689669160;6а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173962;174931522;801de38f-f4ce-488a-a2be-44a172013cb4;689671470;6;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173965;174931525;4232a379-10da-48c0-ad31-749ebcb8845e;689671473;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174231;174932199;254fa47b-4517-42ec-83e0-67efe4ed69f7;689672843;2/3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174212;174932170;aa8c538f-7019-42b8-8601-d48284993ce7;689672801;2/5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174236;174932205;89dce585-9401-40b7-a327-98e7247b0cfd;689672858;2/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174755;174933238;3f857452-71ab-4581-a0c0-cd8bc6105c39;689674542;1а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176040;174936766;f4155534-7ced-4892-9fb7-74c038b90fc4;689682003;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176184;174937079;cd1a4a0e-ecd9-428d-a7f0-fb0641c06517;689682589;7/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176182;174937077;e6ad0e24-cd73-4332-977e-25d58ca9fb9c;689682586;7/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74176230;92969430;8845322a-9049-4424-8825-b2dee0aa26d5;689682659;2;30;8435938;0;2025-09-29;2025-09-29;2079-06-06;1;0
8404674;92938232;3b5a6233-b10c-4430-a294-5d8bf73f23d9;135788431;1;10;;74176540;2025-09-29;2019-12-26;2025-09-29;0;0
74176732;174938556;e4b96486-d808-4c59-8c61-a4d320940736;689686952;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177582;91613325;b187449b-73c4-4b77-b9fe-6d8659b0cdf8;689689959;34а;50;7078975;;2025-09-29;2025-09-29;2079-06-06;1;1
74178234;174940934;df6e55b3-c6bc-4b11-a4d0-6d7e14cd03e2;689691870;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178588;174941497;aa5db321-da8e-45e6-a868-47472254ef06;689693222;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178947;174942226;2bd8e369-4d98-4d2d-bfca-4d07ea41012a;689694453;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178970;174942260;c67b0a75-d2a1-413c-9d5b-40ebc032c3be;689694512;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178982;174942291;c017f83c-c149-456f-8680-fbba430320b0;689694561;10;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
