ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
483987566;85918776;127525165;689695869;15;2;2025-09-29;2017-08-21;2025-09-29
492202827;86751147;128633268;689799330;15;64;2025-10-01;2017-09-28;2025-10-01
492259284;86756817;128640930;689801427;15;70;2025-10-01;2017-09-28;2025-10-01
516866866;89282967;131731872;689750508;15;33;2025-09-30;2019-04-22;2025-09-30
520546458;89660014;132157982;689801348;15;52;2025-10-01;2017-09-28;2025-10-01
551571640;92814928;135657538;689753520;8;43:30:420605:144;2025-09-30;2019-11-12;2025-09-30
556888227;93354091;136237781;689753523;8;43:30:420605:141;2025-09-30;2019-11-12;2025-09-30
568948778;94590849;137541034;689749173;15;35;2025-09-30;2019-04-22;2025-09-30
574543569;95164901;138121330;689809186;8;43:33:311401:197;2025-10-01;2019-11-29;2025-10-01
1644412371;162829063;689634194;0;8;43:40:000016:3332;2025-09-29;2025-09-29;2079-06-06
1644412375;162849367;689634196;0;8;43:40:000016:3334;2025-09-29;2025-09-29;2079-06-06
1644412369;162836446;689634193;0;8;43:40:000016:3336;2025-09-29;2025-09-29;2079-06-06
1644412373;162829071;689634195;0;8;43:40:000016:3330;2025-09-29;2025-09-29;2079-06-06
1644412394;162869973;689634203;0;8;43:40:000016:3340;2025-09-29;2025-09-29;2079-06-06
1644412429;162849372;689634210;0;8;43:40:000016:3341;2025-09-29;2025-09-29;2079-06-06
1644412431;162956068;689634211;0;8;43:40:000016:3328;2025-09-29;2025-09-29;2079-06-06
1644412433;162956471;689634212;0;8;43:40:000016:3329;2025-09-29;2025-09-29;2079-06-06
1644412435;163006788;689634213;0;8;43:40:000016:3359;2025-09-29;2025-09-29;2079-06-06
1644412437;163007557;689634214;0;8;43:40:000016:3360;2025-09-29;2025-09-29;2079-06-06
1644412439;163398174;689634215;0;8;43:40:000016:3346;2025-09-29;2025-09-29;2079-06-06
1644412441;163411461;689634216;0;8;43:40:000016:3335;2025-09-29;2025-09-29;2079-06-06
1644412443;163443601;689634217;0;8;43:40:000016:3345;2025-09-29;2025-09-29;2079-06-06
1644412445;163443613;689634218;0;8;43:40:000016:3342;2025-09-29;2025-09-29;2079-06-06
1644412447;163530895;689634219;0;8;43:40:000016:3373;2025-09-29;2025-09-29;2079-06-06
1644419538;174914927;689636474;0;1;4300;2025-09-29;2025-09-29;2079-06-06
1644419540;174914927;689636474;0;3;4312;2025-09-29;2025-09-29;2079-06-06
1644419542;174914927;689636474;0;6;33218842016;2025-09-29;2025-09-29;2079-06-06
1644419544;174914927;689636474;0;8;43:12:421701:190;2025-09-29;2025-09-29;2079-06-06
1644419546;174914927;689636474;0;13;336184421360000001010001000000000;2025-09-29;2025-09-29;2079-06-06
1644419548;174914928;689636475;0;1;4300;2025-09-29;2025-09-29;2079-06-06
1644419550;174914928;689636475;0;3;4312;2025-09-29;2025-09-29;2079-06-06
1644419552;174914928;689636475;0;6;33218842016;2025-09-29;2025-09-29;2079-06-06
1644419554;174914928;689636475;0;8;43:12:421701:74;2025-09-29;2025-09-29;2079-06-06
1644419556;174914928;689636475;0;13;336184421360000001010002000000000;2025-09-29;2025-09-29;2079-06-06
1644419558;174914929;689636476;0;1;4300;2025-09-29;2025-09-29;2079-06-06
1644419560;174914929;689636476;0;3;4312;2025-09-29;2025-09-29;2079-06-06
