ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644529129;174930465;689669613;0;1;4400;2025-09-29;2025-09-29;2079-06-06
1644529131;174930465;689669613;0;6;34248810001;2025-09-29;2025-09-29;2079-06-06
1644529133;174930465;689669613;0;10;44024000000002200;2025-09-29;2025-09-29;2079-06-06
1644529135;174930465;689669613;0;13;346484100000009000101;2025-09-29;2025-09-29;2079-06-06
1644627348;174944021;689697447;0;1;4400;2025-09-29;2025-09-29;2079-06-06
1644627350;174944021;689697447;0;6;34248810000;2025-09-29;2025-09-29;2079-06-06
1644627352;174944021;689697447;0;10;44024000000002300;2025-09-29;2025-09-29;2079-06-06
1644627354;174944021;689697447;0;13;346484100000009000201;2025-09-29;2025-09-29;2079-06-06
1644848747;174970409;689758626;0;6;34214836000;2025-09-30;2025-09-30;2079-06-06
1644848749;174970409;689758626;0;10;44001000000028300;2025-09-30;2025-09-30;2079-06-06
1644848751;174970409;689758626;0;13;346144360000191000001;2025-09-30;2025-09-30;2079-06-06
